"station_name","Altitude","Latitude","Longitude","country","1981","1985","1989","1993","1997","2001","2005","2009","2013","2017","rcp45_2050_pessimistic","rcp45_2050_intermediate","rcp45_2050_optimistic","rcp45_2085_pessimistic","rcp45_2085_intermediate","rcp45_2085_optimistic","rcp85_2050_pessimistic","rcp85_2050_intermediate","rcp85_2050_optimistic","rcp85_2085_pessimistic","rcp85_2085_intermediate","rcp85_2085_optimistic"
"Adolfo Matthei",55,-40.5883,-73.1069,"CI",85.8327550231832,86.3863542446579,86.2219530622924,85.823687718057,86.1632311759349,85.9103410811131,87.1384877231749,86.4840073195719,86.893954258846,86.6974329551049,79.3951096884884,82.721276382209,85.4003345154397,79.5168844154614,82.4866112685195,89.6139110162462,77.0003412374131,80.5959255908929,83.9619090561964,70.4274283301693,75.8035520826033,87.8617323575436
"AEROPARQUE JORGE NEWBERY",5.5,-34.559,-58.416,"AR",44.335031675892,43.6379467267634,44.7831695319483,41.8646359217605,39.7135842754219,40.5091398448257,40.4158259989454,39.0261267067872,37.3333601056308,34.2448964908508,25.9736930733407,29.396534560658,34.3526433356892,25.48433730547,29.5858533834926,50.1663818003153,20.5919863851796,25.6756225582576,29.4861525745919,11.0473189119491,19.748589423149,40.1783541969744
"AFONSO PENA",910.7,-25.528,-49.176,"BR",19.0472136148996,20.2139931774835,18.363725499413,18.0441063764366,16.7949507391586,14.4518800356639,15.3490222708363,16.852095275392,17.4401048275877,19.0054625960222,4.34270223658552,6.04254370840812,7.81772093195048,4.8091523533688,6.97130933955191,12.9383727124412,3.473461184016,5.25405214198526,6.66784053105448,1.00036084090431,3.02759543546955,7.45027609260552
"ALFONSO BONILLA ARAGON INTL",963.8,3.543,-76.382,"CO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALFREDO VASQUEZ COBO",84.4,-4.193,-69.943,"CO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alicahue",750,-32.3408,-70.7528,"CI",52.9014684863832,52.5397150036333,53.9439862207146,49.777693123435,50.8770112326592,51.2134453153403,50.8538515522669,49.9608353721113,50.9040697305982,51.2089731237579,30.1508812919515,39.2526964149549,48.7678847404313,30.136725991601,40.8666349864411,50.578778207102,25.9282796240317,34.6106796102918,45.8793514539698,15.037065256796,28.2115513650526,41.555429735346
"ALMIRANTE ZAR",43,-43.211,-65.27,"AR",74.811071613628,74.345191151674,73.170759783131,70.6719932626906,69.7631198223303,69.3240302634767,71.0157885904382,70.0990342183168,69.0438786391633,67.5672539590578,64.3696435428265,68.6241718723904,71.2628590641079,66.0157678548862,69.3782457648795,78.2362968145098,62.2262449416667,66.2153567370947,68.8110075826376,58.6460080421484,61.7286742710812,73.408338173117
"AMBROSIO L V TARAVELLA",488.9,-31.324,-64.208,"AR",33.9354838282388,33.5922854024761,33.0494373666097,32.6451779613762,32.2017453327505,31.3912806864837,30.8352100333573,29.9983469340127,29.5421468647319,29.5027370463281,19.7905665762291,23.6684435033367,28.3240160196208,21.5390501563741,25.6971311980742,39.8118635351857,19.015159280525,21.8885703275209,25.3860173018384,12.6157013365575,18.7796658164823,33.5824596500627
"ARTIGAS INTL",128,-30.401,-56.508,"UY",20.9021020104763,21.66179846518,21.9849619616623,21.755441776148,20.1949986382842,19.9608343179757,20.8290258471466,20.9355073337582,21.2801426064648,20.6488988048495,11.7348287685172,15.5267731531692,19.368185844088,13.1216161146506,15.7507715635802,27.1042648044299,10.5833414520173,13.3023602822572,15.084511750965,5.00840845256073,8.92933145469192,17.7750342244362
"ARTURO MERINO BENITEZ INTL",474,-33.393,-70.786,"CI",63.7280850659517,62.3610479546142,61.3108870940032,56.536151367271,54.9893494620528,56.2126913284551,55.5684482700362,54.2709632519154,53.4848964431596,51.4310948085504,35.0294458464953,45.6330263140744,53.0994318880137,35.2376719210816,47.3343091133938,57.6106231079398,30.77824598707,39.8444408478993,50.8342718019157,19.03255890281,32.2736915675905,48.0279037277805
