"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,673,1115,64.730168777956,17810.825251981
"2000/2001",2001,123,123,100,624,1011.5,60.2464235237156,18624.8260924982
"2001/2002",2002,123,123,100,698,1091.5,63.6614106635585,17935.3703417405
"2002/2003",2003,123,123,100,707,1172.5,65.2235685220379,17371.9130554612
"2003/2004",2004,123,123,100,718,1168,65.582046991461,17657.0765474571
"2004/2005",2005,123,123,100,685,1095,59.3948035252139,18322.0836514222
"2005/2006",2006,123,123,100,640,1022.5,59.3439194052449,18632.9834414962
"2006/2007",2007,123,123,100,662,1077,63.7971406345274,17971.7689497767
"2007/2008",2008,123,123,100,726,979,56.6582790806676,18985.5731701072
"2008/2009",2009,123,123,100,741,1068.5,62.0182512729408,17820.9060082358
"2009/2010",2010,123,123,100,684,1321,70.1688962038518,16499.2564589729
"2010/2011",2011,123,123,100,579,1044.5,62.8509540462456,18747.8742298792
"2011/2012",2012,123,123,100,675,1163,66.1352997463282,17469.6084348296
"2012/2013",2013,123,123,100,733,1236.5,69.2459186891508,16648.0438071738
"2013/2014",2014,123,123,100,684,1074,61.5886709743002,18546.2211134303
"2014/2015",2015,123,123,100,754,1072,62.071495044964,17837.9011565994
"2015/2016",2016,123,123,100,726,1076.5,59.043986621456,18336.8555725226
"2016/2017",2017,123,123,100,627,863,54.8734752248656,20251.0699273085
"2017/2018",2018,123,123,100,548,938.5,56.8373754233498,19921.4783240054
"2018/2019",2019,123,123,100,803,1095.5,63.7671568037117,17311.6587371829
"2019/2020",2020,123,123,100,779,1153,65.9155777643368,17435.7884429488
"2020/2021",2021,123,123,100,713,1191,64.3500021310565,17549.638725637
"2021/2022",2022,123,123,100,648,1036,59.8085218180547,18876.2984112757
"2022/2023",2023,123,123,100,508,874,57.3028114461042,20022.8185327768
"2023/2024",2024,123,123,100,908,1144.5,61.9431522503846,17150.7021404477
"2024/2025",2025,123,123,100,649,997.5,58.4384536073248,18767.9772708714
"2025/2026",2026,123,123,100,729,1052.5,64.4365110504045,18626.9161972185
"2026/2027",2027,123,123,100,773,1076.5,61.3530640432805,18421.4474855065
"2027/2028",2028,123,123,100,657,951.5,55.5774065776318,19105.7889074986
"2028/2029",2029,123,123,100,651,1256.5,67.5672106548327,16706.1857963554
"2029/2030",2030,123,123,100,668,906.5,56.2589547097186,19472.8526718626
"2030/2031",2031,123,123,100,657,1214.5,66.3844180893802,17300.7282955414
"2031/2032",2032,123,123,100,520,988.5,62.3175095652891,18908.6172335641
"2032/2033",2033,123,123,100,725,1368,73.0771513900254,15862.0784900151
"2033/2034",2034,123,123,100,696,1099,58.3394409546586,17982.6124503086
"2034/2035",2035,123,123,100,630,882.5,54.9452905501898,20282.881490625
"2035/2036",2036,123,123,100,540,1080.5,64.6531901321596,18759.9198223376
"2036/2037",2037,123,123,100,740,1058.5,57.7875096982289,18653.8496641633
"2037/2038",2038,123,123,100,801,1215.5,67.5104365529351,16521.1542856353
"2038/2039",2039,123,123,100,733,1058,60.2241411211689,18594.8220199184
"2039/2040",2040,123,123,100,709,1038.5,59.6067711852202,18517.9276920557
"2040/2041",2041,123,123,100,700,1098.5,61.9870502757472,18336.6432898687
"2041/2042",2042,123,123,100,724,1164.5,64.2974574949535,17517.6664461331
"2042/2043",2043,123,123,100,710,1025,60.822103167317,18675.4791698796
"2043/2044",2044,123,123,100,612,1067,61.8473955029126,18581.3865328175
"2044/2045",2045,123,123,100,531,997.5,61.0298158277669,19207.9177990677
"2045/2046",2046,123,123,100,495,899,57.4014011215577,20377.2260473045
"2046/2047",2047,123,123,100,622,947.5,58.0306880103317,19305.70723454
"2047/2048",2048,123,123,100,625,1055,62.9463187806532,18372.5400466956
"2048/2049",2049,123,123,100,789,1207.5,63.4619531122389,17240.9897218077
"2049/2050",2050,123,123,100,746,1057,61.7820770496428,18135.0628308216
"2050/2051",2051,123,123,100,771,1218.5,68.2971224409121,17163.0478691403
"2051/2052",2052,123,123,100,731,1318.5,69.143327047731,16376.0683076568
"2052/2053",2053,123,123,100,836,1195.5,65.3714760666398,16879.4423275525
"2053/2054",2054,123,123,100,676,1187.5,67.5106453481767,17400.8777083755
"2054/2055",2055,123,123,100,798,1157.5,64.7911416641255,17281.788020445
"2055/2056",2056,123,123,100,824,1223,67.6846736305924,16669.9650464738
"2056/2057",2057,123,123,100,706,1276,66.6290091836954,16865.0787320854
"2057/2058",2058,123,123,100,868,1127.5,66.1354835773845,16886.825021429
"2058/2059",2059,123,123,100,736,1116,61.0209211666297,17987.7445623577
"2059/2060",2060,123,123,100,815,1091,64.5914492649554,17829.2547866823
"2060/2061",2061,123,123,100,695,1063.5,60.8259408843123,18363.6578444522
"2061/2062",2062,123,123,100,707,1200.5,65.3665226080457,17209.4262207756
