"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,502,867.5,56.7182982365304,20727.2763392299
"2000/2001",2001,123,123,100,466,753,51.3550823927678,21727.7930885872
"2001/2002",2002,123,123,100,534,805.5,51.9220435491204,20959.0580967058
"2002/2003",2003,123,123,100,540,922.5,55.4261006016152,20300.7907462117
"2003/2004",2004,123,123,100,535,873.5,53.8663691217488,20762.830939587
"2004/2005",2005,123,123,100,499,805.5,53.9449774890837,21301.3625535204
"2005/2006",2006,123,123,100,487,749,51.1570202942212,21588.5920581029
"2006/2007",2007,123,123,100,517,840,53.4396887421227,20724.4586452567
"2007/2008",2008,123,123,100,521,697,46.1671498307247,22226.081441842
"2008/2009",2009,123,123,100,543,807,53.9447699969489,20998.2953362294
"2009/2010",2010,123,123,100,521,1048.5,61.123904753281,19320.3091890411
"2010/2011",2011,123,123,100,407,733,55.0639401344683,21831.873210418
"2011/2012",2012,123,123,100,509,874.5,54.53401365862,20503.0981785499
"2012/2013",2013,123,123,100,568,987.5,59.0634477752695,19459.257319185
"2013/2014",2014,123,123,100,497,777.5,47.5249868115621,21658.4476451711
"2014/2015",2015,123,123,100,562,818.5,52.6127868651912,20958.1359070973
"2015/2016",2016,123,123,100,496,773.5,52.4355391064535,21500.0813500606
"2016/2017",2017,123,123,100,450,556.5,40.0566944269424,23452.2593205874
"2017/2018",2018,123,123,100,379,613,49.0364875745054,22965.4037188035
"2018/2019",2019,123,123,100,631,868,54.9117118310273,20156.4800306493
"2019/2020",2020,123,123,100,563,883.5,52.3334600207199,20560.6120837801
"2020/2021",2021,123,123,100,505,883,56.0525027893573,20645.6651769404
"2021/2022",2022,123,123,100,439,729,48.096920373079,21930.6567258006
"2022/2023",2023,123,123,100,372,595,45.8250885658983,23074.2428369438
"2023/2024",2024,123,123,100,706,925,52.3047147741215,20107.2637491366
"2024/2025",2025,123,123,100,462,749,47.6291920562971,21877.3755173497
"2025/2026",2026,123,123,100,547,792,51.2721131137921,21527.1615323289
"2026/2027",2027,123,123,100,553,756,49.3818610367775,21747.935868206
"2027/2028",2028,123,123,100,490,684,45.883970421613,22170.8688545758
"2028/2029",2029,123,123,100,507,986,61.3959992347666,19580.7214981737
"2029/2030",2030,123,123,100,526,626.5,44.5480553702375,22681.5115115093
"2030/2031",2031,123,123,100,477,941.5,56.6107656654517,20142.1272698371
"2031/2032",2032,123,123,100,373,686.5,49.1065974056326,22008.4836548753
"2032/2033",2033,123,123,100,554,1096.5,61.4443974413198,18717.9828389082
"2033/2034",2034,123,123,100,534,837.5,48.9814053217683,21001.4039458837
"2034/2035",2035,123,123,100,433,585,46.1400734367476,23372.625584635
"2035/2036",2036,123,123,100,321,790.5,53.8110819935669,21584.9693610305
"2036/2037",2037,123,123,100,544,785.5,50.5645079547126,21535.0329804402
"2037/2038",2038,123,123,100,616,1006,55.4563848810685,19401.2073572795
"2038/2039",2039,123,123,100,523,760.5,49.9037385722936,21814.5941261156
"2039/2040",2040,123,123,100,533,765,48.5545290187029,21600.0667715138
"2040/2041",2041,123,123,100,518,777.5,50.2335799495045,21502.8966309307
"2041/2042",2042,123,123,100,545,886,54.0633146734949,20530.7804588703
"2042/2043",2043,123,123,100,525,747,49.0497620830915,21725.0483512133
"2043/2044",2044,123,123,100,433,783.5,53.0602191346711,21553.006030078
"2044/2045",2045,123,123,100,333,677,49.0030345621076,22482.145074551
"2045/2046",2046,123,123,100,323,575,45.3203568160047,23569.8702367768
"2046/2047",2047,123,123,100,443,649.5,45.5567181979777,22544.9690447999
"2047/2048",2048,123,123,100,473,737.5,48.630127533811,21609.6455603857
"2048/2049",2049,123,123,100,584,946.5,55.9429652585291,20024.1814359995
"2049/2050",2050,123,123,100,617,802.5,49.6461192376864,20974.9242726034
"2050/2051",2051,123,123,100,556,958,56.5254715108085,20114.1773811625
"2051/2052",2052,123,123,100,554,1055,59.8947583624854,19117.9122653482
"2052/2053",2053,123,123,100,647,954,54.6171789251816,19757.7739783088
"2053/2054",2054,123,123,100,509,903.5,59.5543493469877,20348.1728644129
"2054/2055",2055,123,123,100,609,893,56.2014608416389,20378.6481678626
"2055/2056",2056,123,123,100,662,955,54.9486816295121,19542.9038235312
"2056/2057",2057,123,123,100,512,999.5,63.9587398383783,19619.0655428553
"2057/2058",2058,123,123,100,712,904.5,55.9290394905643,19855.6853535734
"2058/2059",2059,123,123,100,532,827,52.2665263161498,21114.5335282302
"2059/2060",2060,123,123,100,619,826.5,52.9255917872897,20957.2628762489
"2060/2061",2061,123,123,100,521,790,53.3518909536788,21376.313818695
"2061/2062",2062,123,123,100,572,946.5,56.9656942833808,20001.0010595359
"2062/2063",2063,123,123,100,507,785,52.3387782709033,21398.3074801387
"2063/2064",2064,123,123,100,601,1013.5,61.7133322945638,19240.8420351269
"2064/2065",2065,123,123,100,517,700.5,47.2649163043529,22193.986921804
"2065/2066",2066,123,123,100,616,771,49.4608783027425,21327.813095402
"2066/2067",2067,123,123,100,565,918.5,57.7629647646891,20098.5593898157
"2067/2068",2068,123,123,100,490,733.5,47.3581668233355,21908.7736687595
"2068/2069",2069,123,123,100,508,558,46.8972654227728,23411.9574652342
"2069/2070",2070,123,123,100,496,755.5,49.3370603587282,21868.5236116182
"2070/2071",2071,123,123,100,665,1056,58.8969626987291,18928.4453047235
"2071/2072",2072,123,123,100,552,952,57.6374525846113,19850.7016356625
"2072/2073",2073,123,123,100,705,955.5,54.4468935712202,19372.4459671434
"2073/2074",2074,123,123,100,713,1209,67.6862024831262,17428.8830860406
"2074/2075",2075,123,123,100,529,1042.5,61.7954460037481,19220.1667062957
"2075/2076",2076,123,123,100,508,837.5,53.6526964160803,20977.0740479324
"2076/2077",2077,123,123,100,471,773,50.8600574057073,21757.0959406588
"2077/2078",2078,123,123,100,573,955.5,56.2157868740105,19885.1394149642
"2078/2079",2079,123,123,100,576,919,56.2086926673564,20307.5685123224
"2079/2080",2080,123,123,100,532,795,51.4169264728625,20884.2519882238
"2080/2081",2081,123,123,100,642,1059.5,58.1729067015422,18786.72316615
"2081/2082",2082,123,123,100,646,953,60.4930942548017,19533.9061741922
"2082/2083",2083,123,123,100,486,833.5,51.9174778656334,20870.5180320507
"2083/2084",2084,123,123,100,549,814,51.9840686778834,21099.1729502538
"2084/2085",2085,123,123,100,603,785,53.1285279626836,21281.7905873749
"2085/2086",2086,123,123,100,400,645.5,47.9242448229206,22664.2237486886
"2086/2087",2087,123,123,100,762,1001.5,56.5424873928005,18984.6699349871
"2087/2088",2088,123,123,100,483,828,53.5627817143977,21183.1089051794
"2088/2089",2089,123,123,100,522,944,60.119247069315,19905.6162257511
"2089/2090",2090,123,123,100,523,863.5,54.8186524621569,20833.7383529134
"2090/2091",2091,123,123,100,417,954.5,62.5682120239981,19987.8335074391
"2091/2092",2092,123,123,100,580,881,52.5503101461909,20430.9605390392
"2092/2093",2093,123,123,100,333,520,41.1243173519806,24062.7286251355
"2093/2094",2094,123,123,100,303,694,48.9384128339889,22359.8137443885
"2094/2095",2095,123,123,100,632,895.5,52.4518429492591,20484.884457279
"2095/2096",2096,123,123,100,536,1060.5,62.6069716668699,19059.8407126088
"2096/2097",2097,123,123,100,454,765,50.6998143208557,21743.2293499
"2097/2098",2098,123,123,100,406,776.5,53.5459984575255,21529.3948023226
"2098/2099",2099,123,123,100,612,977.5,59.2745539617717,19583.510052776
"2099/2100",2100,123,123,100,446,680,46.8691722008998,22605.6071944945
