"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,269,459.5,42.7220144498262,24642.1098067359
"2000/2001",2001,123,123,100,260,348.5,39.4592879257742,25834.5672538685
"2001/2002",2002,123,123,100,317,430,44.0613854948159,24836.9198891637
"2002/2003",2003,123,123,100,279,518,43.4260665387075,24212.9102323251
"2003/2004",2004,123,123,100,277,460.5,46.0710401980031,24776.5422493268
"2004/2005",2005,123,123,100,238,384.5,39.1517004510812,25271.9000451573
"2005/2006",2006,123,123,100,273,339,40.2979679845689,25701.7373994185
"2006/2007",2007,123,123,100,304,436,42.0468921452039,24609.6602376008
"2007/2008",2008,123,123,100,266,291.5,35.1046267411273,26088.2235286324
"2008/2009",2009,123,123,100,335,421.5,43.3702430886635,24847.582957672
"2009/2010",2010,123,123,100,263,613.5,50.4521233241658,23296.3225963125
"2010/2011",2011,123,123,100,201,299,40.0246263779117,26052.0620639867
"2011/2012",2012,123,123,100,278,464.5,42.3390640066641,24519.6043041018
"2012/2013",2013,123,123,100,308,607,49.2269181051703,23369.1249020351
"2013/2014",2014,123,123,100,274,338.5,38.6482645569045,25654.1000051396
"2014/2015",2015,123,123,100,320,450.5,40.2748386381073,24739.6691749769
"2015/2016",2016,123,123,100,248,344.5,34.838829236025,25411.0670951838
"2016/2017",2017,123,123,100,242,137.5,28.7491806125439,27336.6452380803
"2017/2018",2018,123,123,100,200,163.5,36.0141493712132,27188.028231622
"2018/2019",2019,123,123,100,394,511.5,42.9752935464968,23981.6795256604
"2019/2020",2020,123,123,100,313,468.5,37.2876934834046,24550.488105925
"2020/2021",2021,123,123,100,226,458,40.4512913228251,24581.8163066232
"2021/2022",2022,123,123,100,212,314.5,32.2312979386949,25836.0435915431
"2022/2023",2023,123,123,100,193,160.5,32.5923475908323,27293.0403357991
"2023/2024",2024,123,123,100,416,567,43.0934206515847,23721.9732189369
"2024/2025",2025,123,123,100,283,306.5,40.4750285049993,25789.3226770931
"2025/2026",2026,123,123,100,277,378.5,38.14824119282,25407.6961295893
"2026/2027",2027,123,123,100,292,320.5,37.6079317155379,25642.389305044
