"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,792,908.5,53.7358065381242,18872.4341867178
"2000/2001",2001,123,123,100,765,1042,59.8029241597249,18209.6989784523
"2001/2002",2002,123,123,100,764,899,50.4178006891252,19660.5655609844
"2002/2003",2003,123,123,100,822,933.5,60.2038660688725,18545.252433177
"2003/2004",2004,123,123,100,832,1034.5,57.7456647453488,18380.2233366228
"2004/2005",2005,123,123,100,732,977.5,58.9042202215501,18755.7321690862
"2005/2006",2006,123,123,100,770,1046.5,61.1996922780406,17771.9544770106
"2006/2007",2007,123,123,100,755,944,54.3174738535557,18402.300022425
"2007/2008",2008,123,123,100,514,733.5,52.2876559879186,21237.5635891608
"2008/2009",2009,123,123,100,755,911,50.0699080098127,19220.6992876518
"2009/2010",2010,123,123,100,829,926.5,56.0501780760766,18782.8584005184
"2010/2011",2011,123,123,100,742,1112.5,62.4465832844571,17695.31856025
"2011/2012",2012,123,123,100,735,936.5,57.0294783760979,19185.8968840437
"2012/2013",2013,123,123,100,794,933,56.1084561828417,18595.991765806
"2013/2014",2014,123,123,100,731,1010,56.6744549225309,18636.5024212077
"2014/2015",2015,123,123,100,607,835,53.5537266475968,20213.3924447594
"2015/2016",2016,123,123,100,728,884,52.3232978895189,20189.2925459421
"2016/2017",2017,123,123,100,640,948,55.3036221424945,19673.6966450256
"2017/2018",2018,123,123,100,793,1186,62.8405562443061,16995.3800889272
"2018/2019",2019,123,123,100,727,916,51.1509698594466,19289.0092976079
"2019/2020",2020,123,123,100,671,903,55.7314873797793,19704.7861071615
"2020/2021",2021,123,123,100,718,903,58.3003081563818,19327.7782032473
"2021/2022",2022,123,123,100,576,841,51.3617090499217,20349.0442515146
"2022/2023",2023,123,123,100,738,1207,66.8869122455558,16670.7297303136
"2023/2024",2024,123,123,100,577,665,39.7229175025439,21872.7957845824
"2024/2025",2025,123,123,100,685,906,58.5900358647866,19103.7059116461
"2025/2026",2026,123,123,100,781,1003.5,55.8211130915627,18276.8072335189
"2026/2027",2027,123,123,100,611,883.5,49.0866762464441,20366.354679659
"2027/2028",2028,123,123,100,618,892.5,55.4607918422737,19877.0372809479
"2028/2029",2029,123,123,100,839,1009.5,58.524198481115,17900.4737393688
"2029/2030",2030,123,123,100,571,887,57.2248069515465,20032.3497012602
"2030/2031",2031,123,123,100,824,972.5,57.477747538403,18448.9821351385
"2031/2032",2032,123,123,100,783,1132,63.5696588136884,17387.3186527467
"2032/2033",2033,123,123,100,866,903.5,51.0745824149467,19069.960466709
"2033/2034",2034,123,123,100,649,854,51.3702399826261,20117.0260721222
"2034/2035",2035,123,123,100,729,1072,63.339884719886,18074.5179904895
"2035/2036",2036,123,123,100,1005,1197.5,64.1368718698682,16333.8426341084
"2036/2037",2037,123,123,100,689,774,53.9023490440686,20528.47678445
"2037/2038",2038,123,123,100,689,776,46.9525986366807,20347.4055120409
"2038/2039",2039,123,123,100,633,840,52.8263944422592,20604.4756776541
"2039/2040",2040,123,123,100,743,946,53.1903564627637,19304.3325512586
"2040/2041",2041,123,123,100,706,989.5,57.6182131055511,18792.0582786696
"2041/2042",2042,123,123,100,710,912,52.7886854473963,19596.1595557374
"2042/2043",2043,123,123,100,701,1032,59.5642510511129,18698.262309731
"2043/2044",2044,123,123,100,784,1053,63.812306630045,18042.1350800367
"2044/2045",2045,123,123,100,700,1094.5,60.7379957306052,17881.8266890175
"2045/2046",2046,123,123,100,721,1188,63.6035882280116,17045.0392583506
"2046/2047",2047,123,123,100,651,868,55.0310802937797,19983.7092487374
"2047/2048",2048,123,123,100,696,1040,53.321371454907,18701.2232385455
"2048/2049",2049,123,123,100,835,960,55.624325759788,18319.707320624
"2049/2050",2050,123,123,100,705,864,53.8659561307863,19087.3063541241
"2050/2051",2051,123,123,100,805,878.5,55.8191847677572,19122.5824488383
"2051/2052",2052,123,123,100,829,965,57.8765020652954,18600.844139616
"2052/2053",2053,123,123,100,745,901.5,52.0337635354476,19656.5937831663
"2053/2054",2054,123,123,100,794,959,57.9932888746066,18550.3613326242
"2054/2055",2055,123,123,100,735,913,54.1056299376787,19834.8264342202
"2055/2056",2056,123,123,100,799,930.5,48.1743500124594,19058.3636448476
"2056/2057",2057,123,123,100,864,1007,59.5811376862603,17612.5572530646
"2057/2058",2058,123,123,100,728,787.5,45.2994356069248,20685.6402608221
"2058/2059",2059,123,123,100,646,853.5,55.1037115934569,19940.2194328224
"2059/2060",2060,123,123,100,713,891.5,49.8658344110622,20101.0013542995
"2060/2061",2061,123,123,100,929,1127.5,58.571274944678,17606.6784210866
"2061/2062",2062,123,123,100,915,1041.5,56.7021771256527,17547.9774890114
"2062/2063",2063,123,123,100,751,932.5,54.0540219157601,19500.1363596134
"2063/2064",2064,123,123,100,812,933.5,53.8325869752598,19180.9276733408
"2064/2065",2065,123,123,100,613,948.5,57.4413895818543,19612.6723696906
"2065/2066",2066,123,123,100,625,812,55.4161254920436,20346.9595268713
"2066/2067",2067,123,123,100,791,997,53.1334547589249,19041.1013548067
"2067/2068",2068,123,123,100,676,993.5,58.5293644670846,18807.646009394
"2068/2069",2069,123,123,100,529,903,56.5076642140657,20308.4406276615
"2069/2070",2070,123,123,100,688,1031.5,62.8265011955436,18521.1614460824
"2070/2071",2071,123,123,100,828,902.5,51.8563837444071,19287.7207644936
"2071/2072",2072,123,123,100,801,918.5,49.5519804074702,19599.5911450293
"2072/2073",2073,123,123,100,642,644,45.750316503364,21418.5607725242
"2073/2074",2074,123,123,100,857,841,47.4391697843739,19567.7353513651
"2074/2075",2075,123,123,100,879,960.5,53.8718758474251,18146.3019133303
"2075/2076",2076,123,123,100,750,950.5,57.4107274618755,18959.5944127273
"2076/2077",2077,123,123,100,762,847.5,51.246641738474,19703.1189314015
"2077/2078",2078,123,123,100,835,1006,54.1693193474357,18461.1112390812
"2078/2079",2079,123,123,100,719,885.5,49.2415606269242,19796.8228607802
"2079/2080",2080,123,123,100,761,863.5,55.1729741545951,19973.9792189943
"2080/2081",2081,123,123,100,766,840.5,47.9257155667137,19789.9002303518
"2081/2082",2082,123,123,100,814,934.5,52.1140742622974,19043.7953564273
"2082/2083",2083,123,123,100,748,999.5,58.655890028007,18081.4748847382
"2083/2084",2084,123,123,100,663,777,52.491356178225,20509.6244283384
"2084/2085",2085,123,123,100,687,825.5,52.0703578524508,19808.7566967076
"2085/2086",2086,123,123,100,746,1037,59.1280702633712,18404.0500494232
"2086/2087",2087,123,123,100,570,613,45.2536257690563,22175.669687828
"2087/2088",2088,123,123,100,867,1074,60.0093689917148,17601.3585568275
"2088/2089",2089,123,123,100,837,1050,59.0483076475184,17415.6124044461
"2089/2090",2090,123,123,100,794,989.5,57.775641599852,18850.5520799663
"2090/2091",2091,123,123,100,1002,1099,59.7454881738959,16956.1226368537
"2091/2092",2092,123,123,100,705,879.5,53.7721681235644,19220.5626101019
"2092/2093",2093,123,123,100,694,1209,67.1795371418557,16728.7714263676
"2093/2094",2094,123,123,100,815,1172,64.4901791628936,17083.9726199005
"2094/2095",2095,123,123,100,739,786.5,49.3515442266889,20301.2048574146
"2095/2096",2096,123,123,100,864,962.5,57.2957446419468,18587.8621043637
"2096/2097",2097,123,123,100,736,987.5,56.0162897653454,18874.7915337719
"2097/2098",2098,123,123,100,865,1219,64.8579822966594,16620.4589642342
"2098/2099",2099,123,123,100,741,868.5,48.940596183058,19698.1089694593
"2099/2100",2100,123,123,100,742,1035,63.3962397206524,18216.4502386097
