"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,597,617.5,44.1894550381031,22639.1832172286
"2000/2001",2001,123,123,100,581,582,40.1221081439715,23010.5653966679
"2001/2002",2002,123,123,100,690,814.5,48.4883529015917,20705.755767958
"2002/2003",2003,123,123,100,577,680.5,46.9870910336151,22358.5877154389
"2003/2004",2004,123,123,100,606,619.5,46.0777005194904,22538.6931743932
"2004/2005",2005,123,123,100,633,641.5,42.9252336076191,22116.295638048
"2005/2006",2006,123,123,100,590,558.5,41.2485935844678,23049.4791381391
"2006/2007",2007,123,123,100,664,438.5,43.9352269018422,23961.1965542528
"2007/2008",2008,123,123,100,751,726,46.9647880824728,20761.2739513366
"2008/2009",2009,123,123,100,698,849,47.4408547461147,20782.8248888162
"2009/2010",2010,123,123,100,562,632.5,41.0540402409185,22879.4506179716
"2010/2011",2011,123,123,100,576,470,43.0709288119689,23863.2867655184
"2011/2012",2012,123,123,100,705,750.5,42.9020836063287,21599.3079178084
"2012/2013",2013,123,123,100,555,650.5,46.9940411982268,22604.521685034
"2013/2014",2014,123,123,100,582,660,45.2022745577132,22213.5895645621
"2014/2015",2015,123,123,100,744,834,53.2903218994396,20122.2402346965
"2015/2016",2016,123,123,100,681,780.5,47.9245127123526,20781.9831255379
"2016/2017",2017,123,123,100,683,639,44.5869972772059,21909.2255369748
"2017/2018",2018,123,123,100,514,447.5,34.4242955840728,24328.2144447288
"2018/2019",2019,123,123,100,713,780,51.9056555307784,20691.1845704545
"2019/2020",2020,123,123,100,759,822,52.2936183482636,20355.2916838385
"2020/2021",2021,123,123,100,594,714.5,45.46989768809,21896.7900918238
"2021/2022",2022,123,123,100,717,703.5,47.9528764484307,21654.4049264623
"2022/2023",2023,123,123,100,481,346,33.2855091234442,25486.9182079174
"2023/2024",2024,123,123,100,889,1033.5,57.2663312871409,18155.9291526666
"2024/2025",2025,123,123,100,595,518.5,43.559852597132,23288.3618301204
"2025/2026",2026,123,123,100,581,620,43.7803158914926,22342.4822959737
"2026/2027",2027,123,123,100,803,952.5,52.0977229226748,19300.4585872297
"2027/2028",2028,123,123,100,732,661,44.8612893391701,21133.1455969131
"2028/2029",2029,123,123,100,555,551,43.9811430723746,23446.7452200791
"2029/2030",2030,123,123,100,804,805,48.5438885267238,20387.5412047678
"2030/2031",2031,123,123,100,514,679.5,43.0806135930106,22501.9135202053
"2031/2032",2032,123,123,100,592,383.5,39.6771589706511,24472.8466273514
"2032/2033",2033,123,123,100,603,769,46.461646915576,21542.7918174043
"2033/2034",2034,123,123,100,775,778.5,49.6931217925094,20829.9822993153
"2034/2035",2035,123,123,100,599,528.5,40.1603245432616,22999.7688924368
"2035/2036",2036,123,123,100,362,245.5,34.0620463277996,26228.2782427641
"2036/2037",2037,123,123,100,755,783,46.4146783478855,20696.2383365659
"2037/2038",2038,123,123,100,692,860,54.4994104867033,19923.4368002778
"2038/2039",2039,123,123,100,755,885.5,51.4728461079135,19949.7367373891
"2039/2040",2040,123,123,100,618,734,46.6811049337343,21521.3346683718
"2040/2041",2041,123,123,100,625,651,43.9190658537559,21947.1331890486
"2041/2042",2042,123,123,100,672,759.5,48.7226193655715,20831.3726951084
"2042/2043",2043,123,123,100,681,677.5,48.0932373901687,21793.9567916836
"2043/2044",2044,123,123,100,569,584,43.9436544857635,23288.5796008352
"2044/2045",2045,123,123,100,547,488,39.3356423090522,23956.7420896292
"2045/2046",2046,123,123,100,493,327,29.5015697462818,25368.3185753906
"2046/2047",2047,123,123,100,709,618.5,42.7956311302828,21942.0181073397
"2047/2048",2048,123,123,100,736,715.5,41.7258439824614,21459.2990540462
"2048/2049",2049,123,123,100,503,743.5,50.4139709257411,21763.6577588329
"2049/2050",2050,123,123,100,624,560.5,41.4233500201149,22593.0913993493
"2050/2051",2051,123,123,100,540,640,44.9218288111397,22082.6907983096
"2051/2052",2052,123,123,100,535,748,50.5616071215259,21673.6602279022
"2052/2053",2053,123,123,100,694,805.5,53.2052360727912,20633.7987180734
"2053/2054",2054,123,123,100,550,622,45.175526997883,22557.1223626621
"2054/2055",2055,123,123,100,735,844.5,53.1005409040208,20055.9545615511
"2055/2056",2056,123,123,100,675,848.5,53.7750079238645,20137.1638356801
"2056/2057",2057,123,123,100,472,393.5,42.0361387997191,24306.8894246258
"2057/2058",2058,123,123,100,952,1139.5,60.4193198646185,17353.6139244605
"2058/2059",2059,123,123,100,705,782,51.2426226868261,20966.0877282005
"2059/2060",2060,123,123,100,741,902.5,54.8479223189197,19621.3343972731
"2060/2061",2061,123,123,100,603,582.5,45.7841113274994,22714.5311297774
"2061/2062",2062,123,123,100,531,473,44.9401709140911,23374.7361393878
"2062/2063",2063,123,123,100,694,615.5,45.7871855995645,21613.5193009907
"2063/2064",2064,123,123,100,581,826,49.6523653508211,20799.5938715581
"2064/2065",2065,123,123,100,734,728.5,48.3166584324663,21266.9485326344
"2065/2066",2066,123,123,100,732,822.5,51.9384773336951,20331.67711592
"2066/2067",2067,123,123,100,666,769,48.2451329910227,21154.9514341364
"2067/2068",2068,123,123,100,645,628.5,41.1906958033805,22505.0250083543
"2068/2069",2069,123,123,100,872,875,49.4253098951112,19714.7693024985
"2069/2070",2070,123,123,100,585,710.5,44.8134088117977,21814.3890193729
"2070/2071",2071,123,123,100,661,838,52.0951587806376,20688.586202953
"2071/2072",2072,123,123,100,698,773.5,50.3239337183313,20753.4543089103
"2072/2073",2073,123,123,100,833,1085.5,55.2851710401847,18232.1802125759
"2073/2074",2074,123,123,100,682,844.5,56.5443038155063,20354.8013852984
"2074/2075",2075,123,123,100,583,519,42.984518341771,23408.5848863013
"2075/2076",2076,123,123,100,598,739,44.8496855646363,21845.6573433839
"2076/2077",2077,123,123,100,612,570.5,41.5804591888436,22473.2445065575
"2077/2078",2078,123,123,100,576,771.5,51.0836707878188,21409.055584114
"2078/2079",2079,123,123,100,644,697,49.6845752877807,21559.0089899432
"2079/2080",2080,123,123,100,795,731,48.6686302537009,20744.7105431538
"2080/2081",2081,123,123,100,751,874.5,54.0178118261856,20106.8831345774
"2081/2082",2082,123,123,100,694,817,50.7329108726135,20677.3151570009
"2082/2083",2083,123,123,100,560,373,37.8463235492991,24364.2952800207
"2083/2084",2084,123,123,100,702,785,50.6126725817112,20400.1751856999
"2084/2085",2085,123,123,100,709,655,50.0690714282937,21356.1566257887
"2085/2086",2086,123,123,100,650,520.5,39.2857433049285,23384.6253835792
"2086/2087",2087,123,123,100,977,1121.5,62.4050839408501,17060.6725312201
"2087/2088",2088,123,123,100,476,521.5,39.880868302098,23695.6403649505
"2088/2089",2089,123,123,100,530,555,44.2278422163536,23412.8648094311
"2089/2090",2090,123,123,100,557,683.5,47.662032390981,21787.490356287
"2090/2091",2091,123,123,100,391,288,35.1352193695302,25539.8160460498
"2091/2092",2092,123,123,100,638,610.5,44.8691334905388,22334.9951596577
"2092/2093",2093,123,123,100,465,297.5,32.601535765717,25583.751861088
"2093/2094",2094,123,123,100,438,418.5,36.1610641226689,24799.1906527542
"2094/2095",2095,123,123,100,765,850,57.4208024745803,19931.3800245803
"2095/2096",2096,123,123,100,500,686.5,48.7459007852722,22072.9341292046
"2096/2097",2097,123,123,100,600,638.5,45.5705284460864,22510.9201768246
"2097/2098",2098,123,123,100,484,494,35.8071916416875,24159.9491976202
"2098/2099",2099,123,123,100,679,841.5,50.9310424882879,20193.3018093947
"2099/2100",2100,123,123,100,634,609.5,41.2435609416443,22761.140800368
