"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,330,151,27.6504791928053,27164.7564861332
"2000/2001",2001,123,123,100,325,104.5,27.4806053642019,27497.9427781773
"2001/2002",2002,123,123,100,403,368,37.5830770260783,25152.0143201513
"2002/2003",2003,123,123,100,300,172,32.1773734297968,27000.8435740097
"2003/2004",2004,123,123,100,329,150,32.4367475109086,27012.6989584196
"2004/2005",2005,123,123,100,388,188,30.3347745513056,26723.5206709135
"2005/2006",2006,123,123,100,327,79.5,30.792915222532,27318.1184840216
"2006/2007",2007,123,123,100,413,27,33.5644004280994,28082.047031863
"2007/2008",2008,123,123,100,495,350,35.4492552486104,24958.3518808145
"2008/2009",2009,123,123,100,382,359,39.0943741151605,25256.2883437333
"2009/2010",2010,123,123,100,305,123.5,31.9658617441896,27798.974815132
"2010/2011",2011,123,123,100,355,8.5,31.6142869653495,28397.9688490869
"2011/2012",2012,123,123,100,363,280,32.635942543311,26271.7649279204
"2012/2013",2013,123,123,100,265,119.5,32.7966413736599,27442.9186249203
"2013/2014",2014,123,123,100,303,186.5,31.2856823593352,26764.0566491177
"2014/2015",2015,123,123,100,476,408.5,35.3553255635851,24582.0953127237
"2015/2016",2016,123,123,100,392,336,36.3167247733414,25210.6556307888
"2016/2017",2017,123,123,100,431,242.5,33.959800585635,26009.4450476714
"2017/2018",2018,123,123,100,266,-69,23.4088948287125,28781.6829028619
"2018/2019",2019,123,123,100,417,343.5,38.8539065726867,25134.7403383295
"2019/2020",2020,123,123,100,433,405,37.6449992153679,24864.9836862772
"2020/2021",2021,123,123,100,294,201.5,32.6004872855284,26674.7820797127
"2021/2022",2022,123,123,100,400,261,33.1294687311172,26305.076769989
"2022/2023",2023,123,123,100,228,-154.5,25.2584496154592,29864.4662168934
"2023/2024",2024,123,123,100,548,641.5,48.5025436415456,22635.4834291148
"2024/2025",2025,123,123,100,352,81,31.5842131260247,27658.682173118
"2025/2026",2026,123,123,100,296,118,29.0538562958977,26755.483778683
"2026/2027",2027,123,123,100,468,529,37.8251983463958,23694.5368414689
"2027/2028",2028,123,123,100,489,271.5,35.0598025132599,25219.962203111
"2028/2029",2029,123,123,100,322,63,30.8869627608001,28054.5481479899
"2029/2030",2030,123,123,100,513,428,38.6362575611627,24539.5326852384
"2030/2031",2031,123,123,100,260,133.5,30.4113076378192,27502.0104683507
"2031/2032",2032,123,123,100,383,-57.5,26.2929290344402,28672.1965645463
"2032/2033",2033,123,123,100,286,229,34.74059183451,26601.2015128704
"2033/2034",2034,123,123,100,465,380,36.9129238642879,25267.472683622
"2034/2035",2035,123,123,100,355,93,30.8139036311338,27117.1643022289
"2035/2036",2036,123,123,100,206,-310.5,17.9256113370111,31001.4835666674
"2036/2037",2037,123,123,100,442,338.5,34.0665562744357,25124.3048071936
"2037/2038",2038,123,123,100,437,397.5,41.1622308127444,24687.9923340138
"2038/2039",2039,123,123,100,476,440.5,39.4967145471699,24355.1420194549
"2039/2040",2040,123,123,100,394,260.5,32.2203580192042,26015.7923514848
"2040/2041",2041,123,123,100,359,189,33.4725051154555,26398.8286816967
"2041/2042",2042,123,123,100,380,323,36.6193277596572,25406.8766989638
"2042/2043",2043,123,123,100,419,248.5,36.4103623180188,25954.2213775599
"2043/2044",2044,123,123,100,295,63,30.0031191655678,27840.0464174477
"2044/2045",2045,123,123,100,300,-10,25.9948334023454,28610.8435724564
"2045/2046",2046,123,123,100,278,-169,21.3661264070761,29779.8518317454
"2046/2047",2047,123,123,100,462,213,32.8028475866017,26377.7306119706
"2047/2048",2048,123,123,100,476,288,35.6665629103193,25823.6908959923
"2048/2049",2049,123,123,100,224,195,30.5719986780764,26597.9452469153
"2049/2050",2050,123,123,100,376,114.5,31.9364542803191,27051.6469843984
"2050/2051",2051,123,123,100,332,153.5,32.4737610598013,26837.6106950827
"2051/2052",2052,123,123,100,277,218.5,32.9849334460964,26674.9543963699
"2052/2053",2053,123,123,100,422,371.5,40.0570993271458,25072.300573159
"2053/2054",2054,123,123,100,331,131,30.7848271905023,27275.4698719326
"2054/2055",2055,123,123,100,461,421.5,44.2587966790061,24609.2731142724
"2055/2056",2056,123,123,100,430,383,41.4996509234452,24481.6325326497
"2056/2057",2057,123,123,100,283,-91.5,27.0415680671772,28896.9140095972
"2057/2058",2058,123,123,100,618,726.5,50.6926514160195,21633.6481890269
"2058/2059",2059,123,123,100,417,330,35.5628502380491,25468.8933514245
"2059/2060",2060,123,123,100,433,451.5,39.6683594029932,24026.5806909055
"2060/2061",2061,123,123,100,323,111.5,33.5318025802426,27037.1193623403
"2061/2062",2062,123,123,100,302,29,33.2532750973232,27867.4517998146
"2062/2063",2063,123,123,100,479,208,32.6905235528043,25922.7306413688
"2063/2064",2064,123,123,100,276,314,37.6048849451663,25753.8065805072
"2064/2065",2065,123,123,100,452,303.5,36.6424280541983,25616.0097391047
"2065/2066",2066,123,123,100,435,353.5,36.4844144175377,24809.3228941606
"2066/2067",2067,123,123,100,402,297,37.2227552224981,25696.9569087084
"2067/2068",2068,123,123,100,381,183.5,30.0560378265045,26884.8457388626
"2068/2069",2069,123,123,100,550,505,36.4232678167937,23744.5261904662
"2069/2070",2070,123,123,100,313,224.5,32.6048977751802,26376.2124137031
"2070/2071",2071,123,123,100,375,349.5,40.9060615565036,25316.7695290474
"2071/2072",2072,123,123,100,425,336,35.1533179888565,25418.2011489514
"2072/2073",2073,123,123,100,485,651.5,42.9664080191369,22738.6804060861
"2073/2074",2074,123,123,100,360,358,40.0592086804627,25257.1281111697
"2074/2075",2075,123,123,100,329,31.5,30.3933881695302,27859.9444667455
"2075/2076",2076,123,123,100,306,244,34.8432296524543,26554.5893123271
"2076/2077",2077,123,123,100,370,129,28.7663300009694,26987.2381188571
"2077/2078",2078,123,123,100,298,262.5,35.4885554244588,26156.4467489449
"2078/2079",2079,123,123,100,358,226.5,38.0464706830453,26265.7505805856
"2079/2080",2080,123,123,100,554,355.5,40.3050627053531,24896.2264319761
"2080/2081",2081,123,123,100,439,427.5,44.0177796479175,24829.8263722528
"2081/2082",2082,123,123,100,394,354,37.16123902764,25145.7285433337
"2082/2083",2083,123,123,100,399,-70,26.9071704900466,28782.826459324
"2083/2084",2084,123,123,100,453,366,42.3780574206371,24778.1234110463
"2084/2085",2085,123,123,100,481,249,36.6311970201459,25559.6938677235
"2085/2086",2086,123,123,100,394,75.5,27.1673160184378,27743.0106373262
"2086/2087",2087,123,123,100,689,766,48.6047641044124,21415.7487077806
"2087/2088",2088,123,123,100,225,7,28.0892029606653,28313.1847420055
"2088/2089",2089,123,123,100,279,34.5,26.7392959538402,28279.5464267395
"2089/2090",2090,123,123,100,317,189,34.0572452636648,26455.5051476602
"2090/2091",2091,123,123,100,224,-230,23.4433554556163,30329.7426365893
"2091/2092",2092,123,123,100,387,172,34.7089510615228,26788.78603811
"2092/2093",2093,123,123,100,258,-187,20.3874913927166,29859.6291864961
"2093/2094",2094,123,123,100,214,-110.5,23.5323366766484,29502.1336391401
"2094/2095",2095,123,123,100,447,399,35.4617893296268,24348.0486064814
"2095/2096",2096,123,123,100,268,146.5,30.9627681996694,27197.4941068068
"2096/2097",2097,123,123,100,309,163,30.1543601660392,27196.6943683792
"2097/2098",2098,123,123,100,197,-27.5,25.628098741061,28881.9897768982
"2098/2099",2099,123,123,100,415,373,40.9879992484384,24848.0054193866
"2099/2100",2100,123,123,100,333,131.5,33.7307411327774,27051.5796601158
