"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,381,586.5,48.6415702962957,23421.2636088591
"2000/2001",2001,123,123,100,354,409,42.8602848013435,24676.7307537823
"2001/2002",2002,123,123,100,376,495.5,41.9280813816242,24243.086778178
"2002/2003",2003,123,123,100,390,649,49.5727581146118,22906.1431454794
"2003/2004",2004,123,123,100,400,618.5,50.1890705670767,22981.7847102897
"2004/2005",2005,123,123,100,349,433.5,41.149975253353,24799.6173334178
"2005/2006",2006,123,123,100,393,469.5,46.001860036151,24332.5270229923
"2006/2007",2007,123,123,100,459,590.5,46.7254492986176,23095.169519274
"2007/2008",2008,123,123,100,288,216,32.0046751715223,26502.1038634889
"2008/2009",2009,123,123,100,428,517,43.7867690618668,23775.7892066453
"2009/2010",2010,123,123,100,385,762.5,53.8558796808379,21982.0492106453
"2010/2011",2011,123,123,100,256,436,42.305092049719,24794.9698734777
"2011/2012",2012,123,123,100,393,501,43.6772237671674,23925.3153904784
"2012/2013",2013,123,123,100,429,750.5,51.2689039873683,21904.6510147485
"2013/2014",2014,123,123,100,314,404.5,41.7375674670162,24985.2662169372
"2014/2015",2015,123,123,100,346,443.5,42.3176988736395,24513.7133727856
"2015/2016",2016,123,123,100,290,380,39.0569872900179,25193.8271362518
"2016/2017",2017,123,123,100,258,74.5,31.4503644521194,27751.5318710217
"2017/2018",2018,123,123,100,262,289,40.2402840520723,26116.8159149655
"2018/2019",2019,123,123,100,495,547,46.1112532342063,23119.2511487405
"2019/2020",2020,123,123,100,334,535.5,39.5639257847258,23869.3497816443
"2020/2021",2021,123,123,100,393,576.5,44.2728616763427,23566.9590001968
"2021/2022",2022,123,123,100,255,242,35.5028814738193,26297.0289352126
"2022/2023",2023,123,123,100,269,296.5,37.2555943761545,25897.1084423484
"2023/2024",2024,123,123,100,455,504,42.4593966102718,24155.2089971313
"2024/2025",2025,123,123,100,372,376,42.1664278214739,24968.7163288756
"2025/2026",2026,123,123,100,343,461,41.4063137913267,24541.1660477128
"2026/2027",2027,123,123,100,285,314.5,42.4551546688097,25960.6047162819
"2027/2028",2028,123,123,100,308,290,35.9572159741808,25930.3542064191
"2028/2029",2029,123,123,100,379,799,53.470164420389,21473.4010814205
"2029/2030",2030,123,123,100,301,187.5,33.8879055719319,26914.5204831362
"2030/2031",2031,123,123,100,382,650.5,51.3980502751056,22746.0306890984
"2031/2032",2032,123,123,100,219,431.5,45.9520347227435,24549.6265166681
"2032/2033",2033,123,123,100,414,847,56.2100852109509,21058.5896554855
"2033/2034",2034,123,123,100,387,454.5,40.6783780390097,24543.1208434273
"2034/2035",2035,123,123,100,268,196.5,35.1897352039011,26953.2106248732
"2035/2036",2036,123,123,100,281,546,45.1583389844352,23709.2637864361
"2036/2037",2037,123,123,100,366,374,38.1622177237441,25320.6944056926
"2037/2038",2038,123,123,100,440,598.5,47.915059791721,22976.4482509312
"2038/2039",2039,123,123,100,252,334.5,41.310097904066,25684.2348861457
"2039/2040",2040,123,123,100,340,414.5,41.1179058986909,25047.7840883723
"2040/2041",2041,123,123,100,355,445,42.4308694773276,24672.4078842634
"2041/2042",2042,123,123,100,305,528.5,40.6281805733925,23708.7375375396
"2042/2043",2043,123,123,100,338,448,40.4897421789956,24618.7249595206
"2043/2044",2044,123,123,100,346,484.5,43.2945854301051,24484.1556563806
"2044/2045",2045,123,123,100,217,344.5,36.1438064270856,25730.1132135857
"2045/2046",2046,123,123,100,190,215.5,36.3615729010544,27011.1425142819
"2046/2047",2047,123,123,100,252,277,36.7369830857433,26305.2583315857
"2047/2048",2048,123,123,100,318,407.5,38.4480999667785,24805.7881827122
"2048/2049",2049,123,123,100,511,691.5,52.1635396915517,22440.4903585082
"2049/2050",2050,123,123,100,476,415.5,42.8565538390117,24124.3659949964
"2050/2051",2051,123,123,100,421,651,48.3701946947567,22779.8720778413
"2051/2052",2052,123,123,100,427,779,53.2386054351709,21668.7638729168
"2052/2053",2053,123,123,100,457,664,48.5192116559201,22667.8463535495
"2053/2054",2054,123,123,100,387,621,50.705664294268,22940.4630577778
"2054/2055",2055,123,123,100,397,579,49.6536219939912,23517.9570557224
"2055/2056",2056,123,123,100,493,721,47.4620670570916,21983.7895243848
"2056/2057",2057,123,123,100,448,774.5,53.4140670428246,21580.7753612036
"2057/2058",2058,123,123,100,434,585,46.6405054102838,23225.1343567008
"2058/2059",2059,123,123,100,340,451,42.8578948954655,24615.1780625191
"2059/2060",2060,123,123,100,411,440.5,37.5931335885061,24463.9198873406
"2060/2061",2061,123,123,100,359,540.5,44.9679387574633,23826.4487417685
"2061/2062",2062,123,123,100,445,770,51.7420145770611,21739.9531529788
"2062/2063",2063,123,123,100,287,460,44.0539098921754,24611.4359865226
"2063/2064",2064,123,123,100,454,731.5,50.3169495602287,21920.4283210393
"2064/2065",2065,123,123,100,246,290.5,38.6914103906861,26195.4466048237
"2065/2066",2066,123,123,100,405,370.5,37.7382857740799,25217.8330301456
