"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,739,1114.5,60.3676170121116,18169.4894563821
"2000/2001",2001,123,123,100,696,1030.5,57.3837335414516,18879.2922188863
"2001/2002",2002,123,123,100,703,1009,57.8520438313829,18742.8772912784
"2002/2003",2003,123,123,100,803,1116.5,57.1093562223135,17836.8105799402
"2003/2004",2004,123,123,100,765,1102.5,60.0637753087558,17943.0653274293
"2004/2005",2005,123,123,100,736,1021,58.6810419662303,19097.9867932846
"2005/2006",2006,123,123,100,689,1028.5,55.2930423528462,18678.8242496807
"2006/2007",2007,123,123,100,821,1062.5,54.5338849134467,18207.535727835
"2007/2008",2008,123,123,100,718,849.5,49.1106128527714,20363.4925986128
"2008/2009",2009,123,123,100,757,1006,57.6738143343574,18555.2314548201
"2009/2010",2010,123,123,100,840,1232,64.1177200340383,16981.7939026263
"2010/2011",2011,123,123,100,619,1044.5,62.9692833039724,18978.9763932476
"2011/2012",2012,123,123,100,774,1100,60.7359315352535,18107.3151715882
"2012/2013",2013,123,123,100,832,1209,64.1233030126228,16991.0499654748
"2013/2014",2014,123,123,100,725,983,57.0508628428245,19300.410129606
"2014/2015",2015,123,123,100,796,978,54.7555317277806,19099.4573574583
"2015/2016",2016,123,123,100,672,978.5,56.850777703017,19399.4197244034
"2016/2017",2017,123,123,100,600,769.5,50.1951679601477,21121.1425910727
"2017/2018",2018,123,123,100,610,917,54.7182355931166,20082.9936803831
"2018/2019",2019,123,123,100,833,1026,57.6297246072697,18067.7076852894
"2019/2020",2020,123,123,100,768,1064,59.1712621692129,18536.1787281875
"2020/2021",2021,123,123,100,796,1104.5,58.2169197525864,18240.786158917
"2021/2022",2022,123,123,100,674,938,52.2782796239424,19849.5902474921
"2022/2023",2023,123,123,100,577,919,58.0197699356213,19834.2531792601
"2023/2024",2024,123,123,100,862,1007,53.8909119179777,18768.6006745915
"2024/2025",2025,123,123,100,717,990.5,55.1318415358014,19165.9882629937
"2025/2026",2026,123,123,100,775,1023.5,59.7152851577673,19020.6832788317
"2026/2027",2027,123,123,100,734,878,52.1189812132352,20194.9755325336
"2027/2028",2028,123,123,100,705,885.5,53.6798394063323,20036.7641407168
"2028/2029",2029,123,123,100,788,1241.5,64.2093335466288,16770.9739969093
"2029/2030",2030,123,123,100,650,801,50.2149379013813,20792.9415144455
"2030/2031",2031,123,123,100,766,1160,62.1784623808098,17437.8629903095
"2031/2032",2032,123,123,100,582,1000.5,61.1380490040024,18995.3545155106
"2032/2033",2033,123,123,100,854,1290,65.2520849298216,16328.7274743244
"2033/2034",2034,123,123,100,755,1002.5,55.4776154278043,18973.6355316509
"2034/2035",2035,123,123,100,650,865.5,48.2610132506106,20721.620504424
"2035/2036",2036,123,123,100,614,1153.5,64.6098045080284,17995.1910884781
"2036/2037",2037,123,123,100,783,931,49.0263166796772,19509.3598141633
"2037/2038",2038,123,123,100,833,1112,60.4599102440261,17701.2539206329
"2038/2039",2039,123,123,100,733,952.5,54.3496109913203,19803.9102060781
"2039/2040",2040,123,123,100,712,977,56.1575544270709,19354.3458585218
"2040/2041",2041,123,123,100,748,986,59.3230305442953,19197.0714499149
"2041/2042",2042,123,123,100,764,1087.5,58.3765518445962,18413.6627329132
"2042/2043",2043,123,123,100,725,1004,56.6214271149661,19123.0150471302
"2043/2044",2044,123,123,100,705,1034.5,60.3446877244728,18849.3340594959
"2044/2045",2045,123,123,100,596,987.5,54.7453202339789,19582.2528792657
"2045/2046",2046,123,123,100,564,911.5,54.0729274974224,20377.7087928616
"2046/2047",2047,123,123,100,638,851.5,48.7727045883721,20473.2959003709
"2047/2048",2048,123,123,100,664,961,57.2792311002718,19158.5346338255
"2048/2049",2049,123,123,100,862,1158.5,61.8212208900759,17392.3524062699
"2049/2050",2050,123,123,100,783,914,55.519929745743,18802.3153312933
"2050/2051",2051,123,123,100,837,1167,62.3590664518938,17552.5729277171
"2051/2052",2052,123,123,100,860,1224.5,64.3786207905546,16923.5004585693
"2052/2053",2053,123,123,100,840,1143.5,58.2969939341629,17634.1408114564
"2053/2054",2054,123,123,100,791,1162.5,62.8009908131735,17841.9178077858
"2054/2055",2055,123,123,100,791,1046.5,58.3422505700623,18437.6163303861
"2055/2056",2056,123,123,100,840,1119,60.0968167554784,17387.0194655908
"2056/2057",2057,123,123,100,852,1271,62.4036205615644,16756.7512638625
"2057/2058",2058,123,123,100,851,1048.5,59.9266636557295,18309.8422767259
"2058/2059",2059,123,123,100,742,1018.5,54.4304658792635,19007.1874956861
"2059/2060",2060,123,123,100,814,939.5,55.5994500665738,19197.8830796033
"2060/2061",2061,123,123,100,707,1027.5,58.3457417279014,18555.7617280744
"2061/2062",2062,123,123,100,804,1217.5,66.3899001025193,16911.1398169091
"2062/2063",2063,123,123,100,701,995.5,54.3452854637753,19222.8404289093
"2063/2064",2064,123,123,100,837,1177,65.4951435585599,17124.1904304633
"2064/2065",2065,123,123,100,675,886.5,52.222927349706,20262.3319638371
"2065/2066",2066,123,123,100,791,888,49.2221209830377,19598.8759142058
"2066/2067",2067,123,123,100,753,1121.5,61.0701740506847,17817.8613798041
"2067/2068",2068,123,123,100,732,959.5,53.7962898053111,19442.0604745848
"2068/2069",2069,123,123,100,651,711.5,50.1891188636591,21617.7300843084
"2069/2070",2070,123,123,100,697,944.5,52.8523985409483,19519.8315059775
"2070/2071",2071,123,123,100,874,1211.5,65.6132788578643,16788.3240673663
"2071/2072",2072,123,123,100,783,1131.5,64.6013539089981,17657.6599248936
"2072/2073",2073,123,123,100,885,1016.5,57.2604326319024,17974.4654690363
"2073/2074",2074,123,123,100,967,1350,69.2770070553697,15451.244816863
"2074/2075",2075,123,123,100,837,1298,69.1314835939711,16302.5602356177
