"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,338,568,46.2934792343504,23467.0371941034
"2000/2001",2001,123,123,100,332,463.5,41.9177087963826,24376.8137290595
"2001/2002",2002,123,123,100,346,474.5,44.074737042881,24108.6190054467
"2002/2003",2003,123,123,100,387,613.5,47.4642357169371,23097.4188431427
"2003/2004",2004,123,123,100,380,579.5,44.6733329630359,23384.6546072784
"2004/2005",2005,123,123,100,321,465.5,37.5697451710442,24518.3310947879
"2005/2006",2006,123,123,100,346,493,41.3647915151304,24286.0032594246
"2006/2007",2007,123,123,100,410,559.5,44.5190269920399,23418.6145727973
"2007/2008",2008,123,123,100,311,332,35.3076886562151,25675.4468709929
"2008/2009",2009,123,123,100,389,517.5,44.5632859547409,23816.1333934013
"2009/2010",2010,123,123,100,370,716.5,51.8002818704835,22308.8696656731
"2010/2011",2011,123,123,100,242,442,42.5929698770801,24761.5475092614
"2011/2012",2012,123,123,100,350,546,44.9757511083055,23579.9776129082
"2012/2013",2013,123,123,100,421,705.5,52.566362818072,22232.5478934154
"2013/2014",2014,123,123,100,294,457,40.0179184878338,24772.5348441896
"2014/2015",2015,123,123,100,373,484.5,38.8925893007959,24319.6923573061
"2015/2016",2016,123,123,100,288,409,38.8307496051464,24910.085544626
"2016/2017",2017,123,123,100,258,196,31.5200924000268,26607.4345453072
"2017/2018",2018,123,123,100,260,319,40.8856882020027,25898.7715303062
"2018/2019",2019,123,123,100,458,576.5,45.5119222313206,23247.292494955
"2019/2020",2020,123,123,100,339,521,40.096557662308,23972.6582407195
"2020/2021",2021,123,123,100,336,565.5,44.5827728452638,23588.8113127318
"2021/2022",2022,123,123,100,235,369,35.8933855133562,25279.6844954765
"2022/2023",2023,123,123,100,249,329.5,37.1249834981352,25647.1140308697
"2023/2024",2024,123,123,100,453,552,42.4744876338912,23747.3806914622
"2024/2025",2025,123,123,100,326,444,41.8966981915435,24521.9641525969
"2025/2026",2026,123,123,100,362,482.5,44.8831280008217,24343.1531803412
"2026/2027",2027,123,123,100,305,334.5,36.5752598149311,25667.3974450794
"2027/2028",2028,123,123,100,323,363,36.0109171876159,25379.6809669789
"2028/2029",2029,123,123,100,373,716,52.2251015518161,22080.5800145851
"2029/2030",2030,123,123,100,305,272,33.0609818805601,26333.3025954743
"2030/2031",2031,123,123,100,327,635,50.8948197735058,22796.4703457709
"2031/2032",2032,123,123,100,225,415.5,43.3746476602671,24757.677936432
"2032/2033",2033,123,123,100,390,790.5,51.8383036266307,21520.3040517857
"2033/2034",2034,123,123,100,363,499,42.0270190143362,24285.0843088669
"2034/2035",2035,123,123,100,239,276.5,36.0125221489998,26502.2186629153
"2035/2036",2036,123,123,100,223,529,43.9278574479226,23805.7889028722
"2036/2037",2037,123,123,100,364,462,38.0915030602459,24549.5555665544
"2037/2038",2038,123,123,100,375,628.5,46.5841571640537,22878.3212557635
"2038/2039",2039,123,123,100,293,374.5,35.5791067069592,25217.514103902
"2039/2040",2040,123,123,100,311,443.5,36.9639188735171,24783.9569687918
"2040/2041",2041,123,123,100,331,449.5,39.5693956723378,24699.9948346741
"2041/2042",2042,123,123,100,329,531,43.5262916487113,23854.7020563707
"2042/2043",2043,123,123,100,341,449.5,38.724352337329,24665.4928217782
"2043/2044",2044,123,123,100,293,487.5,44.7800634903301,24442.8578325976
"2044/2045",2045,123,123,100,202,375.5,38.6966427379366,25423.3323962307
"2045/2046",2046,123,123,100,222,288,36.2794605848576,26258.9475817112
"2046/2047",2047,123,123,100,254,310.5,36.6553497773261,25994.6675162707
"2047/2048",2048,123,123,100,321,408,37.8010675706419,24795.3514415361
"2048/2049",2049,123,123,100,425,674,48.0203032202548,22646.0464107338
"2049/2050",2050,123,123,100,466,479,40.4285450930656,23816.9630275005
"2050/2051",2051,123,123,100,378,651.5,48.1247839392358,22838.9073005775
"2051/2052",2052,123,123,100,370,724.5,48.2475200503491,22158.9819720704
"2052/2053",2053,123,123,100,449,651,43.5674942718692,22833.1535314713
"2053/2054",2054,123,123,100,319,590,44.5988308496244,23279.7415611092
