"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,478,487,44.0705887374396,23845.3461560614
"2000/2001",2001,123,123,100,433,612,50.0103120273924,22972.7309528674
"2001/2002",2002,123,123,100,349,441,44.9111121908441,24992.4872325358
"2002/2003",2003,123,123,100,461,556,48.876597218786,23387.2084550315
"2003/2004",2004,123,123,100,408,567,44.765516697542,23509.1983340288
"2004/2005",2005,123,123,100,326,573.5,46.8633587795818,23505.6884827948
"2005/2006",2006,123,123,100,428,664,49.4036489800524,22415.7871694152
"2006/2007",2007,123,123,100,413,504.5,44.2679619910757,23494.4853083162
"2007/2008",2008,123,123,100,236,207.5,39.6854784657996,26516.6427123172
"2008/2009",2009,123,123,100,385,426.5,41.6880006748477,24607.4294504119
"2009/2010",2010,123,123,100,426,541,44.9304838401409,23929.2278117844
"2010/2011",2011,123,123,100,399,714,51.7665894128294,22208.6963125311
"2011/2012",2012,123,123,100,391,433.5,41.8812866378004,24430.9583088532
"2012/2013",2013,123,123,100,452,479.5,48.6352253178643,23967.5659251546
"2013/2014",2014,123,123,100,448,595.5,48.4215167248719,23403.933093196
"2014/2015",2015,123,123,100,293,314,44.0684866975945,25832.868939165
"2015/2016",2016,123,123,100,429,364.5,43.0054582203614,25478.235017953
"2016/2017",2017,123,123,100,348,540.5,48.7303646757856,24082.8952139739
"2017/2018",2018,123,123,100,459,842.5,57.1528468143908,20981.5315137377
"2018/2019",2019,123,123,100,329,394,42.1991954837963,25101.9328770183
"2019/2020",2020,123,123,100,302,317.5,39.7464637844712,25533.873014902
"2020/2021",2021,123,123,100,387,474,40.8103197383587,24310.1415107879
"2021/2022",2022,123,123,100,347,385,43.1341621508434,24897.1246361155
"2022/2023",2023,123,123,100,444,917.5,60.0220226649531,20259.7927480214
"2023/2024",2024,123,123,100,215,45.5,35.8983586831671,28143.7601056062
"2024/2025",2025,123,123,100,338,571.5,47.8783953488266,23143.7274892596
"2025/2026",2026,123,123,100,499,592,50.1616450258714,22889.2210693881
"2026/2027",2027,123,123,100,270,272,36.4510357046834,26227.9116364117
"2027/2028",2028,123,123,100,295,420.5,45.4243468605043,24867.9111769227
"2028/2029",2029,123,123,100,428,614.5,46.0869451290534,22869.0951995379
"2029/2030",2030,123,123,100,252,363,42.8353846970199,25260.0243298346
"2030/2031",2031,123,123,100,421,667,51.2526595855845,22773.7006172012
"2031/2032",2032,123,123,100,409,742,54.80871115271,21757.9621885018
"2032/2033",2033,123,123,100,443,480,46.48290475725,24466.6520662988
"2033/2034",2034,123,123,100,306,333,40.3193249334365,25684.56494623
"2034/2035",2035,123,123,100,414,647.5,53.7115921651684,22721.161639404
"2035/2036",2036,123,123,100,618,944.5,58.0111850640078,20158.0946731488
"2036/2037",2037,123,123,100,347,380.5,43.4999701334132,25267.4676115317
"2037/2038",2038,123,123,100,294,259.5,37.1643706016794,26376.8775913874
"2038/2039",2039,123,123,100,257,321,40.6037863515157,25649.2981809932
"2039/2040",2040,123,123,100,409,456.5,48.4636284121052,24475.1410257355
"2040/2041",2041,123,123,100,299,570,48.4133237815031,23643.4646909409
"2041/2042",2042,123,123,100,340,378,42.612818968239,25331.1487421645
