"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,687,960,60.220435087637,19349.6324672943
"2000/2001",2001,123,123,100,672,1066,57.6859113187545,18669.4575064213
"2001/2002",2002,123,123,100,637,916.5,50.4710601198673,20221.7465072051
"2002/2003",2003,123,123,100,726,997.5,56.6760403465077,18983.3735379047
"2003/2004",2004,123,123,100,680,1040.5,57.574043508116,18941.4974992695
"2004/2005",2005,123,123,100,618,1005.5,60.0543327003402,19238.4614287595
"2005/2006",2006,123,123,100,697,1075.5,60.1180638319296,18260.3279196022
"2006/2007",2007,123,123,100,659,945.5,53.5396676606434,18916.8465485972
"2007/2008",2008,123,123,100,424,745,51.8198163932096,21628.7503356256
"2008/2009",2009,123,123,100,638,929,55.0942810112386,19996.1914654905
"2009/2010",2010,123,123,100,678,967,56.7692062605606,19451.8210443789
"2010/2011",2011,123,123,100,632,1128.5,64.4206077492026,18222.4079935944
"2011/2012",2012,123,123,100,628,935,56.2425198099567,19838.6558238268
"2012/2013",2013,123,123,100,684,936.5,53.5324928941623,19340.1018384949
"2013/2014",2014,123,123,100,661,1028.5,56.5997309215888,19092.272237303
"2014/2015",2015,123,123,100,496,836,52.1729933857998,20847.1341577629
"2015/2016",2016,123,123,100,622,867.5,51.8250178789222,20843.7912734991
"2016/2017",2017,123,123,100,551,980.5,55.2751585264732,19913.1372574123
"2017/2018",2018,123,123,100,701,1244,64.4658698668009,17133.2287470181
"2018/2019",2019,123,123,100,611,912.5,55.1058276704953,20024.7436642197
"2019/2020",2020,123,123,100,550,847.5,55.5807351617057,20635.8017970412
"2020/2021",2021,123,123,100,609,938,57.9157678915853,19778.8569367207
"2021/2022",2022,123,123,100,502,851,54.4260270193199,20570.2819290874
"2022/2023",2023,123,123,100,682,1276.5,69.3269997327602,16703.7157320343
"2023/2024",2024,123,123,100,437,609.5,43.9675691574607,22833.741594357
"2024/2025",2025,123,123,100,596,981,61.0055800378911,19066.2598799802
"2025/2026",2026,123,123,100,706,1031.5,57.9009481244998,18616.31609368
"2026/2027",2027,123,123,100,478,831,50.1921342091973,21090.3696709196
"2027/2028",2028,123,123,100,541,897.5,56.0923463270701,20278.7973126867
"2028/2029",2029,123,123,100,711,1051.5,58.1046409532964,18492.6692147162
"2029/2030",2030,123,123,100,483,870.5,56.1717765020153,20612.8786062873
"2030/2031",2031,123,123,100,702,1037,60.6639199277724,18889.4346946529
"2031/2032",2032,123,123,100,692,1160.5,64.5007980934661,17718.6371786459
