"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,622,769.5,52.9665523620764,20751.4225298153
"2000/2001",2001,123,123,100,620,913.5,55.1356610122606,20031.2965803037
"2001/2002",2002,123,123,100,582,761,50.8868327927108,21670.3402426033
"2002/2003",2003,123,123,100,691,827,49.9488769290475,20439.1665120259
"2003/2004",2004,123,123,100,648,863.5,52.0328738031656,20395.233517206
"2004/2005",2005,123,123,100,562,842,53.3978458261406,20634.6958454415
"2005/2006",2006,123,123,100,638,910.5,56.3757325859324,19619.9496837156
"2006/2007",2007,123,123,100,607,788,50.4965028835453,20298.8961813315
"2007/2008",2008,123,123,100,381,560,45.0785557593081,23207.390039773
"2008/2009",2009,123,123,100,596,758,47.7472063474258,21278.9311809016
"2009/2010",2010,123,123,100,646,815,49.6442458957409,20836.4783509846
"2010/2011",2011,123,123,100,563,981.5,59.9685492971666,19629.1549757742
"2011/2012",2012,123,123,100,585,771.5,45.1799078374082,21165.3898354373
"2012/2013",2013,123,123,100,642,779.5,49.7147067383,20769.26919819
"2013/2014",2014,123,123,100,594,860,52.7331941368577,20523.3346412957
"2014/2015",2015,123,123,100,461,667.5,46.2601736797554,22305.8581277742
"2015/2016",2016,123,123,100,587,706,47.1071715881935,22282.658802585
"2016/2017",2017,123,123,100,490,792,49.7152575120031,21417.1694220516
"2017/2018",2018,123,123,100,653,1084.5,57.926785107833,18581.6476155876
"2018/2019",2019,123,123,100,560,751.5,47.9322753905012,21422.5613111793
"2019/2020",2020,123,123,100,509,685,51.5794695997001,21879.0728710627
"2020/2021",2021,123,123,100,571,757.5,53.7776456958629,21271.5172807763
"2021/2022",2022,123,123,100,485,667.5,49.5106307670603,22033.6160914819
"2022/2023",2023,123,123,100,622,1120.5,60.8738329521077,18236.2669799598
"2023/2024",2024,123,123,100,408,470,41.3170759459285,24080.5174779231
"2024/2025",2025,123,123,100,552,812,55.0724185763277,20565.7442005887
"2025/2026",2026,123,123,100,637,862.5,50.6221894845369,20094.7777943322
"2026/2027",2027,123,123,100,442,679.5,46.4630612412377,22490.6305237375
"2027/2028",2028,123,123,100,477,755,51.3557573498952,21674.0816615159
"2028/2029",2029,123,123,100,675,895,56.2289523374218,19837.5472624083
"2029/2030",2030,123,123,100,427,703,48.8856619214628,22058.4365106048
"2030/2031",2031,123,123,100,655,890.5,56.135674271751,20254.9853003602
"2031/2032",2032,123,123,100,616,1014,59.0276309963881,19147.361117051
"2032/2033",2033,123,123,100,693,791.5,47.4664667757008,21168.7642561002
"2033/2034",2034,123,123,100,491,687,47.4960166830754,22222.7189991018
"2034/2035",2035,123,123,100,594,913,56.6062611343696,19922.4425434768
"2035/2036",2036,123,123,100,864,1128.5,59.5318315142181,18048.8850473296
"2036/2037",2037,123,123,100,549,662,48.8416826022999,22255.0133894212
"2037/2038",2038,123,123,100,509,637,42.5683473169779,22658.3878192673
"2038/2039",2039,123,123,100,474,673,50.8576804699851,22520.4118704684
"2039/2040",2040,123,123,100,575,771.5,50.0848006789051,21376.2225077627
"2040/2041",2041,123,123,100,536,853,49.1062070398575,20746.6545631941
"2041/2042",2042,123,123,100,549,724.5,50.4360796439701,21904.6153756795
"2042/2043",2043,123,123,100,515,868.5,55.7639829862405,20748.254565795
"2043/2044",2044,123,123,100,651,916.5,56.0624068760235,19881.5516951829
"2044/2045",2045,123,123,100,593,936.5,59.1601039788029,19746.8958860338
"2045/2046",2046,123,123,100,628,1095.5,62.6982544091802,18430.6481271777
"2046/2047",2047,123,123,100,503,724,50.8190539426828,21887.4334574528
"2047/2048",2048,123,123,100,530,859.5,50.7324074969097,20677.721047177
"2048/2049",2049,123,123,100,696,849,53.8096843761691,20249.375994578
"2049/2050",2050,123,123,100,574,749,51.2919533424138,20923.6320110708
"2050/2051",2051,123,123,100,661,800.5,53.1938217923862,20992.8799136402
"2051/2052",2052,123,123,100,616,858,53.5751166246741,20586.8330427706
"2052/2053",2053,123,123,100,559,694.5,49.4142648621569,21896.9028101983
"2053/2054",2054,123,123,100,603,849,52.8187521606333,20486.2061005309
"2054/2055",2055,123,123,100,534,730,48.2092722093321,21947.2092977501
"2055/2056",2056,123,123,100,607,739.5,47.9795195433671,21433.4973193174
"2056/2057",2057,123,123,100,719,902,60.6988403748223,19616.9428441729
"2057/2058",2058,123,123,100,521,550.5,40.904885907581,23112.1626502313
"2058/2059",2059,123,123,100,526,691,47.6821001750441,21906.5199036542
"2059/2060",2060,123,123,100,534,712,47.0606158611681,22242.8312248727
"2060/2061",2061,123,123,100,732,969.5,50.1979580238926,19533.5191046363
"2061/2062",2062,123,123,100,770,911,56.1286866459495,19648.9309273455
"2062/2063",2063,123,123,100,605,789,50.6714101478869,21342.0311043151
"2063/2064",2064,123,123,100,622,795,49.8190694842451,21343.9715193193
"2064/2065",2065,123,123,100,442,747.5,50.6621652569179,21703.8218025742
"2065/2066",2066,123,123,100,485,626,48.8789233637322,22405.7887896039
"2066/2067",2067,123,123,100,569,813.5,48.4843297116572,21338.5071511101
"2067/2068",2068,123,123,100,561,861.5,53.3704604211589,20593.2096973499
"2068/2069",2069,123,123,100,374,712.5,53.5083979150568,22153.2334748534
"2069/2070",2070,123,123,100,509,867.5,55.3083754483268,20538.5951553844
"2070/2071",2071,123,123,100,607,745,46.9398788605722,21624.5070837652
"2071/2072",2072,123,123,100,585,721,45.6835656133826,21872.759106053
"2072/2073",2073,123,123,100,483,489.5,42.125648923663,23565.9761985727
"2073/2074",2074,123,123,100,587,661,43.6544354339158,22157.2820614008
"2074/2075",2075,123,123,100,725,851.5,51.9477374763719,20072.8689635694
"2075/2076",2076,123,123,100,585,830,52.2667381403044,20744.155415046
"2076/2077",2077,123,123,100,670,740,48.6212841121132,21425.5859596757
"2077/2078",2078,123,123,100,647,855,47.7417926792368,20669.8230628762
"2078/2079",2079,123,123,100,549,715.5,46.9685154561039,21874.3151000384
"2079/2080",2080,123,123,100,587,694.5,49.748189756634,21992.9875392132
"2080/2081",2081,123,123,100,532,675.5,42.999864121698,22271.8379578087
"2081/2082",2082,123,123,100,582,777.5,47.6648251367715,21354.937240894
"2082/2083",2083,123,123,100,629,890.5,57.3176694483409,19949.0350866113
"2083/2084",2084,123,123,100,509,634,47.2472776066106,22561.8740596073
"2084/2085",2085,123,123,100,570,703.5,49.6243014760439,21714.8252001815
"2085/2086",2086,123,123,100,606,887,54.7037208628217,20130.2730008885
"2086/2087",2087,123,123,100,406,394,37.3177400555396,24566.7995662233
"2087/2088",2088,123,123,100,708,944.5,53.9994814211113,19476.9613171276
"2088/2089",2089,123,123,100,691,959,59.3455657546256,19382.1289784983
"2089/2090",2090,123,123,100,620,836,53.3342056126867,20855.1639317628
"2090/2091",2091,123,123,100,833,1013,55.0478619017249,18757.05708584
"2091/2092",2092,123,123,100,569,733,46.6440209063339,21279.4852502942
"2092/2093",2093,123,123,100,599,1131.5,63.3107980787481,18044.3868564833
"2093/2094",2094,123,123,100,642,1035.5,59.6983908337616,18945.0288627446
"2094/2095",2095,123,123,100,570,645.5,47.4365157932325,22277.8466188405
"2095/2096",2096,123,123,100,682,838.5,51.6775079018216,20730.7341944128
"2096/2097",2097,123,123,100,598,838.5,52.7164648723137,20820.0910843797
"2097/2098",2098,123,123,100,718,1069.5,59.7827373972141,18421.008354282
"2098/2099",2099,123,123,100,540,715,46.174279152543,21891.941204641
"2099/2100",2100,123,123,100,597,914,56.5151222335435,20017.4929122124
