"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,629,878.5,57.4400722450293,20181.9954711465
"2000/2001",2001,123,123,100,607,983,56.1276232874814,19483.407249187
"2001/2002",2002,123,123,100,568,837.5,50.8135538561805,21033.2255656015
"2002/2003",2003,123,123,100,669,934.5,57.2510095963805,19766.2963849105
"2003/2004",2004,123,123,100,630,957.5,55.0452952517593,19733.9013373519
"2004/2005",2005,123,123,100,548,923.5,59.3964899603774,20043.3113474215
"2005/2006",2006,123,123,100,634,1007,57.7253219557263,19026.1275240129
"2006/2007",2007,123,123,100,606,880.5,52.9723258307963,19677.5335999778
"2007/2008",2008,123,123,100,379,634.5,50.5117273283329,22578.8551981545
"2008/2009",2009,123,123,100,587,842,50.422145131061,20838.4640822134
"2009/2010",2010,123,123,100,624,892,51.3337844551014,20216.7537748771
"2010/2011",2011,123,123,100,567,1058.5,60.0133195304567,19074.5187104177
"2011/2012",2012,123,123,100,564,851.5,53.7170115668573,20727.1825667154
"2012/2013",2013,123,123,100,623,868.5,53.3754423806787,20117.1744400961
"2013/2014",2014,123,123,100,591,954,56.4256568561782,19890.4929276786
"2014/2015",2015,123,123,100,454,749,49.3071906512337,21717.3131596034
"2015/2016",2016,123,123,100,550,793,50.1739495765187,21642.4371253569
"2016/2017",2017,123,123,100,485,886.5,55.7309818766757,20759.0888252524
"2017/2018",2018,123,123,100,641,1171,63.4192909133521,17922.3946903674
"2018/2019",2019,123,123,100,546,834.5,52.2659582678436,20845.3732871737
"2019/2020",2020,123,123,100,500,751,51.9673694992532,21523.5042686139
"2020/2021",2021,123,123,100,555,850,55.3205401255391,20647.8820657753
"2021/2022",2022,123,123,100,471,747.5,51.6552865350529,21494.5522199757
"2022/2023",2023,123,123,100,613,1201.5,65.1463395800804,17484.8057707762
"2023/2024",2024,123,123,100,382,529,41.5636483648291,23703.4893455277
"2024/2025",2025,123,123,100,532,903.5,58.3557797321237,19930.4225488533
"2025/2026",2026,123,123,100,647,956,55.1799124930694,19430.5400473205
"2026/2027",2027,123,123,100,421,739,49.2100520015179,21958.142076578
"2027/2028",2028,123,123,100,475,819.5,55.7752333933397,21142.4542632764
"2028/2029",2029,123,123,100,671,980.5,55.4052971811486,19256.2185472064
"2029/2030",2030,123,123,100,414,764.5,54.8476713270122,21474.8454960464
"2030/2031",2031,123,123,100,639,977,58.4844158905489,19637.6397676566
"2031/2032",2032,123,123,100,619,1094,63.9399480326506,18479.3553336491
"2032/2033",2033,123,123,100,656,872,50.2792867536068,20635.6591344965
"2033/2034",2034,123,123,100,474,783.5,48.2965917348347,21607.4067648179
"2034/2035",2035,123,123,100,582,1010,57.8850075784962,19250.9679925288
"2035/2036",2036,123,123,100,849,1208,60.5240072148281,17326.5522601502
"2036/2037",2037,123,123,100,532,758,51.3826492151838,21589.3778607128
"2037/2038",2038,123,123,100,504,705.5,46.3464014443616,22101.1051353621
"2038/2039",2039,123,123,100,457,747,53.6477567656693,21986.4584203516
"2039/2040",2040,123,123,100,566,847.5,50.9730439612767,20822.2695630398
"2040/2041",2041,123,123,100,518,929.5,57.1453999151463,20087.4290588745
"2041/2042",2042,123,123,100,530,800.5,49.6354199927141,21333.1111994581
"2042/2043",2043,123,123,100,507,942,62.3839651197236,20139.5405619475
"2043/2044",2044,123,123,100,623,987.5,58.7915175851326,19249.3360711308
"2044/2045",2045,123,123,100,572,1030.5,58.4627197999093,19127.9203482736
"2045/2046",2046,123,123,100,625,1170.5,65.9523828823935,17796.9201604053
"2046/2047",2047,123,123,100,496,806,54.3403840107685,21227.3166745044
"2047/2048",2048,123,123,100,510,923.5,51.5684414647585,20244.8735150201
"2048/2049",2049,123,123,100,684,937.5,55.3736711271958,19607.5280166697
"2049/2050",2050,123,123,100,578,845.5,51.9144517441418,20171.2673924565
"2050/2051",2051,123,123,100,650,868,55.8783859409295,20431.4287974769
"2051/2052",2052,123,123,100,603,923,57.4140898949054,19985.1001936002
"2052/2053",2053,123,123,100,547,757.5,49.8175266269545,21660.8623870881
"2053/2054",2054,123,123,100,601,938,54.8468557995175,19903.5006572744
"2054/2055",2055,123,123,100,520,801,52.9013992391351,21443.5116344513
"2055/2056",2056,123,123,100,605,825,49.2047614280477,20948.7223474439
"2056/2057",2057,123,123,100,721,997.5,58.5920294301759,18944.0326614706
"2057/2058",2058,123,123,100,495,612,44.8231965507093,22919.2801252194
"2058/2059",2059,123,123,100,508,769,52.3422914521007,21353.0762671959
"2059/2060",2060,123,123,100,511,789.5,51.3596823159996,21651.4071384221
"2060/2061",2061,123,123,100,729,1035,59.609890171047,18940.5169788515
"2061/2062",2062,123,123,100,767,993,54.2167255672648,19106.5493870815
"2062/2063",2063,123,123,100,595,862,54.8971302078126,20732.2294530803
"2063/2064",2064,123,123,100,608,878.5,52.7035176357367,20675.2507301299
