"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,519,1040,63.7585844892263,18960.774332632
"2000/2001",2001,123,123,100,474,950,59.2667829903511,19792.8496639782
"2001/2002",2002,123,123,100,587,1068.5,65.6000724502773,18626.9982839975
"2002/2003",2003,123,123,100,566,1129.5,68.080859529639,18425.5101958812
"2003/2004",2004,123,123,100,548,1089,62.6424306338057,18844.5453703133
"2004/2005",2005,123,123,100,513,1055.5,60.9314940867191,18971.4550441405
"2005/2006",2006,123,123,100,524,961.5,60.2555097937679,19803.412885347
"2006/2007",2007,123,123,100,528,1000.5,65.0163979371157,19152.4182911878
"2007/2008",2008,123,123,100,578,1002,61.6061726915445,19184.8532147958
"2008/2009",2009,123,123,100,618,1068,60.8919343177163,18657.1787010947
"2009/2010",2010,123,123,100,527,1220,70.707352612272,17562.0717895648
"2010/2011",2011,123,123,100,459,972,61.8778715381534,19631.4699141819
"2011/2012",2012,123,123,100,508,1082,67.2969446452948,18428.1060182186
"2012/2013",2013,123,123,100,564,1182.5,67.6939895564331,17795.8538654216
"2013/2014",2014,123,123,100,533,1019.5,60.469296794987,19247.4984408468
"2014/2015",2015,123,123,100,568,1107.5,66.905352930308,18287.6139531562
"2015/2016",2016,123,123,100,592,1070,64.5629100060178,18811.2063174415
"2016/2017",2017,123,123,100,509,856,53.8354835220819,20610.8528052522
"2017/2018",2018,123,123,100,422,848.5,58.6881928385262,20924.9096643042
"2018/2019",2019,123,123,100,620,1095.5,68.8851049172347,18175.6901068522
"2019/2020",2020,123,123,100,613,1136,65.588755507019,17965.3438898395
"2020/2021",2021,123,123,100,537,1130,65.5114895784172,18474.4017077107
"2021/2022",2022,123,123,100,524,1025.5,60.2767198517886,19180.5518353817
"2022/2023",2023,123,123,100,378,801.5,51.3088362037047,21185.2415969288
"2023/2024",2024,123,123,100,737,1218.5,66.002756749047,17104.2267792958
"2024/2025",2025,123,123,100,472,937.5,58.1375396015674,20069.1189569454
"2025/2026",2026,123,123,100,548,1013.5,63.0537960876559,19358.5909941122
"2026/2027",2027,123,123,100,635,1141.5,65.9836226512643,18219.8708391595
"2027/2028",2028,123,123,100,581,963.5,59.8878824690278,19555.8935463466
"2028/2029",2029,123,123,100,529,1110,67.4539643198077,18274.9460292282
"2029/2030",2030,123,123,100,590,976.5,60.9282535696066,19395.2232033857
"2030/2031",2031,123,123,100,523,1097.5,66.4747178430894,18672.1748491284
"2031/2032",2032,123,123,100,434,903,59.3914680095086,20099.3829555288
"2032/2033",2033,123,123,100,574,1274.5,71.7347602235159,16913.5889426633
"2033/2034",2034,123,123,100,579,1102.5,62.762219192005,18366.0374516696
"2034/2035",2035,123,123,100,508,835,56.1532955443508,20924.501569604
"2035/2036",2036,123,123,100,378,923.5,58.9327277409971,20394.2966796448
"2036/2037",2037,123,123,100,545,1073,62.3071297406,18839.4547499595
"2037/2038",2038,123,123,100,657,1255.5,70.6535676418912,17033.6635149932
"2038/2039",2039,123,123,100,588,1122,65.4946177040911,18622.6795065156
"2039/2040",2040,123,123,100,569,1052.5,62.7612073930723,18982.2820825353
"2040/2041",2041,123,123,100,546,1071.5,61.5139619558322,18967.3358235378
"2041/2042",2042,123,123,100,610,1155,68.0409920307002,18039.4428062942
"2042/2043",2043,123,123,100,578,990,59.767520470984,19400.1578822415
"2043/2044",2044,123,123,100,460,969.5,61.0977459084434,19689.061970917
"2044/2045",2045,123,123,100,390,946.5,59.8455390118279,20176.3070284869
"2045/2046",2046,123,123,100,376,796.5,54.940286741592,21356.6083557745
"2046/2047",2047,123,123,100,524,984,59.7013120071088,19596.708653735
"2047/2048",2048,123,123,100,542,1002.5,63.0250525207293,18969.044670559
"2048/2049",2049,123,123,100,611,1147,64.9015881115838,18274.7371185599
"2049/2050",2050,123,123,100,521,1031.5,62.1218489972871,18972.0647027525
"2050/2051",2051,123,123,100,567,1112.5,65.3019679777053,18357.6433547055
"2051/2052",2052,123,123,100,592,1222,68.7266699595593,17350.4363471586
"2052/2053",2053,123,123,100,657,1200.5,66.8406062796021,17558.1436780626
"2053/2054",2054,123,123,100,511,1119,64.4297857045913,18441.8830084354
"2054/2055",2055,123,123,100,643,1191.5,68.8832320869897,17631.9020977905
"2055/2056",2056,123,123,100,684,1186.5,67.5766166997191,17490.2755520027
"2056/2057",2057,123,123,100,491,1150,68.4130545733415,18282.3219400598
"2057/2058",2058,123,123,100,777,1231,68.602836107385,16818.2196019897
"2058/2059",2059,123,123,100,597,1105,64.8030778722377,18473.3556727618
"2059/2060",2060,123,123,100,672,1137.5,68.9143498196881,17982.3810307002
"2060/2061",2061,123,123,100,568,1042,61.1166164885926,19185.312974574
"2061/2062",2062,123,123,100,609,1147.5,65.5513685127589,18276.4593313066
"2062/2063",2063,123,123,100,550,1074,64.7420986811685,18900.4004639648
"2063/2064",2064,123,123,100,624,1222,70.7791765461925,17361.5595224602
"2064/2065",2065,123,123,100,548,1069,65.1979163610113,18950.1750429254
"2065/2066",2066,123,123,100,600,1108,64.2148917082613,18377.3078191271
"2066/2067",2067,123,123,100,613,1173,68.8088602726666,17784.8682165062
"2067/2068",2068,123,123,100,494,977.5,59.795503005299,19524.0853364011
"2068/2069",2069,123,123,100,563,946,59.0014486675427,19828.4448298402
"2069/2070",2070,123,123,100,550,1070.5,62.7094628227187,19028.8617800511
"2070/2071",2071,123,123,100,680,1279,70.8152962574559,16895.3348464901
"2071/2072",2072,123,123,100,610,1235,65.2852196163303,17322.7544690929
"2072/2073",2073,123,123,100,688,1229,70.1213235607065,16825.9824576192
"2073/2074",2074,123,123,100,693,1424,76.3643791286431,15787.9947501179
"2074/2075",2075,123,123,100,555,1121.5,63.6899283328858,18190.0663658725
"2075/2076",2076,123,123,100,525,1058.5,63.8681751183185,18871.6952094082
"2076/2077",2077,123,123,100,512,1039.5,64.5092498206195,19273.2564020501
"2077/2078",2078,123,123,100,578,1151,68.9109291831955,17814.0280707451
"2078/2079",2079,123,123,100,567,1171,65.6790526399018,18051.9832240865
"2079/2080",2080,123,123,100,564,1056.5,60.0737815443936,18694.3294697469
"2080/2081",2081,123,123,100,695,1255.5,66.595313033733,17022.8490620935
"2081/2082",2082,123,123,100,647,1219,65.9979045312411,17251.2288293857
"2082/2083",2083,123,123,100,496,1028.5,63.6627828276341,19208.4477817239
"2083/2084",2084,123,123,100,595,1093.5,66.1263673570684,18646.6236797348
"2084/2085",2085,123,123,100,587,1019,62.598912348396,19137.925894998
"2085/2086",2086,123,123,100,447,916,57.3718322003133,20431.6836191174
"2086/2087",2087,123,123,100,807,1315,69.4642281491142,16065.2126370687
"2087/2088",2088,123,123,100,468,989.5,62.2558851064696,19410.3019665759
"2088/2089",2089,123,123,100,489,1123.5,67.7116364400899,18371.1788378563
"2089/2090",2090,123,123,100,570,1121.5,61.9398694819847,18468.1253851941
"2090/2091",2091,123,123,100,472,1073,68.7444102679328,19001.164271065
"2091/2092",2092,123,123,100,558,1108,65.9149145409683,18343.33365604
"2092/2093",2093,123,123,100,385,755,54.3901177498174,21793.1988725914
"2093/2094",2094,123,123,100,380,919,59.8670507424176,20391.4738107966
"2094/2095",2095,123,123,100,672,1169,66.788729703303,17716.1385804219
"2095/2096",2096,123,123,100,539,1267,72.7926197603902,17193.0607749326
"2096/2097",2097,123,123,100,516,1027,61.6034281561824,19287.6798857041
"2097/2098",2098,123,123,100,480,974.5,59.1826117045039,19706.524227527
"2098/2099",2099,123,123,100,651,1204,65.6069602282059,17516.9736960372
"2099/2100",2100,123,123,100,490,955.5,57.5248898550126,19979.8450438082
