"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,335,523.5,46.2053304415814,23840.9108358513
"2000/2001",2001,123,123,100,337,409,38.2139505130466,24769.7806269895
"2001/2002",2002,123,123,100,410,563.5,45.3104522819993,23532.0717702401
"2002/2003",2003,123,123,100,358,605,46.8370046675217,23324.6203035489
"2003/2004",2004,123,123,100,362,538.5,47.682205172451,23794.6272544491
"2004/2005",2005,123,123,100,329,519,46.3713028264697,23926.2094338697
"2005/2006",2006,123,123,100,363,413,44.519456127812,24849.2631165496
"2006/2007",2007,123,123,100,377,490.5,41.8990186101439,24200.2399593409
"2007/2008",2008,123,123,100,383,502,42.0264786637132,23987.5910647825
"2008/2009",2009,123,123,100,424,553.5,44.9089881334393,23410.8202029746
"2009/2010",2010,123,123,100,349,671.5,48.9817948765989,22548.9834463826
"2010/2011",2011,123,123,100,301,437,42.6814647094194,24781.0138311291
"2011/2012",2012,123,123,100,327,574,47.4401192392598,23318.6170814857
"2012/2013",2013,123,123,100,337,654,52.0957055930695,22771.7050021924
"2013/2014",2014,123,123,100,365,496.5,46.8062496779344,24125.2094684998
"2014/2015",2015,123,123,100,389,599,49.1614681024776,22973.3999256578
"2015/2016",2016,123,123,100,365,554,46.5487415245811,23552.3453413406
"2016/2017",2017,123,123,100,332,375.5,37.9440850937312,25459.8172655031
"2017/2018",2018,123,123,100,262,298,41.9530747878377,25973.5764358568
"2018/2019",2019,123,123,100,445,574,48.2650416248898,23038.0456095266
"2019/2020",2020,123,123,100,429,640.5,47.19562918318,22811.3083985834
"2020/2021",2021,123,123,100,338,608,47.557293907734,23318.2435480081
"2021/2022",2022,123,123,100,320,509,41.8000358731781,24006.3663155264
"2022/2023",2023,123,123,100,267,243.5,35.0806065668094,26433.6527930475
"2023/2024",2024,123,123,100,520,772.5,53.4563664591458,21647.1786767347
"2024/2025",2025,123,123,100,342,409.5,43.1513648638058,24873.7588654947
"2025/2026",2026,123,123,100,348,474,45.76020715752,24225.9608706683
"2026/2027",2027,123,123,100,416,619.5,46.7110359805365,23050.2142427927
"2027/2028",2028,123,123,100,405,448.5,41.5062464015,24397.363833616
"2028/2029",2029,123,123,100,340,596.5,47.325740012257,23243.2178979521
"2029/2030",2030,123,123,100,426,453.5,43.1718338538785,24285.7106424184
"2030/2031",2031,123,123,100,346,570.5,45.0760961560536,23551.969152845
"2031/2032",2032,123,123,100,301,349.5,38.3170447065336,25269.4634274882
"2032/2033",2033,123,123,100,337,780.5,52.6722763735788,21752.4658547868
"2033/2034",2034,123,123,100,407,580.5,44.2921130591249,23253.9496735535
"2034/2035",2035,123,123,100,339,295.5,40.2714479163324,25958.4171790858
"2035/2036",2036,123,123,100,213,367.5,39.7788995634774,25602.450194208
"2036/2037",2037,123,123,100,345,545,48.2657589065625,23651.9097643867
"2037/2038",2038,123,123,100,431,743,51.0109985725212,21822.8804487656
"2038/2039",2039,123,123,100,394,571.5,45.7008988503785,23406.8623700095
"2039/2040",2040,123,123,100,388,545.5,46.5100908853356,23786.7762700119
"2040/2041",2041,123,123,100,352,521,45.6517808625495,24017.3253825149
"2041/2042",2042,123,123,100,401,628,50.4405171575077,22936.1643557115
"2042/2043",2043,123,123,100,376,490.5,39.81362778212,24423.4020686466
"2043/2044",2044,123,123,100,294,444,44.4767367504892,24725.7581250947
"2044/2045",2045,123,123,100,244,372,41.3745783003433,25289.3482318325
"2045/2046",2046,123,123,100,211,251.5,33.6594632763536,26534.2359938556
"2046/2047",2047,123,123,100,361,445.5,44.1003842934233,24618.4959419649
"2047/2048",2048,123,123,100,391,511,44.8706984861255,23940.2098789113
"2048/2049",2049,123,123,100,375,620,49.4789665851799,23124.4362634644
"2049/2050",2050,123,123,100,342,500.5,44.3388756366367,23855.2844457263
"2050/2051",2051,123,123,100,348,625.5,51.5067428289058,23152.7365301913
"2051/2052",2052,123,123,100,362,720.5,54.0028345034048,22253.0240935832
"2052/2053",2053,123,123,100,469,686,47.4837495616794,22342.0411225911
"2053/2054",2054,123,123,100,310,566,49.8093224202858,23390.9901434286
"2054/2055",2055,123,123,100,443,684.5,48.8662231445846,22491.9113728609
"2055/2056",2056,123,123,100,472,675.5,50.1760084488747,22366.3540740963
"2056/2057",2057,123,123,100,309,590.5,52.3065506317398,23408.5203647949
"2057/2058",2058,123,123,100,556,756.5,54.0905548652941,21329.2868482387
"2058/2059",2059,123,123,100,389,579.5,45.5819956408841,23364.6954387762
"2059/2060",2060,123,123,100,465,631,47.6183984954032,22815.6523098042
"2060/2061",2061,123,123,100,385,482,47.7315662772253,24235.0558568314
"2061/2062",2062,123,123,100,388,585.5,47.7005855635252,23264.2239960544
"2062/2063",2063,123,123,100,370,525.5,43.3026006584651,23853.6423631134
"2063/2064",2064,123,123,100,400,725,53.9409477174004,22271.5382794803
"2064/2065",2065,123,123,100,353,531.5,46.7877514589245,23946.0633489946
"2065/2066",2066,123,123,100,382,591.5,44.8218263324925,23149.4027369302
"2066/2067",2067,123,123,100,404,658.5,47.8954055860549,22704.2600992685
"2067/2068",2068,123,123,100,335,459,44.2454860261214,24544.0965670645
"2068/2069",2069,123,123,100,401,418,41.806027495556,24675.8536284892
"2069/2070",2070,123,123,100,356,517,47.2715999453185,24017.2602880932
"2070/2071",2071,123,123,100,446,779,53.5858008837558,21775.8288472639
"2071/2072",2072,123,123,100,406,712,51.9397371433224,22187.0327412393
"2072/2073",2073,123,123,100,490,762.5,52.2207654561626,21450.5270961141
"2073/2074",2074,123,123,100,454,878,59.0489382389205,20596.7775011221
"2074/2075",2075,123,123,100,354,604.5,47.8609204828317,23157.2963644508
"2075/2076",2076,123,123,100,338,553,42.3217777002974,23770.6161403218
"2076/2077",2077,123,123,100,328,506.5,44.8214239492909,24110.7129424894
"2077/2078",2078,123,123,100,399,634.5,49.8583341583362,22839.6038038433
"2078/2079",2079,123,123,100,342,634,48.64938829721,22912.8372811051
"2079/2080",2080,123,123,100,379,543,46.5009617518517,23524.8574584574
"2080/2081",2081,123,123,100,485,720,50.4781383445097,21854.3085274203
"2081/2082",2082,123,123,100,461,707.5,54.2884102120333,22104.7122790404
"2082/2083",2083,123,123,100,309,497,46.9394448061439,24278.1558090616
"2083/2084",2084,123,123,100,405,579.5,45.4299331924331,23432.6031300705
"2084/2085",2085,123,123,100,408,522,47.8186876311083,23839.8471820019
"2085/2086",2086,123,123,100,269,346.5,40.2492535229139,25420.3831694862
"2086/2087",2087,123,123,100,592,854.5,57.3363805502995,20673.500910718
"2087/2088",2088,123,123,100,306,478.5,44.8061221999533,24402.8311541099
"2088/2089",2089,123,123,100,334,565,48.4854841277293,23449.0039864276
"2089/2090",2090,123,123,100,386,596,47.1745664370001,23395.8516757824
"2090/2091",2091,123,123,100,286,524.5,45.5518666957596,24184.8967732564
"2091/2092",2092,123,123,100,399,580.5,42.1847787432289,23355.7333220243
"2092/2093",2093,123,123,100,211,219.5,31.1594696283437,26935.0666574407
