"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,224,-653,14.8686433598463,32739.4007065322
"2000/2001",2001,123,123,100,164,-840,8.47777367639175,34274.8327858874
"2001/2002",2002,123,123,100,213,-800.5,4.87759026085999,34009.1859173558
"2002/2003",2003,123,123,100,221,-624.5,12.1825452342051,32913.6447178238
"2003/2004",2004,123,123,100,197,-690.5,11.2741982150372,33596.7289469135
"2004/2005",2005,123,123,100,167,-783.5,9.57718843326916,33796.5834752999
"2005/2006",2006,123,123,100,227,-725.5,16.8369070129147,33978.9880932935
"2006/2007",2007,123,123,100,258,-588,20.0496023700312,31678.7479006152
"2007/2008",2008,123,123,100,164,-973,10.1720821584731,34147.362659011
"2008/2009",2009,123,123,100,198,-778.5,12.7798870668128,33136.3830875891
"2009/2010",2010,123,123,100,165,-540.5,14.2240415643673,32321.9781648091
"2010/2011",2011,123,123,100,112,-911,5.83374857402947,36205.2426726461
"2011/2012",2012,123,123,100,232,-639,16.236673299613,32890.7358535938
"2012/2013",2013,123,123,100,271,-466,17.5999096545701,31577.6126068579
"2013/2014",2014,123,123,100,181,-808.5,12.1575102048182,33797.5987649215
"2014/2015",2015,123,123,100,210,-802.5,10.0050671376601,33493.8289018052
"2015/2016",2016,123,123,100,138,-901.5,5.22973061699193,34785.2742200396
"2016/2017",2017,123,123,100,98,-1121,4.30818052887855,36082.6038395143
"2017/2018",2018,123,123,100,117,-952,9.56553306139926,34921.9749057717
"2018/2019",2019,123,123,100,310,-559.5,17.2902763802032,31478.660043017
"2019/2020",2020,123,123,100,190,-680.5,8.31650999749732,33924.5159193166
"2020/2021",2021,123,123,100,166,-772.5,13.1330167917744,33851.2558079488
"2021/2022",2022,123,123,100,107,-913,9.59340766274079,34470.1260463211
"2022/2023",2023,123,123,100,125,-963.5,8.22645592714252,35547.0200075775
"2023/2024",2024,123,123,100,219,-631,12.5897504656836,32428.2177936686
"2024/2025",2025,123,123,100,213,-809.5,14.9823906294474,32900.6290872325
"2025/2026",2026,123,123,100,206,-777,14.3028921328118,33238.5207571294
"2026/2027",2027,123,123,100,126,-980,1.90097500792558,35642.6036207164
"2027/2028",2028,123,123,100,157,-918,7.34549667667352,34252.9260291839
"2028/2029",2029,123,123,100,227,-523.5,16.7393006712423,31940.0961460583
"2029/2030",2030,123,123,100,157,-998.5,5.95620814975547,35671.4169273344
"2030/2031",2031,123,123,100,210,-594,17.1376535638195,31938.164696293
"2031/2032",2032,123,123,100,121,-890,10.1525424360337,34819.9881841391
"2032/2033",2033,123,123,100,214,-462.5,17.2479357106992,31606.5408284753
"2033/2034",2034,123,123,100,222,-765,12.5273581146149,33512.9044719338
"2034/2035",2035,123,123,100,101,-985,8.01457654785054,35521.9457887914
"2035/2036",2036,123,123,100,111,-846,10.9367367235669,34912.612679563
"2036/2037",2037,123,123,100,234,-856,15.2141489089186,32526.6676014364
"2037/2038",2038,123,123,100,216,-532.5,14.3354057056798,31648.1815090319
"2038/2039",2039,123,123,100,104,-960,3.96064588336793,35489.3551492165
"2039/2040",2040,123,123,100,143,-875.5,6.9433605827856,34428.2633331167
"2040/2041",2041,123,123,100,178,-849.5,11.7507302263755,34534.696173666
"2041/2042",2042,123,123,100,149,-741.5,10.4038937689902,33723.3762454428
"2042/2043",2043,123,123,100,166,-812.5,8.31711185057833,34884.8545321827
"2043/2044",2044,123,123,100,159,-759.5,10.188939921796,34095.1142267408
"2044/2045",2045,123,123,100,67,-1031.5,9.79599685174094,36010.0092840274
"2045/2046",2046,123,123,100,97,-1049,7.61758903522571,35969.6695812261
"2046/2047",2047,123,123,100,132,-1072.5,7.42410110501203,35392.3548997957
"2047/2048",2048,123,123,100,172,-813.5,6.83721881539304,34704.1405003266
"2048/2049",2049,123,123,100,307,-467,20.3646268299649,31511.7819767613
"2049/2050",2050,123,123,100,376,-754.5,18.7533179372872,32037.0430832524
"2050/2051",2051,123,123,100,249,-498,18.8701131332324,31584.0987894414
"2051/2052",2052,123,123,100,219,-516.5,16.8521723804022,31481.0752608785
"2052/2053",2053,123,123,100,200,-535,10.5910505143254,32834.9340966307
"2053/2054",2054,123,123,100,167,-623.5,11.6498671653716,33107.440679823
"2054/2055",2055,123,123,100,156,-735.5,6.11918883818453,34353.1136829033
"2055/2056",2056,123,123,100,282,-553,15.7850453111172,32577.2582491273
"2056/2057",2057,123,123,100,219,-467.5,19.8247473573525,31775.7845610278
"2057/2058",2058,123,123,100,191,-635.5,9.86370417305875,32776.094679038
"2058/2059",2059,123,123,100,169,-784,12.4022475460681,33656.7534273574
"2059/2060",2060,123,123,100,271,-763,14.3120555201471,33427.757249427
"2060/2061",2061,123,123,100,206,-797,9.98905895703808,34965.184774763
"2061/2062",2062,123,123,100,229,-469,16.630587543913,32322.4816232212
"2062/2063",2063,123,123,100,155,-737.5,12.730279208046,33311.916197612
"2063/2064",2064,123,123,100,279,-557,15.1107994429339,32047.0526462365
"2064/2065",2065,123,123,100,100,-948.5,5.94688144231168,35324.9567917539
"2065/2066",2066,123,123,100,228,-820,10.3900287423871,33026.8644962069
"2066/2067",2067,123,123,100,183,-648,9.84403566622416,33881.6182706906
"2067/2068",2068,123,123,100,126,-846.5,10.8522206490129,34007.0253849803
"2068/2069",2069,123,123,100,131,-1109.5,0.969995846660481,35858.6501830211
"2069/2070",2070,123,123,100,170,-966.5,7.76832170447881,35362.3658158649
"2070/2071",2071,123,123,100,254,-426,15.4740228301865,31669.964308437
"2071/2072",2072,123,123,100,218,-680.5,9.37922918844731,33746.6773902904
"2072/2073",2073,123,123,100,333,-575,17.2605313956777,30933.371142867
"2073/2074",2074,123,123,100,269,-244,17.4259660257599,30230.7639595056
"2074/2075",2075,123,123,100,236,-388.5,21.562907401404,31388.6396272173
"2075/2076",2076,123,123,100,151,-779,7.73835200614894,33762.69296245
"2076/2077",2077,123,123,100,173,-899,15.0552004095765,33804.7081845319
"2077/2078",2078,123,123,100,230,-635.5,12.8208637189856,33204.182034092
"2078/2079",2079,123,123,100,179,-686.5,9.7231840639173,33613.9308841173
"2079/2080",2080,123,123,100,181,-784.5,11.6940501285241,33766.4749149354
"2080/2081",2081,123,123,100,249,-416.5,17.2162711982255,31195.3643291425
"2081/2082",2082,123,123,100,269,-526.5,15.9224742960031,32168.9678220376
"2082/2083",2083,123,123,100,166,-748.5,13.376502925688,33648.5024000155
"2083/2084",2084,123,123,100,169,-775,10.6756065631926,33049.6680566827
"2084/2085",2085,123,123,100,241,-641,18.4386255083646,32177.2541993326
"2085/2086",2086,123,123,100,117,-1063.5,8.96506580507616,35328.7710283492
"2086/2087",2087,123,123,100,296,-484,15.2096729542654,31294.2916921815
"2087/2088",2088,123,123,100,229,-665,15.1570060476663,32744.6139651043
"2088/2089",2089,123,123,100,285,-462.5,22.1847205686302,30525.6984758759
"2089/2090",2090,123,123,100,150,-835.5,9.63828247073297,33995.8866223907
"2090/2091",2091,123,123,100,138,-585.5,15.7499130298781,33131.9831353966
"2091/2092",2092,123,123,100,275,-644,15.8086464207452,32482.1730427453
"2092/2093",2093,123,123,100,121,-1059.5,11.6649905261604,35536.5871990779
"2093/2094",2094,123,123,100,49,-1078,3.9483315851744,36713.897060723
"2094/2095",2095,123,123,100,264,-658,15.3062430879731,32064.323502454
"2095/2096",2096,123,123,100,134,-594,9.05727225045098,33449.8245246196
"2096/2097",2097,123,123,100,148,-948,9.28580127260216,35153.7641250435
"2097/2098",2098,123,123,100,112,-770,11.044211988145,34540.0072923722
"2098/2099",2099,123,123,100,269,-499,16.5908713190095,31839.5858994573
"2099/2100",2100,123,123,100,152,-1008,7.20774984633817,34870.4854653366
