"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,944,1031,56.9984703309215,16972.3059064671
"2000/2001",2001,123,123,100,990,1163,61.9169076560836,16252.6925613755
"2001/2002",2002,123,123,100,954,1068,55.2510422840123,17510.00336516
"2002/2003",2003,123,123,100,999,1069,61.8117200555966,16517.3890042196
"2003/2004",2004,123,123,100,1051,1126,60.0164064921268,16547.7870219594
"2004/2005",2005,123,123,100,891,1119,60.3008720738036,16930.9364075605
"2005/2006",2006,123,123,100,981,1147.5,65.3174059127921,15931.5321438718
"2006/2007",2007,123,123,100,951,1025,58.653312191649,16480.1215660203
"2007/2008",2008,123,123,100,693,909.5,56.4688639335888,19356.6061439046
"2008/2009",2009,123,123,100,915,1027.5,56.7809451992226,17449.6878785666
"2009/2010",2010,123,123,100,1010,1049.5,59.9544508769047,16802.9576662619
"2010/2011",2011,123,123,100,977,1268,67.9609092095631,15741.6956448409
"2011/2012",2012,123,123,100,925,1072,59.6814952674213,17232.4477228737
"2012/2013",2013,123,123,100,1034,1060.5,60.0933089418007,16667.9776162475
"2013/2014",2014,123,123,100,983,1160.5,59.9264347606236,16567.3093555332
"2014/2015",2015,123,123,100,825,998.5,56.924339085866,18248.9976348749
"2015/2016",2016,123,123,100,944,1033,56.3110470589365,18147.362134404
"2016/2017",2017,123,123,100,859,1143.5,58.7944833605618,17522.4805484593
"2017/2018",2018,123,123,100,1041,1331,67.8233721412628,14845.4397924501
"2018/2019",2019,123,123,100,964,1027.5,53.6982266858613,17477.7451748527
"2019/2020",2020,123,123,100,913,1042,58.6659699464572,17868.9734601388
"2020/2021",2021,123,123,100,922,1050,56.2507740707622,17345.9155753609
"2021/2022",2022,123,123,100,776,983.5,58.1188454357223,18201.106126332
"2022/2023",2023,123,123,100,1033,1390.5,71.3129911671629,14315.4954043427
"2023/2024",2024,123,123,100,767,800.5,48.0298815092701,19992.5899996876
"2024/2025",2025,123,123,100,839,1051.5,61.3783152266049,17126.8024502778
"2025/2026",2026,123,123,100,976,1155.5,60.1006095503062,16202.0939082466
"2026/2027",2027,123,123,100,863,1072,54.4005371106211,18317.1254149806
"2027/2028",2028,123,123,100,825,1013.5,58.5604302852489,18130.7648903751
"2028/2029",2029,123,123,100,1028,1093.5,62.6424008582667,16056.8710905788
"2029/2030",2030,123,123,100,801,1078.5,59.602049090925,17889.9918800518
"2030/2031",2031,123,123,100,997,1091,64.414207499337,16531.0909941602
"2031/2032",2032,123,123,100,1026,1254.5,64.891225358554,15400.6968502598
"2032/2033",2033,123,123,100,1047,1003,55.616753399343,17204.1545516327
"2033/2034",2034,123,123,100,841,1012.5,57.2378685205613,18142.4847585787
"2034/2035",2035,123,123,100,945,1233.5,65.6392898652057,16054.4814911601
"2035/2036",2036,123,123,100,1178,1261.5,67.9127014404748,14479.5008593788
"2036/2037",2037,123,123,100,819,927.5,57.9546785019488,18485.4507460054
"2037/2038",2038,123,123,100,861,902.5,50.8843706485804,18690.6087054624
"2038/2039",2039,123,123,100,868,1017.5,59.0719274731482,18610.3211932578
"2039/2040",2040,123,123,100,945,1103.5,56.1646568056904,17324.1478618225
"2040/2041",2041,123,123,100,942,1123.5,60.358198893744,16869.4188914779
"2041/2042",2042,123,123,100,939,1005.5,56.187381039806,17965.0192429814
"2042/2043",2043,123,123,100,955,1161.5,66.9842582228425,16680.5410404378
"2043/2044",2044,123,123,100,974,1186.5,63.671133280674,16036.3392074853
"2044/2045",2045,123,123,100,935,1224,65.9672184596429,16004.5498561361
"2045/2046",2046,123,123,100,966,1329.5,69.8524805487054,14908.3648100113
"2046/2047",2047,123,123,100,795,1015.5,58.0170246965204,18116.4102479075
"2047/2048",2048,123,123,100,973,1174,56.7287409067676,16800.9135735002
"2048/2049",2049,123,123,100,1019,1079.5,59.9677072604854,16416.4515232979
"2049/2050",2050,123,123,100,938,1003,59.3561525806099,16994.7203085721
"2050/2051",2051,123,123,100,949,999.5,59.2050831378042,17272.831121604
"2051/2052",2052,123,123,100,1039,1059.5,59.7200593607754,16818.1899897596
"2052/2053",2053,123,123,100,955,995.5,52.0851530725595,18038.7476808885
"2053/2054",2054,123,123,100,953,1054,59.0112719823833,16840.6752496334
"2054/2055",2055,123,123,100,951,1057,57.4908020533267,17973.875864015
"2055/2056",2056,123,123,100,1018,1038.5,55.2355186274726,17294.4672463965
"2056/2057",2057,123,123,100,1025,1081,65.3735349478757,15946.587178437
"2057/2058",2058,123,123,100,934,914,49.9851926810788,18948.9702955969
"2058/2059",2059,123,123,100,853,974,61.311786496507,18040.2485700576
"2059/2060",2060,123,123,100,948,1027.5,53.5833426242716,18142.2932196213
"2060/2061",2061,123,123,100,1140,1214,64.3146369872929,15682.6944496911
"2061/2062",2062,123,123,100,1126,1095.5,59.623411192164,15969.6334376363
"2062/2063",2063,123,123,100,991,1054,56.8588506333372,17600.4498266531
"2063/2064",2064,123,123,100,1002,1029,57.723557908048,17333.9885116974
"2064/2065",2065,123,123,100,875,1102,59.2358256864754,17592.7228686176
"2065/2066",2066,123,123,100,832,967.5,57.0007391797617,18465.8060141979
"2066/2067",2067,123,123,100,1023,1105,57.4736739895452,17174.1583246291
"2067/2068",2068,123,123,100,878,1142.5,67.3430040404037,16695.0046403529
"2068/2069",2069,123,123,100,757,1097,63.6203600178505,18078.124822895
"2069/2070",2070,123,123,100,957,1200,65.4550678905316,16450.8578295829
"2070/2071",2071,123,123,100,1023,1019.5,55.3551853307617,17546.0909124659
"2071/2072",2072,123,123,100,1014,1014,53.8316663030673,17918.809422682
"2072/2073",2073,123,123,100,816,786.5,50.3598868328527,19462.7805056414
"2073/2074",2074,123,123,100,1030,881,51.328808967759,18223.5170589592
"2074/2075",2075,123,123,100,1074,1047.5,64.0432605207243,16251.7773763174
"2075/2076",2076,123,123,100,931,1074,59.6313272306252,17056.8270951649
"2076/2077",2077,123,123,100,905,960.5,57.5322119534758,17808.6247934634
"2077/2078",2078,123,123,100,1062,1092,58.8459810509166,16634.3168183081
"2078/2079",2079,123,123,100,913,1006,53.1207535663862,17846.4508165028
"2079/2080",2080,123,123,100,924,967.5,57.8368764409643,18122.2510243561
"2080/2081",2081,123,123,100,935,938,53.0203707382743,18291.1409922652
