"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,394,109,29.6647373209558,26910.4773356381
"2000/2001",2001,123,123,100,351,217,35.7859516769309,26260.3686826535
"2001/2002",2002,123,123,100,274,-38,30.1271970794015,28749.92407218
"2002/2003",2003,123,123,100,380,165.5,31.4625967991751,26602.4122342449
"2003/2004",2004,123,123,100,356,178.5,32.4211416143929,26882.0564730904
"2004/2005",2005,123,123,100,290,81,33.7955748147535,27421.6008027358
"2005/2006",2006,123,123,100,396,246,35.9767984893202,25721.2800320752
"2006/2007",2007,123,123,100,405,124.5,34.9121587250215,26308.1006756314
"2007/2008",2008,123,123,100,172,-330,17.308860713294,31435.9181112329
"2008/2009",2009,123,123,100,328,24.5,29.983703714545,27681.5804421754
"2009/2010",2010,123,123,100,365,123.5,32.0844787666477,27282.7293880063
"2010/2011",2011,123,123,100,329,266,39.6751642276483,25965.1906301887
"2011/2012",2012,123,123,100,311,-5.5,26.9453454550789,27889.9630712708
"2012/2013",2013,123,123,100,350,132.5,29.6419875672505,26836.9194240167
"2013/2014",2014,123,123,100,350,173,32.2188013252019,26988.9994093562
"2014/2015",2015,123,123,100,216,-167,25.6702386881547,29616.360077023
"2015/2016",2016,123,123,100,278,-95.5,27.4679870070267,29173.3347414781
"2016/2017",2017,123,123,100,254,5.5,31.4921617003521,28286.9275137032
"2017/2018",2018,123,123,100,408,488.5,39.3357844241004,24027.2345087663
"2018/2019",2019,123,123,100,291,-9,29.5286682580709,28054.0116122495
"2019/2020",2020,123,123,100,238,-144,25.8203090672068,29468.7571446318
"2020/2021",2021,123,123,100,292,10,26.485738918708,28215.2398521909
"2021/2022",2022,123,123,100,273,-115.5,29.8218991121106,29125.4932985227
"2022/2023",2023,123,123,100,361,523,43.5862324941567,23709.7522401055
"2023/2024",2024,123,123,100,183,-459,18.8647014032222,31914.3304105191
"2024/2025",2025,123,123,100,313,100.5,33.1994963320884,26937.4427692797
"2025/2026",2026,123,123,100,409,235.5,33.1980478103062,25835.703635606
"2026/2027",2027,123,123,100,173,-217,23.0290892455805,30264.3733369666
"2027/2028",2028,123,123,100,243,-102.5,26.2978995806184,29069.5136745195
"2028/2029",2029,123,123,100,399,197,31.8917349199721,26171.6490344391
"2029/2030",2030,123,123,100,172,-156.5,26.5565284055399,29600.8568761153
"2030/2031",2031,123,123,100,359,231.5,34.2042873474286,26432.4228402534
"2031/2032",2032,123,123,100,373,316.5,38.9425659622195,25440.999455119
"2032/2033",2033,123,123,100,361,89,31.4895828595484,27489.9963501086
"2033/2034",2034,123,123,100,244,-154.5,24.9009377760619,29640.4229309703
"2034/2035",2035,123,123,100,374,243,38.9097816715894,25990.1037533288
"2035/2036",2036,123,123,100,587,614,42.2312181802852,23148.3343755645
"2036/2037",2037,123,123,100,285,-139.5,23.204694743084,29636.7119019078
"2037/2038",2038,123,123,100,232,-220.5,22.0702735345476,30464.6570446077
"2038/2039",2039,123,123,100,177,-200,23.5503412653618,30239.8734714147
"2039/2040",2040,123,123,100,330,27,32.6906137197159,27871.7875195863
"2040/2041",2041,123,123,100,251,76.5,29.1521086567657,27775.5456077522
"2041/2042",2042,123,123,100,258,-58,26.2357327344255,28743.230919417
"2042/2043",2043,123,123,100,270,69,31.7330635730505,27930.0941241486
"2043/2044",2044,123,123,100,340,258.5,36.8653348357302,25994.4706618218
"2044/2045",2045,123,123,100,368,248.5,42.9185380786607,25981.8089598566
"2045/2046",2046,123,123,100,416,473.5,39.8012110714126,24127.3561731996
"2046/2047",2047,123,123,100,284,-65.5,29.2105039264736,29077.0903741075
"2047/2048",2048,123,123,100,260,64,32.2379565603626,27390.6821276806
"2048/2049",2049,123,123,100,351,211,30.755251485966,26719.2838747511
"2049/2050",2050,123,123,100,356,71.5,30.83751200302,27417.9003517376
"2050/2051",2051,123,123,100,365,106,32.7853564620405,27244.6433316106
"2051/2052",2052,123,123,100,277,101.5,27.3261470581574,27513.9728190936
"2052/2053",2053,123,123,100,314,-110,26.8409344265565,28456.7894237591
"2053/2054",2054,123,123,100,321,85,30.9259745774038,27548.1490026154
"2054/2055",2055,123,123,100,201,-147.5,22.137982393665,29779.8189597847
