"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,190,-35.5,28.2795424488381,28471.5975786456
"2000/2001",2001,123,123,100,189,-161,25.387385125144,29707.1681283296
"2001/2002",2002,123,123,100,216,-119.5,24.0472173638227,29264.1167834875
"2002/2003",2003,123,123,100,226,0,27.8431068385247,28325.1229061686
"2003/2004",2004,123,123,100,207,-17.5,28.2408811625356,28583.3427729772
"2004/2005",2005,123,123,100,173,-148.5,21.545794623555,29681.9075830657
"2005/2006",2006,123,123,100,216,-139,27.9501451255321,29829.6434503164
"2006/2007",2007,123,123,100,207,3,25.9573284156592,28567.3336959617
"2007/2008",2008,123,123,100,146,-327,18.6263285286435,30507.9611636972
"2008/2009",2009,123,123,100,248,-83,24.0012370480678,28877.917200401
"2009/2010",2010,123,123,100,196,112.5,29.5657950192923,27513.9875744623
"2010/2011",2011,123,123,100,124,-218,22.043678913992,30429.2735217039
"2011/2012",2012,123,123,100,225,-76,24.7050887332853,29002.080990599
"2012/2013",2013,123,123,100,244,130.5,30.991627176204,27416.2858435097
"2013/2014",2014,123,123,100,194,-192,24.3373023988534,29946.8087503652
"2014/2015",2015,123,123,100,197,-119.5,26.6194086542909,29282.3957820097
"2015/2016",2016,123,123,100,140,-233,18.4245443033137,30183.9043003428
"2016/2017",2017,123,123,100,131,-490,14.6369896617995,32000.900187321
"2017/2018",2018,123,123,100,138,-321.5,21.8365794661449,31355.0105395764
"2018/2019",2019,123,123,100,292,0,26.2530463217229,28343.5845831954
"2019/2020",2020,123,123,100,181,-87,23.2480916015541,29220.9183422723
"2020/2021",2021,123,123,100,189,-55.5,25.834310341154,28710.6466969447
"2021/2022",2022,123,123,100,121,-303,21.0894261878726,30469.9979260536
"2022/2023",2023,123,123,100,131,-319.5,20.0015679433063,31309.8644957878
"2023/2024",2024,123,123,100,251,-30.5,26.095164762339,28444.4941072189
"2024/2025",2025,123,123,100,207,-198,25.9660821673738,29476.677589844
"2025/2026",2026,123,123,100,196,-174.5,25.1929927778598,29533.0926720607
"2026/2027",2027,123,123,100,148,-301,12.7459081676011,31161.995514533
"2027/2028",2028,123,123,100,177,-264.5,20.7250521022033,30500.1378472717
"2028/2029",2029,123,123,100,205,148,33.6891517945767,27097.4005389237
"2029/2030",2030,123,123,100,159,-381,14.396197391971,31582.1306400653
"2030/2031",2031,123,123,100,192,25,33.8810834809093,27942.7151928456
"2031/2032",2032,123,123,100,119,-200.5,25.2128075694295,30204.1372898072
"2032/2033",2033,123,123,100,237,209,35.4645571980834,26406.7184843351
"2033/2034",2034,123,123,100,208,-128.5,24.5128991873897,29312.2722877972
"2034/2035",2035,123,123,100,93,-385.5,17.0321372519111,32058.1842030394
"2035/2036",2036,123,123,100,120,-122.5,29.0729180169519,29643.3669775487
"2036/2037",2037,123,123,100,206,-189,24.4657647854278,29335.5432976182
"2037/2038",2038,123,123,100,233,63.5,26.6614018226264,27784.0297268657
"2038/2039",2039,123,123,100,129,-294.5,15.8575141853396,30494.670506225
"2039/2040",2040,123,123,100,154,-198.5,21.6100092916874,30059.410910801
"2040/2041",2041,123,123,100,165,-160,21.6351555877818,30100.282608307
"2041/2042",2042,123,123,100,173,-75.5,21.8304495605923,29086.9552744329
"2042/2043",2043,123,123,100,171,-161.5,22.1712277584895,30068.426262862
"2043/2044",2044,123,123,100,153,-145,26.7251408347342,29935.8337922692
"2044/2045",2045,123,123,100,80,-296,17.9175530676837,31192.4087853972
"2045/2046",2046,123,123,100,94,-402.5,17.0516530931429,31955.6375864409
"2046/2047",2047,123,123,100,132,-317.5,19.0503491054978,31053.2421810152
"2047/2048",2048,123,123,100,192,-196,22.1114997838868,30090.072331816
"2048/2049",2049,123,123,100,240,64,31.1386248973006,27926.0580747733
"2049/2050",2050,123,123,100,336,-102.5,27.1725305120619,28790.0545431208
"2050/2051",2051,123,123,100,201,53.5,31.037063476346,27633.6004456151
"2051/2052",2052,123,123,100,217,158.5,32.1464019495013,27049.4278869387
"2052/2053",2053,123,123,100,236,67,26.3596528842827,28061.998245216
"2053/2054",2054,123,123,100,175,2,30.6895645377845,28134.8236780986
"2054/2055",2055,123,123,100,208,-48.5,23.8481268057933,28868.4029546017
"2055/2056",2056,123,123,100,279,102,29.4734301412946,27766.471925173
"2056/2057",2057,123,123,100,200,182,32.7178577465882,27266.9499405269
"2057/2058",2058,123,123,100,260,-10,22.1233101094228,28295.6354114534
"2058/2059",2059,123,123,100,175,-122.5,23.4594559372517,29489.1383122168
"2059/2060",2060,123,123,100,249,-125.5,22.6842128477658,29401.5276311785
"2060/2061",2061,123,123,100,201,-139,21.4942310968215,29831.2160439743
"2061/2062",2062,123,123,100,237,93.5,28.7711248383218,27828.3482346935
"2062/2063",2063,123,123,100,140,-172.5,21.2320964958685,29296.804597551
"2063/2064",2064,123,123,100,272,111.5,32.8657850186362,27188.2675754549
"2064/2065",2065,123,123,100,126,-290.5,17.0096944218519,31147.7013793495
"2065/2066",2066,123,123,100,224,-196.5,21.7939331510249,29716.7219034778
"2066/2067",2067,123,123,100,211,11,22.9402272208406,28534.9034225522
"2067/2068",2068,123,123,100,161,-191.5,23.1749490581319,30219.3052589586
"2068/2069",2069,123,123,100,150,-488.5,10.7728901562239,32280.1916161682
"2069/2070",2070,123,123,100,163,-236,20.921552904927,30652.1812376957
"2070/2071",2071,123,123,100,250,171.5,27.848944284246,27240.2527086046
"2071/2072",2072,123,123,100,206,-7.5,24.665410216186,28478.8755685436
"2072/2073",2073,123,123,100,328,73,26.9486205358298,27361.6424761545
"2073/2074",2074,123,123,100,296,366.5,38.2984436558409,25223.5408943044
"2074/2075",2075,123,123,100,228,181,32.9868347023225,26565.0554305743
"2075/2076",2076,123,123,100,172,-96,30.463544580954,29100.7386773881
"2076/2077",2077,123,123,100,182,-229,24.4546420625984,29780.5180052184
"2077/2078",2078,123,123,100,241,61,31.6441194108725,28197.0129535664
"2078/2079",2079,123,123,100,194,-20.5,27.3452097017926,28388.6047905162
"2079/2080",2080,123,123,100,209,-110.5,22.8742167242585,29083.4220056143
"2080/2081",2081,123,123,100,281,181,30.690202598922,26872.7727406546
"2081/2082",2082,123,123,100,306,111.5,30.7008864161257,27579.126218861
"2082/2083",2083,123,123,100,173,-37.5,26.9239486729821,28463.2340598349
"2083/2084",2084,123,123,100,170,-161.5,23.7374490322832,29517.3944087494
"2084/2085",2085,123,123,100,200,-90,24.780058297496,28938.5232366212
"2085/2086",2086,123,123,100,113,-334,19.2962067661033,30761.5065794177
"2086/2087",2087,123,123,100,313,101,24.8006164932085,27475.8270514533
"2087/2088",2088,123,123,100,207,-66.5,29.5601143337572,28783.5477768481
"2088/2089",2089,123,123,100,255,62.5,35.7988260232769,27653.9074162133
"2089/2090",2090,123,123,100,166,-75,26.0087108880252,29087.6740961745
"2090/2091",2091,123,123,100,133,82.5,29.5466126528067,27585.8078259695
"2091/2092",2092,123,123,100,239,-19.5,26.3019803468969,28291.1376806833
"2092/2093",2093,123,123,100,111,-455.5,20.922602624204,32323.771423528
"2093/2094",2094,123,123,100,61,-275,19.8636561039684,30860.6716122553
"2094/2095",2095,123,123,100,243,-64.5,25.4266555335284,28754.273205271
"2095/2096",2096,123,123,100,169,161.5,33.8466446615862,26990.5523148458
"2096/2097",2097,123,123,100,146,-226.5,18.5718967436387,30208.0664900485
"2097/2098",2098,123,123,100,121,-135.5,22.7361681461148,29810.3498991076
"2098/2099",2099,123,123,100,261,69,27.4200786238334,27643.4315671194
"2099/2100",2100,123,123,100,158,-286,17.0098035424444,30976.1417433377
