"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,321,388.5,41.438206377802,25068.0241211067
"2000/2001",2001,123,123,100,319,250,34.7816626884576,26308.5904299835
"2001/2002",2002,123,123,100,336,294,36.9219655002897,25876.2938562182
"2002/2003",2003,123,123,100,361,432,39.9271113647762,24807.7074933033
"2003/2004",2004,123,123,100,379,398.5,37.4225378568242,24945.0988294326
"2004/2005",2005,123,123,100,305,259,30.0039285176408,26274.5690040939
"2005/2006",2006,123,123,100,342,254,35.1378275527558,26334.267079743
"2006/2007",2007,123,123,100,383,401.5,40.4287690003551,24945.1580952187
"2007/2008",2008,123,123,100,237,72,28.1031178570335,27652.3320341706
"2008/2009",2009,123,123,100,391,318,38.5919155602373,25511.3117971949
"2009/2010",2010,123,123,100,350,552,42.8093199654676,23876.9271080254
"2010/2011",2011,123,123,100,217,213,30.8963671722772,26756.5608234508
"2011/2012",2012,123,123,100,375,310,36.4534181740894,25597.8190790953
"2012/2013",2013,123,123,100,395,540.5,45.7323718929654,23719.5315105738
"2013/2014",2014,123,123,100,294,226.5,32.7479656012999,26554.5482777522
"2014/2015",2015,123,123,100,339,296,32.5961454715813,25985.1635027847
"2015/2016",2016,123,123,100,256,185.5,30.769199315775,26831.4598081037
"2016/2017",2017,123,123,100,235,-77.5,22.1227101291897,28842.2437318638
"2017/2018",2018,123,123,100,243,87.5,33.0047366310639,27858.009245201
"2018/2019",2019,123,123,100,449,389,40.7971981027054,24887.070055054
"2019/2020",2020,123,123,100,318,324.5,31.6781927881163,25763.6644413318
"2020/2021",2021,123,123,100,339,351,36.0465602440396,25307.3952471968
"2021/2022",2022,123,123,100,228,88,30.3413129089824,27457.5481933239
"2022/2023",2023,123,123,100,231,82,30.9788157405455,27718.6304835957
"2023/2024",2024,123,123,100,408,356.5,34.9667081948537,25440.9559089909
"2024/2025",2025,123,123,100,330,192.5,35.86801702511,26309.2976407688
"2025/2026",2026,123,123,100,310,258.5,29.0568147056338,26192.3595261313
"2026/2027",2027,123,123,100,265,115,29.6649766745468,27784.4138389076
"2027/2028",2028,123,123,100,284,130,26.00166113873,27263.2362678903
"2028/2029",2029,123,123,100,364,570,46.4699606743709,23373.1701825801
"2029/2030",2030,123,123,100,248,4,23.4750638953997,28405.0676483186
"2030/2031",2031,123,123,100,325,466.5,41.7980081567759,24369.6846677186
"2031/2032",2032,123,123,100,201,243,35.4648645398477,26508.4378121202
"2032/2033",2033,123,123,100,415,638.5,45.8729363993973,22826.2385084946
"2033/2034",2034,123,123,100,353,275,33.9233836583714,26026.0095644635
"2034/2035",2035,123,123,100,207,23.5,24.7210405995588,28656.217171248
"2035/2036",2036,123,123,100,249,309.5,33.8846572024936,25717.3857626985
"2036/2037",2037,123,123,100,335,201,30.4416994533899,26442.0142340041
"2037/2038",2038,123,123,100,393,451,41.9277078525097,24421.5757819866
"2038/2039",2039,123,123,100,253,117,32.1098636197919,27294.0447610607
"2039/2040",2040,123,123,100,299,204.5,28.8596156315034,26646.3252531141
"2040/2041",2041,123,123,100,307,241.5,32.9168753921422,26502.1944001466
"2041/2042",2042,123,123,100,316,340.5,34.6652390100448,25553.1963558253
"2042/2043",2043,123,123,100,318,235.5,30.0639477029122,26529.9404528001
"2043/2044",2044,123,123,100,294,275,35.1675909696332,26460.5249853423
"2044/2045",2045,123,123,100,177,129.5,29.0500095919215,27604.221027595
"2045/2046",2046,123,123,100,181,14.5,31.6484673381924,28562.3550100476
"2046/2047",2047,123,123,100,224,100,30.3435001090584,27784.2450287119
"2047/2048",2048,123,123,100,285,202,30.5706260147142,26708.2368132984
"2048/2049",2049,123,123,100,442,461,40.5781170975674,24476.5944799259
"2049/2050",2050,123,123,100,453,271,36.9768692477012,25557.5719417064
"2050/2051",2051,123,123,100,385,453,42.8639094097837,24356.1169797778
"2051/2052",2052,123,123,100,397,583,45.3436185667765,23406.935552571
"2052/2053",2053,123,123,100,412,460,38.3935727170383,24536.3059423668
"2053/2054",2054,123,123,100,333,428.5,39.923644297332,24584.3831872754
