"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,334,-30,29.0743258669289,28355.7930622439
"2000/2001",2001,123,123,100,283,-198.5,26.5800738800434,29773.0763715848
"2001/2002",2002,123,123,100,265,-241,21.417100815673,30412.0876787118
"2002/2003",2003,123,123,100,398,40,30.0419036785192,27741.7537233228
"2003/2004",2004,123,123,100,323,-29,29.0793773160275,28380.0954152841
"2004/2005",2005,123,123,100,294,-220,20.8804755139861,29964.6425651008
"2005/2006",2006,123,123,100,345,-136.5,29.0665834503157,29539.7393911975
"2006/2007",2007,123,123,100,429,-18,28.267894424999,28078.5764785864
"2007/2008",2008,123,123,100,220,-544.5,18.1845273974544,31877.3481419034
"2008/2009",2009,123,123,100,343,-120,27.5665096641375,28964.3464587079
"2009/2010",2010,123,123,100,402,206.5,32.6566773824832,26548.9590187846
"2010/2011",2011,123,123,100,170,-336,19.8760418225175,31529.6710147415
"2011/2012",2012,123,123,100,383,-133.5,27.2545153965322,29177.1896848103
"2012/2013",2013,123,123,100,430,124.5,29.0595411643637,27116.7497202896
"2013/2014",2014,123,123,100,269,-288,24.5441358742287,30683.6429395319
"2014/2015",2015,123,123,100,237,-282.5,23.403818730249,30351.9899185249
"2015/2016",2016,123,123,100,169,-423.5,14.8668688336954,31992.4520017831
"2016/2017",2017,123,123,100,159,-730.5,9.92340426447095,33992.9905937244
"2017/2018",2018,123,123,100,208,-392.5,23.0637577798481,31509.8447687675
"2018/2019",2019,123,123,100,436,-44.5,28.035006952003,27972.1155699252
"2019/2020",2020,123,123,100,238,-267.5,17.5109995042077,30631.7898587869
"2020/2021",2021,123,123,100,330,-73,27.7275238571275,28735.1665150011
"2021/2022",2022,123,123,100,208,-423,20.692297056561,31086.5809042719
"2022/2023",2023,123,123,100,215,-399.5,21.1242287915389,31727.730451012
"2023/2024",2024,123,123,100,322,-139,26.715113849102,29269.5140255787
"2024/2025",2025,123,123,100,338,-289,23.639665399664,29635.0561337285
"2025/2026",2026,123,123,100,324,-260.5,24.9376855764788,30231.5438973894
"2026/2027",2027,123,123,100,139,-512,12.8378041177203,32880.7809840529
"2027/2028",2028,123,123,100,230,-404,20.3953175255506,31459.0219361223
"2028/2029",2029,123,123,100,360,218,33.644160274436,26284.1608773209
"2029/2030",2030,123,123,100,182,-609,12.3963192552434,33907.5672919261
"2030/2031",2031,123,123,100,328,-11,31.9411692876153,27935.2926470838
"2031/2032",2032,123,123,100,167,-224.5,23.8524047789354,30150.0208371663
"2032/2033",2033,123,123,100,410,269.5,37.1643060926533,25871.1865723864
"2033/2034",2034,123,123,100,292,-251.5,24.3373092360619,30144.3895109999
"2034/2035",2035,123,123,100,166,-498.5,17.3957907612278,32761.5615980369
"2035/2036",2036,123,123,100,255,-61,29.430273861364,28936.2914064243
"2036/2037",2037,123,123,100,350,-277.5,24.1064330469696,29597.3709397023
"2037/2038",2038,123,123,100,375,6,30.400299585154,27539.0568841496
"2038/2039",2039,123,123,100,164,-440,15.9525569846751,31820.8440881586
"2039/2040",2040,123,123,100,213,-325.5,18.3152545355965,31285.3113722708
"2040/2041",2041,123,123,100,278,-232,26.5683322648117,30636.3382241149
"2041/2042",2042,123,123,100,269,-159.5,21.6474202418231,29721.1911577638
"2042/2043",2043,123,123,100,201,-243.5,21.5722069071549,30924.9253112869
"2043/2044",2044,123,123,100,292,-174,28.5255704260883,30065.6092334231
"2044/2045",2045,123,123,100,157,-440.5,16.5287974939743,32204.6732086278
"2045/2046",2046,123,123,100,198,-512,21.9674942237359,32585.7486596862
"2046/2047",2047,123,123,100,151,-468.5,19.5990903437835,32058.960822924
"2047/2048",2048,123,123,100,234,-288,21.4063005105097,30976.9654856259
"2048/2049",2049,123,123,100,493,137.5,32.2400740062481,27006.9901760072
"2049/2050",2050,123,123,100,422,-282,24.6505407995658,28847.53002082
"2050/2051",2051,123,123,100,390,4,32.2491261570476,27724.6924671363
"2051/2052",2052,123,123,100,408,199,32.5981803916313,26314.1450696765
"2052/2053",2053,123,123,100,368,21,25.3155908721617,28213.4094909932
"2053/2054",2054,123,123,100,348,30.5,28.3788081417067,27814.9568999819
"2054/2055",2055,123,123,100,261,-155,21.7749417194004,29648.408906335
"2055/2056",2056,123,123,100,377,76.5,30.5735073111125,27550.616816164
"2056/2057",2057,123,123,100,455,306.5,38.6472114221808,25659.9916281132
"2057/2058",2058,123,123,100,258,-108.5,20.0599859427634,29365.161728262
"2058/2059",2059,123,123,100,240,-236,22.7337430099426,30225.8797631571
"2059/2060",2060,123,123,100,345,-224,22.5231368143436,30029.4041480217
"2060/2061",2061,123,123,100,282,-169.5,24.2247923050929,30072.17009403
"2061/2062",2062,123,123,100,435,238.5,31.5164120499805,26483.0832317472
"2062/2063",2063,123,123,100,202,-203,24.4623028370947,29703.3694541091
"2063/2064",2064,123,123,100,370,59.5,31.8901112404671,27060.7298724027
"2064/2065",2065,123,123,100,167,-447,14.9508295769783,32379.4575050771
"2065/2066",2066,123,123,100,303,-361,22.315296144111,30767.2414729539
"2066/2067",2067,123,123,100,275,-55,23.2942032697956,29043.4629844427
"2067/2068",2068,123,123,100,228,-302,20.366442710118,30938.8087214828
"2068/2069",2069,123,123,100,140,-767,9.25391730064075,34654.9704856025
"2069/2070",2070,123,123,100,208,-383,17.2808578026152,31892.5718921749
"2070/2071",2071,123,123,100,400,212,31.9385686015062,26910.158503145
"2071/2072",2072,123,123,100,296,-34,25.8162460387293,28615.2274846816
"2072/2073",2073,123,123,100,459,-20.5,30.9269064967621,27449.7342313509
"2073/2074",2074,123,123,100,464,504.5,43.626959280371,23763.6471943716
"2074/2075",2075,123,123,100,420,325.5,37.2452982461809,25368.2527231881
"2075/2076",2076,123,123,100,256,-127.5,26.2425905953432,29317.4180314261
"2076/2077",2077,123,123,100,326,-280.5,26.2986992187039,30155.5557703264
"2077/2078",2078,123,123,100,352,74,34.2543045930934,27532.4683871791
"2078/2079",2079,123,123,100,268,-70.5,30.9055873432767,28843.0612585079
"2079/2080",2080,123,123,100,265,-183.5,27.117686784487,29622.3827977832
"2080/2081",2081,123,123,100,422,218,35.7486959046464,26032.3455332965
"2081/2082",2082,123,123,100,424,79.5,29.5121105048493,27564.4665136077
"2082/2083",2083,123,123,100,257,6,30.6067460087088,28025.2299341224
"2083/2084",2084,123,123,100,262,-242,22.6123850583367,29990.8130154572
"2084/2085",2085,123,123,100,348,-131.5,24.2648832571213,29209.8161930125
"2085/2086",2086,123,123,100,135,-504.5,18.3247793973387,32106.8334983718
"2086/2087",2087,123,123,100,438,5,23.8540752595832,28076.0613748804
"2087/2088",2088,123,123,100,355,-46.5,30.2643447459436,28422.5979130194
"2088/2089",2089,123,123,100,450,158.5,38.4708244847429,26404.6358560082
"2089/2090",2090,123,123,100,233,-158.5,25.7690612446349,29582.9222995415
"2090/2091",2091,123,123,100,308,284,39.9005565766111,25893.9008755647
"2091/2092",2092,123,123,100,390,-61.5,27.1282157018577,28337.0420181416
"2092/2093",2093,123,123,100,242,-549,18.7767313327358,32830.2474960629
