"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,751,1301,69.2451928009529,16219.5109085102
"2000/2001",2001,123,123,100,617,1197.5,66.9246408827329,17173.8037119011
"2001/2002",2002,123,123,100,657,1249.5,70.5721277987739,16568.9535888418
"2002/2003",2003,123,123,100,806,1320.5,69.6592454114147,15855.8125695124
"2003/2004",2004,123,123,100,764,1342,70.9930865158622,15920.5610526691
"2004/2005",2005,123,123,100,712,1246.5,69.1345613744939,16872.3452829471
"2005/2006",2006,123,123,100,670,1206.5,66.1871375618068,17033.9877681835
"2006/2007",2007,123,123,100,812,1320,67.6711959922816,15998.5184471867
"2007/2008",2008,123,123,100,638,1064,62.7628249110477,18343.6026195956
"2008/2009",2009,123,123,100,756,1191,66.042531909874,16753.3082444343
"2009/2010",2010,123,123,100,868,1462,72.9272319628352,14623.1978655257
"2010/2011",2011,123,123,100,522,1200.5,69.6438775614326,17373.2611415662
"2011/2012",2012,123,123,100,693,1296,68.9336183729081,16246.11622259
"2012/2013",2013,123,123,100,840,1401.5,73.7997385552974,14905.2303459656
"2013/2014",2014,123,123,100,685,1183.5,65.3526893191652,17276.2640695062
"2014/2015",2015,123,123,100,752,1233,68.35977390069,16780.6630439847
"2015/2016",2016,123,123,100,655,1186.5,67.824275664276,17308.3924284952
"2016/2017",2017,123,123,100,540,897,58.4904110585103,19902.2836171493
"2017/2018",2018,123,123,100,623,1068,61.1629989113471,18421.1094569855
"2018/2019",2019,123,123,100,805,1262.5,70.0072736190807,15807.8290906209
"2019/2020",2020,123,123,100,739,1326,71.835285081165,16110.6052041317
"2020/2021",2021,123,123,100,749,1328.5,70.3896563057838,16231.9461740416
"2021/2022",2022,123,123,100,578,1094.5,63.6114519156249,18214.3814737543
"2022/2023",2023,123,123,100,522,1044.5,62.4973888160835,18680.9262808049
"2023/2024",2024,123,123,100,867,1286,65.8433171179865,15958.3142329608
"2024/2025",2025,123,123,100,648,1146,63.4216083561828,17750.4418014861
"2025/2026",2026,123,123,100,757,1165.5,64.7553826272347,17293.5818828042
"2026/2027",2027,123,123,100,716,1185,68.3865134003781,17470.2334691673
"2027/2028",2028,123,123,100,654,1123,63.0657801860903,17998.9368665684
"2028/2029",2029,123,123,100,806,1483.5,73.2037281990447,14693.9419309138
"2029/2030",2030,123,123,100,595,999.5,62.0558890744915,18733.2519058734
"2030/2031",2031,123,123,100,741,1329,70.6023583757938,15809.6066346299
"2031/2032",2032,123,123,100,506,1203,70.0202349956785,17148.2787083411
"2032/2033",2033,123,123,100,849,1520.5,77.6884478714965,14156.0182281327
"2033/2034",2034,123,123,100,717,1228,66.0710215071681,16798.9975740975
"2034/2035",2035,123,123,100,579,1059,59.2543815738509,18837.0253981785
"2035/2036",2036,123,123,100,632,1302,68.1206742853674,16751.3367450712
"2036/2037",2037,123,123,100,747,1124,60.3122500116742,17733.4389773058
"2037/2038",2038,123,123,100,824,1381,74.6457945185803,15118.1854095063
"2038/2039",2039,123,123,100,637,1170,67.6641131408373,17828.8311276436
