"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,585,1179.5,67.1778347070967,17824.4915169583
"2000/2001",2001,123,123,100,519,1043,60.9920670009721,18953.9261625593
"2001/2002",2002,123,123,100,530,1135.5,65.1173432061452,18234.8838046931
"2002/2003",2003,123,123,100,662,1204.5,65.3192552209865,17466.1765297996
"2003/2004",2004,123,123,100,598,1212,69.9522065064762,17644.6322886749
"2004/2005",2005,123,123,100,556,1126.5,67.0797278448746,18450.9730948196
"2005/2006",2006,123,123,100,547,1043,63.9258892317751,18766.362539378
"2006/2007",2007,123,123,100,686,1201.5,63.8410893521914,17576.5910835804
"2007/2008",2008,123,123,100,454,903,58.1741550597059,20181.8064459498
"2008/2009",2009,123,123,100,620,1095.5,65.347286235641,18399.6418033419
"2009/2010",2010,123,123,100,695,1343.5,70.9615702892712,16194.0965181772
"2010/2011",2011,123,123,100,380,1044.5,66.6829090595993,19118.1621646578
"2011/2012",2012,123,123,100,519,1140.5,67.4240962285442,18051.2665867601
"2012/2013",2013,123,123,100,699,1296.5,67.9749753778617,16428.1940375306
"2013/2014",2014,123,123,100,533,1055,61.7012075629516,18945.1659254273
"2014/2015",2015,123,123,100,590,1112,64.2326217816453,18372.1361223354
"2015/2016",2016,123,123,100,487,1049,64.4351742106858,19036.1113326787
"2016/2017",2017,123,123,100,421,740.5,53.1175708633691,21719.7254350039
"2017/2018",2018,123,123,100,458,910,59.1854036127386,20243.7830473015
"2018/2019",2019,123,123,100,698,1146.5,67.2127346067696,17318.6415786343
"2019/2020",2020,123,123,100,554,1180.5,66.2536288806029,17815.4218311042
"2020/2021",2021,123,123,100,600,1179,65.1110048600945,17909.3529527397
"2021/2022",2022,123,123,100,419,921.5,60.1342093558908,19997.7458960856
"2022/2023",2023,123,123,100,387,867,55.4728830555821,20509.6269043749
"2023/2024",2024,123,123,100,698,1185.5,64.3931282026072,17495.4397464031
"2024/2025",2025,123,123,100,535,984.5,59.8683723138938,19526.5350767574
"2025/2026",2026,123,123,100,598,1051,63.1296790442548,18914.3569393731
"2026/2027",2027,123,123,100,527,1047.5,62.5181350250282,19077.7278185035
"2027/2028",2028,123,123,100,532,968,59.6991569367378,19673.5827747318
"2028/2029",2029,123,123,100,632,1347,70.617076390452,16238.6212530029
"2029/2030",2030,123,123,100,460,871.5,59.2307006361566,20472.0620757849
"2030/2031",2031,123,123,100,576,1208,65.2715573488267,17478.2074432382
"2031/2032",2032,123,123,100,359,1042.5,62.1766665473301,18971.9910614677
"2032/2033",2033,123,123,100,687,1408,72.7640286837577,15667.3068632619
"2033/2034",2034,123,123,100,562,1096.5,60.458539455934,18433.4361934946
"2034/2035",2035,123,123,100,416,883,58.1665920403775,20728.0236445186
"2035/2036",2036,123,123,100,446,1137,64.8747385587817,18530.8607311598
"2036/2037",2037,123,123,100,583,1008,58.8082288588225,19381.5711584678
"2037/2038",2038,123,123,100,673,1287,69.9983049152675,16578.0308516733
"2038/2039",2039,123,123,100,461,1005.5,62.7260714186473,19554.166620099
"2039/2040",2040,123,123,100,516,1054,63.2844313026867,18923.0996518182
"2040/2041",2041,123,123,100,572,1099,63.257350431481,18634.5630170275
"2041/2042",2042,123,123,100,593,1197.5,66.491916540057,17638.85275845
"2042/2043",2043,123,123,100,514,1059,61.2368271970258,18916.0098272986
"2043/2044",2044,123,123,100,543,1048.5,62.5015563675529,18941.0946340449
"2044/2045",2045,123,123,100,370,941,60.6319740059348,19965.5130783739
"2045/2046",2046,123,123,100,345,791,54.5259547537712,21418.7173531707
"2046/2047",2047,123,123,100,479,942.5,58.8124074301668,19963.0676690601
"2047/2048",2048,123,123,100,482,1046,62.4589591174877,18823.0870297654
"2048/2049",2049,123,123,100,734,1232,67.3866656616183,17361.7791928612
"2049/2050",2050,123,123,100,620,1038,63.6002174830151,18451.8549969327
"2050/2051",2051,123,123,100,618,1206,67.5843886640996,17581.9643922113
"2051/2052",2052,123,123,100,698,1369.5,73.7654269642376,15893.8028128706
"2052/2053",2053,123,123,100,703,1279.5,66.4278288081882,16714.9941812111
"2053/2054",2054,123,123,100,569,1229,68.1234439361988,17566.4879953666
"2054/2055",2055,123,123,100,597,1212,69.5457825584244,17389.5053715939
"2055/2056",2056,123,123,100,738,1277,70.3555975890167,16283.555761395
"2056/2057",2057,123,123,100,661,1378.5,70.7857111929652,16264.7357761236
"2057/2058",2058,123,123,100,690,1294,68.8599041255311,16552.3448618203
"2058/2059",2059,123,123,100,583,1133,64.270941294847,18313.9618286006
"2059/2060",2060,123,123,100,637,1086,63.5412463462471,18211.3405962437
"2060/2061",2061,123,123,100,527,1074.5,63.1056778269385,18357.5704261512
"2061/2062",2062,123,123,100,673,1329,68.1122162474312,16553.3202290572
