"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1172,1501,78.589947006161,11211.6048588685
"2000/2001",2001,123,123,100,1142,1370.5,77.639747908776,11047.6410789315
"2001/2002",2002,123,123,100,1149,1537.5,81.1602220825968,10767.5039019377
"2002/2003",2003,123,123,100,1130,1427,75.570606808904,11817.7693311165
"2003/2004",2004,123,123,100,1225,1502,77.2742914622916,11452.9234145095
"2004/2005",2005,123,123,100,1292,1525,77.0941449368275,10673.8629659779
"2005/2006",2006,123,123,100,1202,1391.5,75.1283345664349,11312.940794665
"2006/2007",2007,123,123,100,1246,1531.5,79.1775053914528,11248.1105622817
"2007/2008",2008,123,123,100,1499,1610.5,80.8021531039109,9408.59049030801
"2008/2009",2009,123,123,100,1129,1427.5,78.3967141966068,11594.9633061093
"2009/2010",2010,123,123,100,1162,1438.5,76.2818580567732,12223.3364031115
"2010/2011",2011,123,123,100,1315,1440,79.4839591024765,10582.2929390369
"2011/2012",2012,123,123,100,1236,1432.5,73.1068027395922,11585.0718686957
"2012/2013",2013,123,123,100,1077,1412.5,76.9642105018529,12372.2147419445
"2013/2014",2014,123,123,100,1226,1449.5,79.4252199500902,10692.9384903967
"2014/2015",2015,123,123,100,1226,1544.5,78.1423123063771,10776.9826936638
"2015/2016",2016,123,123,100,1235,1582,83.3592223772998,9982.97577089816
"2016/2017",2017,123,123,100,1379,1601,83.8362817640818,8653.31447727885
"2017/2018",2018,123,123,100,1210,1381.5,78.5347232233817,10376.9044477819
"2018/2019",2019,123,123,100,1139,1480,77.6360493790205,12092.5516339345
"2019/2020",2020,123,123,100,1243,1496.5,74.039138876567,11370.3881890532
"2020/2021",2021,123,123,100,1273,1508.5,79.8869919540384,11001.2981832775
"2021/2022",2022,123,123,100,1360,1549.5,79.4655341025805,9626.95520237461
"2022/2023",2023,123,123,100,1329,1453,78.770043451701,10142.9917566481
"2023/2024",2024,123,123,100,1219,1625,78.9277314614278,11152.577825703
"2024/2025",2025,123,123,100,1365,1531.5,80.4629909963087,9804.7985150991
"2025/2026",2026,123,123,100,1161,1491,79.6424241253649,10736.8875715153
"2026/2027",2027,123,123,100,1237,1664.5,84.4049115210864,9831.91144265095
"2027/2028",2028,123,123,100,1297,1576.5,81.5507652893207,9721.60392994015
"2028/2029",2029,123,123,100,1177,1372,75.2403856584838,12373.9916768684
"2029/2030",2030,123,123,100,1345,1691.5,83.3922395889558,9380.42151741171
"2030/2031",2031,123,123,100,1211,1370.5,75.2719869121693,11797.1034014528
"2031/2032",2032,123,123,100,1369,1473.5,75.279432452739,10799.4299974451
"2032/2033",2033,123,123,100,1074,1372,77.5084632214703,12843.6951700947
"2033/2034",2034,123,123,100,1277,1563.5,79.8005941781494,10716.4666310884
"2034/2035",2035,123,123,100,1325,1577,81.4331043598345,9490.99224177189
"2035/2036",2036,123,123,100,1264,1422,79.0192294301764,10959.4168540216
"2036/2037",2037,123,123,100,1370,1661,81.5237134278832,9725.89635194279
