"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1078,1572.5,76.1189030064193,12897.0597230312
"2000/2001",2001,123,123,100,907,1474.5,74.1940872822136,13817.9941121325
"2001/2002",2002,123,123,100,961,1518,79.9179658191167,13132.5026754678
"2002/2003",2003,123,123,100,1039,1574,77.4320117400347,12558.7129648901
"2003/2004",2004,123,123,100,1038,1599.5,75.7631015011831,12623.335107859
"2004/2005",2005,123,123,100,1038,1528.5,73.8862690065537,13358.8055145583
"2005/2006",2006,123,123,100,964,1504,76.4024732527378,13642.7068705711
"2006/2007",2007,123,123,100,1134,1559.5,75.9065015663284,12838.9242132939
"2007/2008",2008,123,123,100,945,1365,72.9906222183743,14977.0988406739
"2008/2009",2009,123,123,100,993,1444,75.0203427822281,13452.9295651208
"2009/2010",2010,123,123,100,1142,1719.5,80.6691689866196,11298.7320822987
"2010/2011",2011,123,123,100,834,1549,81.2004946267359,13651.0386863732
"2011/2012",2012,123,123,100,1018,1581,79.0169180911771,12878.5311406745
"2012/2013",2013,123,123,100,1109,1623.5,81.3538795645977,11593.7254925203
"2013/2014",2014,123,123,100,979,1432,76.1124921059893,13814.0162891711
"2014/2015",2015,123,123,100,1064,1478,76.0710119299961,13340.1895419413
"2015/2016",2016,123,123,100,952,1501.5,75.7056407998446,13908.3395919148
"2016/2017",2017,123,123,100,774,1226.5,71.2333352526139,16292.4331827969
"2017/2018",2018,123,123,100,873,1388.5,70.091596823627,14837.502802545
"2018/2019",2019,123,123,100,1090,1508.5,73.5549444080159,12532.5511035356
"2019/2020",2020,123,123,100,1035,1578,79.5885882259886,12697.0006388205
"2020/2021",2021,123,123,100,1078,1616.5,77.1539923374339,12811.7895534418
"2021/2022",2022,123,123,100,904,1446.5,69.6963142962404,14495.0115235818
"2022/2023",2023,123,123,100,736,1386,71.8245604838462,14982.3985662756
"2023/2024",2024,123,123,100,1147,1501,75.458255452023,12704.7804320818
"2024/2025",2025,123,123,100,965,1410.5,72.0587041143067,14409.4616192854
"2025/2026",2026,123,123,100,994,1377.5,72.8470182630394,13965.0012591369
"2026/2027",2027,123,123,100,997,1472.5,76.0221057457989,14034.0371066788
"2027/2028",2028,123,123,100,953,1380,70.8312372738601,14625.7392881769
"2028/2029",2029,123,123,100,1131,1728,82.542709718783,11427.5538043943
"2029/2030",2030,123,123,100,861,1329.5,71.2178328567084,15102.565986257
"2030/2031",2031,123,123,100,1071,1598,76.5144855601457,12448.2227995526
"2031/2032",2032,123,123,100,869,1558,77.639214463009,13482.6592074721
"2032/2033",2033,123,123,100,1204,1733.5,82.1986169991187,10902.3420086899
"2033/2034",2034,123,123,100,1015,1491,74.8539538925957,13300.3805504655
"2034/2035",2035,123,123,100,871,1396.5,72.9621542794303,15316.1411584583
"2035/2036",2036,123,123,100,908,1620.5,76.9041860564316,13240.3244728125
"2036/2037",2037,123,123,100,1057,1396.5,70.2577291957355,14380.6141715315
"2037/2038",2038,123,123,100,1155,1621,80.3780744974438,11731.3630828988
"2038/2039",2039,123,123,100,951,1495.5,74.7833638007933,14227.6979597742
"2039/2040",2040,123,123,100,946,1487.5,73.2144219295178,13781.0137186167
"2040/2041",2041,123,123,100,1028,1533,74.9366196690803,13503.2963914843
"2041/2042",2042,123,123,100,1113,1598,76.2083367172772,12659.1154424907
"2042/2043",2043,123,123,100,958,1541,73.3474336371792,13695.4515773943
"2043/2044",2044,123,123,100,968,1511,78.8498821006397,13699.3801590498
"2044/2045",2045,123,123,100,811,1513,78.6900734405326,14413.114583639
"2045/2046",2046,123,123,100,750,1375,71.0618259279063,15726.7019408988
"2046/2047",2047,123,123,100,916,1424,71.5604630689777,14667.7146661738
"2047/2048",2048,123,123,100,913,1492,76.4346841545048,13609.5251232758
"2048/2049",2049,123,123,100,1147,1590.5,77.7678005016596,12570.4177510194
"2049/2050",2050,123,123,100,1022,1296.5,73.0891053813584,13657.736599701
"2050/2051",2051,123,123,100,1123,1564.5,77.5667080761932,12615.1558724372
"2051/2052",2052,123,123,100,1206,1713,79.7766865560552,11080.3318640599
"2052/2053",2053,123,123,100,1067,1597,79.212350060222,11906.4984647818
"2053/2054",2054,123,123,100,1078,1668,76.9392256389374,12534.561013299
"2054/2055",2055,123,123,100,1062,1593.5,79.4757163025915,12474.9063605675
"2055/2056",2056,123,123,100,1111,1614.5,81.2168342234454,11587.521921481
"2056/2057",2057,123,123,100,1205,1761,80.672655768084,11436.0887829363
"2057/2058",2058,123,123,100,1164,1578.5,78.206877755335,12001.3415787676
"2058/2059",2059,123,123,100,1023,1550.5,76.6496562386483,13313.1668777196
"2059/2060",2060,123,123,100,1048,1401.5,76.5107806612195,13332.4433749411
"2060/2061",2061,123,123,100,896,1482.5,76.7820896787052,13297.7163883382
"2061/2062",2062,123,123,100,1116,1663,81.3555029852141,11843.256677459
"2062/2063",2063,123,123,100,1049,1546,74.2243156690165,13450.521765721
"2063/2064",2064,123,123,100,1143,1619,79.634824398142,11542.4930230258
"2064/2065",2065,123,123,100,959,1483,76.8287575007162,14086.3499227399
"2065/2066",2066,123,123,100,1053,1369,70.4779159526197,14115.6448627235
"2066/2067",2067,123,123,100,1019,1647,80.9583507141542,11938.393179643
"2067/2068",2068,123,123,100,975,1470,72.3554541142921,14089.7170664491
"2068/2069",2069,123,123,100,832,1252,69.240485415391,15940.6429170892
"2069/2070",2070,123,123,100,991,1484,76.3681493032536,13919.9181105355
"2070/2071",2071,123,123,100,1203,1715.5,83.5514097538735,10961.7047428191
"2071/2072",2072,123,123,100,1132,1688,80.7568830400878,11712.7596170874
"2072/2073",2073,123,123,100,1150,1503.5,77.8423241193586,12201.3421128122
"2073/2074",2074,123,123,100,1378,1871,85.5222083481785,9303.96194692794
"2074/2075",2075,123,123,100,1168,1752,81.8384639125843,11013.4575195406
"2075/2076",2076,123,123,100,1047,1559,76.1470017191414,13213.2779962709
"2076/2077",2077,123,123,100,1044,1415.5,71.6645917654205,14450.0804507323
"2077/2078",2078,123,123,100,1097,1644,80.0541029123151,11748.2288291641
"2078/2079",2079,123,123,100,1123,1623.5,81.6030566207446,12417.568649319
"2079/2080",2080,123,123,100,990,1522,76.2737600938717,13237.140834529
"2080/2081",2081,123,123,100,1215,1724.5,81.0815131270047,10823.3450261485
"2081/2082",2082,123,123,100,1141,1573,77.9496522023655,11566.2253754791
"2082/2083",2083,123,123,100,1068,1628,78.5529239856896,12491.7503275564
"2083/2084",2084,123,123,100,1077,1518.5,73.9413506106357,13540.2751247985
"2084/2085",2085,123,123,100,1090,1384,69.7219196727492,13919.6259666672
"2085/2086",2086,123,123,100,830,1433.5,72.8919437900931,14789.7047707196
"2086/2087",2087,123,123,100,1226,1535,81.108814392519,11647.8036133088
"2087/2088",2088,123,123,100,964,1507,75.7595616770905,13312.5194572685
"2088/2089",2089,123,123,100,1174,1582,77.4616778172112,11876.9515576912
"2089/2090",2090,123,123,100,1076,1616.5,77.0341250233068,12836.4140541721
"2090/2091",2091,123,123,100,1055,1814,83.4032700936314,11567.5978411045
"2091/2092",2092,123,123,100,1003,1499,77.7204473987349,12569.737039784
"2092/2093",2093,123,123,100,752,1273,66.0489193499361,16437.4112469684
"2093/2094",2094,123,123,100,815,1563,78.389201748405,14072.7114665313
"2094/2095",2095,123,123,100,1146,1507.5,75.8716413935454,12993.9194770837
"2095/2096",2096,123,123,100,1170,1820,84.3998043951815,10813.6541072084
"2096/2097",2097,123,123,100,881,1488,76.2001018010196,13862.9609983237
"2097/2098",2098,123,123,100,937,1573,80.0676198468827,13359.8630346786
"2098/2099",2099,123,123,100,1111,1583.5,79.7562825676432,11857.4076698516
"2099/2100",2100,123,123,100,915,1429.5,71.4458786058058,14587.6580094546
