"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,735,1217.5,67.630994622312,17125.7183733331
"2000/2001",2001,123,123,100,617,1068,63.8036934147984,18287.1114773291
"2001/2002",2002,123,123,100,676,1170,64.5505924313709,17510.4871264513
"2002/2003",2003,123,123,100,800,1233,67.6985271474458,16772.3496500551
"2003/2004",2004,123,123,100,760,1247.5,66.4363841667134,16901.0459538377
"2004/2005",2005,123,123,100,721,1182,66.2561317144973,17705.1006529898
"2005/2006",2006,123,123,100,681,1065.5,60.3194699351847,18239.511440895
"2006/2007",2007,123,123,100,810,1177.5,65.2527039445637,17033.0463171727
"2007/2008",2008,123,123,100,649,935,57.3214856113271,19466.5415494671
"2008/2009",2009,123,123,100,751,1075.5,62.9776419226337,17741.6928784122
"2009/2010",2010,123,123,100,874,1406.5,70.1344547639148,15257.3738743536
"2010/2011",2011,123,123,100,516,1109.5,66.9582820622146,18317.8629412336
"2011/2012",2012,123,123,100,680,1197.5,67.646945988492,17211.7333575087
"2012/2013",2013,123,123,100,821,1327,72.5242317366835,15604.4438100914
"2013/2014",2014,123,123,100,702,1094,61.6587336326177,18097.8762169166
"2014/2015",2015,123,123,100,761,1142,62.972812075825,17472.8338062125
"2015/2016",2016,123,123,100,638,1095.5,66.631857181347,18189.9735957598
"2016/2017",2017,123,123,100,532,818,52.3557063208727,20827.6618141178
"2017/2018",2018,123,123,100,603,973,60.1640265492388,19392.422212356
"2018/2019",2019,123,123,100,814,1144,67.9102882869959,16771.0897301645
"2019/2020",2020,123,123,100,729,1228.5,66.5882638452231,16936.5053601859
"2020/2021",2021,123,123,100,762,1229,66.6365553402309,17062.3563512345
"2021/2022",2022,123,123,100,588,1033,59.9692935032324,18829.0521590216
"2022/2023",2023,123,123,100,539,900,56.6931054174206,19798.9401743454
"2023/2024",2024,123,123,100,861,1236.5,64.8330388713312,16626.0539841345
"2024/2025",2025,123,123,100,676,1010,59.0938622851008,18867.1961238626
"2025/2026",2026,123,123,100,757,1060,62.7545121545725,18216.1327627003
"2026/2027",2027,123,123,100,676,1102.5,60.376590169185,18292.7199211195
"2027/2028",2028,123,123,100,647,1013,58.8775539177354,18963.1146173473
"2028/2029",2029,123,123,100,793,1392.5,69.262328862832,15454.7060100161
"2029/2030",2030,123,123,100,615,914.5,60.0559581776884,19685.8655784056
"2030/2031",2031,123,123,100,738,1258,67.1514001713749,16485.0065114591
"2031/2032",2032,123,123,100,490,1107,63.330835453623,18114.309153731
"2032/2033",2033,123,123,100,844,1481,73.1403130072563,14670.2323451266
"2033/2034",2034,123,123,100,695,1135.5,60.6638230942845,17624.9238123666
"2034/2035",2035,123,123,100,590,928.5,57.3252350631828,20048.6630008947
"2035/2036",2036,123,123,100,586,1200.5,63.4621810170497,17735.6953810761
"2036/2037",2037,123,123,100,774,1041.5,58.5288342897597,18482.3458359307
"2037/2038",2038,123,123,100,802,1327,68.5936348737987,15702.3246167428
"2038/2039",2039,123,123,100,636,1098,62.6414397373301,18571.7893127296
"2039/2040",2040,123,123,100,681,1120.5,63.5589393089399,18083.5840958902
"2040/2041",2041,123,123,100,760,1121.5,65.0401314916694,18002.9890550668
"2041/2042",2042,123,123,100,745,1238.5,66.4844770846635,16808.6598585104
"2042/2043",2043,123,123,100,697,1095,61.9058035461235,18295.2591381795
"2043/2044",2044,123,123,100,695,1129.5,62.5576099071013,18054.2736864057
"2044/2045",2045,123,123,100,498,1040.5,61.0473305802229,19098.2797603132
"2045/2046",2046,123,123,100,439,884,57.2013415093488,20506.9219561722
"2046/2047",2047,123,123,100,644,986.5,56.6403025475474,19165.4163173474
"2047/2048",2048,123,123,100,608,1072,64.5520091925887,18135.3454664471
"2048/2049",2049,123,123,100,852,1245.5,64.3802040430214,16749.0652330955
"2049/2050",2050,123,123,100,747,969.5,63.7640251696303,17772.0975091821
"2050/2051",2051,123,123,100,829,1238.5,66.6591550482981,16638.0925293118
"2051/2052",2052,123,123,100,891,1445.5,73.3121661690902,14969.1907016877
"2052/2053",2053,123,123,100,843,1302,67.6146277373873,15946.6930097351
"2053/2054",2054,123,123,100,751,1268,69.2639293216307,16782.5642630253
"2054/2055",2055,123,123,100,778,1234,70.5639252805604,16733.1491022045
"2055/2056",2056,123,123,100,859,1266,72.1940875299015,15720.7086922871
"2056/2057",2057,123,123,100,820,1408.5,72.2637443267013,15627.0144711006
"2057/2058",2058,123,123,100,846,1308.5,69.9935493963512,15859.2747459961
"2058/2059",2059,123,123,100,731,1178,61.4062931199487,17590.2109004995
"2059/2060",2060,123,123,100,775,1073,63.5185060717349,17580.7891392782
"2060/2061",2061,123,123,100,642,1100,64.1990244794224,17797.3993059853
"2061/2062",2062,123,123,100,806,1326,67.2070791319193,16082.8627347481
"2062/2063",2063,123,123,100,693,1171.5,66.6117338837084,17624.9847478345
"2063/2064",2064,123,123,100,816,1307,71.5437102211354,15624.8815105632
"2064/2065",2065,123,123,100,671,1069,61.6446652076702,18499.1170348143
"2065/2066",2066,123,123,100,760,1047,60.9435774029125,18239.757865536
"2066/2067",2067,123,123,100,722,1307,69.6941307025609,16170.9992187861
"2067/2068",2068,123,123,100,675,1081,63.480876849253,18429.7394242091
"2068/2069",2069,123,123,100,562,836,57.0682738240484,20520.0228648977
"2069/2070",2070,123,123,100,660,1060,64.1646271203199,18414.5800834876
"2070/2071",2071,123,123,100,918,1447.5,72.8814639502971,14935.8148236554
"2071/2072",2072,123,123,100,766,1342.5,75.2475638760861,15870.377215202
"2072/2073",2073,123,123,100,892,1212.5,64.0243385963386,16156.290403679
"2073/2074",2074,123,123,100,1008,1646,78.1530640650171,12892.6829120815
"2074/2075",2075,123,123,100,827,1420,73.52509920391,15021.907497949
"2075/2076",2076,123,123,100,731,1193,64.0482892125547,17494.4334700704
"2076/2077",2077,123,123,100,754,1059.5,60.4138269430978,18698.314676865
"2077/2078",2078,123,123,100,773,1311,70.7856895889972,15931.3408863517
"2078/2079",2079,123,123,100,752,1278.5,66.7622916671016,16551.9146577027
"2079/2080",2080,123,123,100,726,1119,64.8841287551431,17558.6600252595
"2080/2081",2081,123,123,100,869,1403.5,74.1357648644553,14712.0896464949
"2081/2082",2082,123,123,100,906,1289,70.5380407150324,15577.5189684629
"2082/2083",2083,123,123,100,764,1275,66.9262275586016,16713.5857007811
"2083/2084",2084,123,123,100,787,1175.5,60.998059689231,17677.219824601
"2084/2085",2085,123,123,100,848,1087.5,61.1511492378113,17959.3949294602
"2085/2086",2086,123,123,100,555,1003.5,59.7129268272211,19309.8888418525
"2086/2087",2087,123,123,100,985,1283.5,67.212370679943,15457.7741669416
"2087/2088",2088,123,123,100,686,1145,63.6010654213842,17618.8093204154
"2088/2089",2089,123,123,100,832,1328.5,67.0128892485018,15675.09965635
"2089/2090",2090,123,123,100,737,1228.5,65.5561391578703,17118.0274786958
"2090/2091",2091,123,123,100,685,1392,72.2501335180195,15800.6429124409
"2091/2092",2092,123,123,100,735,1152.5,68.0226287858832,16809.1927477922
"2092/2093",2093,123,123,100,487,817.5,52.1630872813339,21210.3128135484
"2093/2094",2094,123,123,100,485,1084,63.0912960700125,18752.5279254559
"2094/2095",2095,123,123,100,854,1195.5,65.0688688918599,17067.7280451059
"2095/2096",2096,123,123,100,831,1467,73.9102492782786,14828.8342622053
"2096/2097",2097,123,123,100,601,1059,62.5507997328059,18306.5052617509
"2097/2098",2098,123,123,100,611,1129.5,63.8039358549495,17873.1619213633
"2098/2099",2099,123,123,100,826,1285,67.8333598308309,15839.7761836406
"2099/2100",2100,123,123,100,656,987,60.3474602017432,19132.2847079132
