"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,297,-308,18.0681188466197,29841.5895613551
"2000/2001",2001,123,123,100,274,-461,17.9796111349794,31139.0386321563
"2001/2002",2002,123,123,100,270,-432,15.0217148818825,31109.1444516805
"2002/2003",2003,123,123,100,323,-233,21.8733681270785,29608.2843612224
"2003/2004",2004,123,123,100,305,-297.5,18.6905913268509,30326.5115864769
"2004/2005",2005,123,123,100,263,-404.5,15.4813891776471,30929.5197791588
"2005/2006",2006,123,123,100,298,-413.5,19.223110956119,31257.4958904963
"2006/2007",2007,123,123,100,377,-230,20.2757269218767,29231.4419304207
"2007/2008",2008,123,123,100,208,-639,13.6148081589508,31673.9138373701
"2008/2009",2009,123,123,100,313,-396,18.7903082338259,30426.7792290343
"2009/2010",2010,123,123,100,325,-88,24.8367056272284,28645.9827244999
"2010/2011",2011,123,123,100,176,-590,11.5821512223919,33051.8142510159
"2011/2012",2012,123,123,100,302,-386.5,19.2675879387385,30725.909904314
"2012/2013",2013,123,123,100,352,-131,24.4504613311371,28969.4133319631
"2013/2014",2014,123,123,100,260,-510.5,14.9575654129196,31635.5124880052
"2014/2015",2015,123,123,100,265,-413,17.2439924692121,30473.9815174914
"2015/2016",2016,123,123,100,198,-565,10.7771014398377,32089.3427323375
"2016/2017",2017,123,123,100,177,-875,7.71974183112394,34119.8100250263
"2017/2018",2018,123,123,100,183,-666.5,14.8521732869002,33172.432273071
"2018/2019",2019,123,123,100,383,-293,17.6490777180438,29511.3721772961
"2019/2020",2020,123,123,100,232,-417.5,13.8504688076061,31008.6027661646
"2020/2021",2021,123,123,100,296,-286.5,18.497515890672,30127.2936854213
"2021/2022",2022,123,123,100,169,-624.5,12.1374127562009,31788.6910187979
"2022/2023",2023,123,123,100,167,-707,12.0134486183139,33900.4703152608
"2023/2024",2024,123,123,100,355,-271,18.5436220908681,29069.6932253847
"2024/2025",2025,123,123,100,287,-482.5,16.5895661041092,30716.5183829847
"2025/2026",2026,123,123,100,278,-472.5,16.0010783962801,31413.2050781068
