"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,251,-389,17.2141179330609,30854.0735909373
"2000/2001",2001,123,123,100,247,-550,17.6160211575937,32073.3935348362
"2001/2002",2002,123,123,100,237,-513.5,13.9951215182244,32136.6590398378
"2002/2003",2003,123,123,100,279,-296.5,21.2691853648656,30510.7782516393
"2003/2004",2004,123,123,100,253,-392.5,16.6673962008835,31276.8664130039
"2004/2005",2005,123,123,100,207,-500,14.0597484526447,32006.1114458869
"2005/2006",2006,123,123,100,259,-474.5,19.1801704669771,32145.4484077595
"2006/2007",2007,123,123,100,289,-302.5,22.7982907460447,30287.3156378616
"2007/2008",2008,123,123,100,181,-718.5,15.3705520569993,32701.617386748
"2008/2009",2009,123,123,100,280,-455.5,17.1059587541021,31410.4579057945
"2009/2010",2010,123,123,100,265,-169,21.3355921717206,29689.3130312597
"2010/2011",2011,123,123,100,145,-659,11.7373263906189,33916.2723462074
"2011/2012",2012,123,123,100,286,-468.5,19.6575416447025,31566.1389425267
"2012/2013",2013,123,123,100,310,-205,21.1982121882194,29917.5428177663
"2013/2014",2014,123,123,100,231,-597,16.0734924396509,32726.4070956192
"2014/2015",2015,123,123,100,211,-484.5,14.7306799216083,31579.5039913168
"2015/2016",2016,123,123,100,169,-643,8.28770224737985,33126.0352473625
"2016/2017",2017,123,123,100,150,-974.5,8.01801137712744,35170.1763178441
"2017/2018",2018,123,123,100,149,-780,16.2026358201977,34273.564954309
"2018/2019",2019,123,123,100,344,-340,18.1925958206009,30364.0163136506
"2019/2020",2020,123,123,100,195,-496.5,10.6315807808674,31954.4409881081
"2020/2021",2021,123,123,100,236,-376.5,16.9768984853418,31140.0480456725
"2021/2022",2022,123,123,100,151,-720,11.4809325449316,32838.7747523943
"2022/2023",2023,123,123,100,146,-785,13.6987319170628,34778.1413153554
"2023/2024",2024,123,123,100,289,-357,18.8762545094138,30225.6925431485
"2024/2025",2025,123,123,100,254,-561,15.8329721936403,31851.2581309616
"2025/2026",2026,123,123,100,233,-547,16.8071853263124,32458.9891704484
"2026/2027",2027,123,123,100,134,-713.5,6.81403959700998,33891.4902826087
"2027/2028",2028,123,123,100,206,-646,15.3929177969293,32748.6580191026
"2028/2029",2029,123,123,100,259,-157,24.4878674834586,29473.6709835944
"2029/2030",2030,123,123,100,172,-818,7.418501364853,34554.8206789205
"2030/2031",2031,123,123,100,245,-367.5,21.7470671345967,30620.6643575341
"2031/2032",2032,123,123,100,120,-646,9.7271808360324,33110.5366997612
"2032/2033",2033,123,123,100,294,-97,23.3209916128291,28838.4388720519
"2033/2034",2034,123,123,100,246,-499,17.7092730993887,31803.6538569797
"2034/2035",2035,123,123,100,114,-799.5,10.5032182338648,34561.6233117422
"2035/2036",2036,123,123,100,159,-539.5,18.0020827111128,32650.1771090645
"2036/2037",2037,123,123,100,255,-551.5,17.8066636401269,31502.7587217605
"2037/2038",2038,123,123,100,281,-253.5,21.8962140056333,29388.5417706161
"2038/2039",2039,123,123,100,141,-698,8.63833017603827,33469.612490464
"2039/2040",2040,123,123,100,189,-611.5,9.52341949389233,33062.2952715633
"2040/2041",2041,123,123,100,194,-550.5,14.1170655818033,32797.7604922568
"2041/2042",2042,123,123,100,225,-427.5,13.7237827190668,31603.5496182684
"2042/2043",2043,123,123,100,184,-571,14.0409932789906,33057.4310450442
"2043/2044",2044,123,123,100,208,-556.5,16.6984389293118,32652.860117632
"2044/2045",2045,123,123,100,107,-755,9.66915114142159,34376.9238998247
"2045/2046",2046,123,123,100,127,-893,12.145630792694,35103.4468896156
"2046/2047",2047,123,123,100,135,-717,12.136231232387,33305.776437154
"2047/2048",2048,123,123,100,198,-615.5,14.2989676627129,33124.5291632703
"2048/2049",2049,123,123,100,358,-240,23.7076163363048,30171.099987912
"2049/2050",2050,123,123,100,367,-483.5,21.1344067200104,30572.9690040145
"2050/2051",2051,123,123,100,314,-325,22.2916527781625,30043.3429650925
"2051/2052",2052,123,123,100,279,-148,23.4740988744674,29211.9714445509
"2052/2053",2053,123,123,100,324,-294.5,17.523970019676,30555.757677203
"2053/2054",2054,123,123,100,230,-322.5,20.8335725185681,30414.3068990689
"2054/2055",2055,123,123,100,228,-425.5,13.1609914301379,31564.4653335232
"2055/2056",2056,123,123,100,334,-246,20.1665910784709,30091.7534716446
"2056/2057",2057,123,123,100,270,-121,26.261575859899,29097.7685756702
"2057/2058",2058,123,123,100,288,-344,12.9215177203721,30624.7220609915
"2058/2059",2059,123,123,100,193,-483,12.959707906019,31748.9854698237
"2059/2060",2060,123,123,100,293,-503.5,13.5515963974815,31893.2280293759
"2060/2061",2061,123,123,100,230,-518.5,11.5629747020819,32870.7020464893
"2061/2062",2062,123,123,100,302,-179.5,23.3033497243755,30180.1202808861
"2062/2063",2063,123,123,100,172,-485,14.0731999169166,31708.361478732
"2063/2064",2064,123,123,100,301,-222,21.1383098595365,29495.3224397907
"2064/2065",2065,123,123,100,126,-688.5,8.410905347984,33641.549677154
"2065/2066",2066,123,123,100,257,-575.5,16.5870050039673,31981.1840118896
"2066/2067",2067,123,123,100,243,-372,12.8751836646707,31523.0449707797
"2067/2068",2068,123,123,100,184,-601,15.542151414641,32679.5384328114
"2068/2069",2069,123,123,100,160,-941.5,6.86376677063163,35212.9057261879
"2069/2070",2070,123,123,100,169,-641,9.98422167058266,33779.7818755386
"2070/2071",2071,123,123,100,312,-122,20.4351589997027,29579.4955766592
"2071/2072",2072,123,123,100,236,-337.5,15.8073168976061,31016.3248983389
"2072/2073",2073,123,123,100,397,-245,21.7231389359786,29060.7914147098
"2073/2074",2074,123,123,100,358,136,25.929186718914,26766.3774929391
"2074/2075",2075,123,123,100,298,-85,22.3959861096989,28913.1588435201
"2075/2076",2076,123,123,100,216,-457.5,16.0932930723752,31622.6944355415
"2076/2077",2077,123,123,100,222,-551,19.3811678447785,31866.3257382773
"2077/2078",2078,123,123,100,293,-299.5,16.1714022341721,30567.6581334043
"2078/2079",2079,123,123,100,205,-348,19.8933840079576,30585.7182034273
"2079/2080",2080,123,123,100,212,-472.5,16.2648521034298,31508.6896956153
"2080/2081",2081,123,123,100,325,-112.5,25.6797149249853,28686.7696719039
"2081/2082",2082,123,123,100,365,-229,20.7391350289897,29996.1142137889
"2082/2083",2083,123,123,100,186,-375,20.2694118405871,30761.1691480614
"2083/2084",2084,123,123,100,192,-495.5,14.7092355430677,31469.5335131884
"2084/2085",2085,123,123,100,266,-446,19.0724581356712,30917.6133211143
"2085/2086",2086,123,123,100,103,-784,10.947371757431,33976.3104734179
"2086/2087",2087,123,123,100,394,-185,17.839710457235,29072.2055203989
"2087/2088",2088,123,123,100,250,-439,21.5150563205382,31551.9726671446
"2088/2089",2089,123,123,100,312,-255,23.0194640070897,29596.3859250098
"2089/2090",2090,123,123,100,177,-454.5,15.9704290349719,31937.2514563724
"2090/2091",2091,123,123,100,167,-218,24.1979802118121,29990.4918738976
"2091/2092",2092,123,123,100,283,-348.5,19.3227647486074,30371.0517578684
"2092/2093",2093,123,123,100,168,-930.5,15.96071270158,35297.054083854
"2093/2094",2094,123,123,100,72,-747,12.0827036447065,34646.3614888061
"2094/2095",2095,123,123,100,272,-388.5,17.9573286172092,30639.5764774736
"2095/2096",2096,123,123,100,225,-158.5,18.0236163186532,29559.7295820639
"2096/2097",2097,123,123,100,175,-662,12.0384405505285,33429.4412203021
"2097/2098",2098,123,123,100,174,-504,14.833423668013,32671.6284060031
"2098/2099",2099,123,123,100,299,-293,18.9671449165098,30050.8633643556
"2099/2100",2100,123,123,100,154,-704.5,10.771634758443,33924.5499849636
