"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,646,679,47.7373571740116,21531.9407690461
"2000/2001",2001,123,123,100,514,519,45.4054378205452,22737.6427921357
"2001/2002",2002,123,123,100,593,582.5,47.153518763321,22577.9355902695
"2002/2003",2003,123,123,100,646,710.5,49.5281528819195,21259.1772080811
"2003/2004",2004,123,123,100,690,672,51.9325608187373,21538.4600896832
"2004/2005",2005,123,123,100,605,528,41.0513673545375,23231.4929111958
"2005/2006",2006,123,123,100,627,595,47.2376201877228,22135.0901762958
"2006/2007",2007,123,123,100,693,579.5,48.4663977641151,21842.8620745008
"2007/2008",2008,123,123,100,526,281,34.274121866368,25108.3307074241
"2008/2009",2009,123,123,100,597,492.5,46.890578846807,22433.5096193167
"2009/2010",2010,123,123,100,745,894.5,54.7657778628956,20056.5531823364
"2010/2011",2011,123,123,100,470,562,45.1595349435802,23053.6672678008
"2011/2012",2012,123,123,100,613,603.5,45.0745614700544,21590.7684693846
"2012/2013",2013,123,123,100,722,857.5,55.5559814131594,19633.2157520752
"2013/2014",2014,123,123,100,612,542.5,42.6697225172156,23084.5102192338
"2014/2015",2015,123,123,100,628,477.5,43.8720934772622,23161.0508282771
"2015/2016",2016,123,123,100,483,494,38.8192334399463,23556.9836509975
"2016/2017",2017,123,123,100,419,163,29.9063654538913,26081.6876265092
"2017/2018",2018,123,123,100,494,403,43.4893715234729,24397.4784130715
"2018/2019",2019,123,123,100,676,617.5,48.6482467861233,20683.6371029527
"2019/2020",2020,123,123,100,603,657.5,45.6340256279211,21766.9529542674
"2020/2021",2021,123,123,100,661,596,46.3131895269225,22447.0404227832
"2021/2022",2022,123,123,100,476,436.5,40.6821160470261,24068.0412001056
"2022/2023",2023,123,123,100,471,386,41.3796899555291,24391.6617997843
"2023/2024",2024,123,123,100,703,629,45.1385714401445,21726.5871676672
"2024/2025",2025,123,123,100,567,429.5,42.7622169346005,23074.9642408513
"2025/2026",2026,123,123,100,623,504,44.2325709680053,22999.0639636605
"2026/2027",2027,123,123,100,477,363,36.015523010291,24967.3424212812
"2027/2028",2028,123,123,100,561,360.5,40.7178277704386,24735.7957289936
"2028/2029",2029,123,123,100,719,884,55.9100047636605,19659.1963916016
"2029/2030",2030,123,123,100,489,260,35.1492802747011,25664.6320308656
"2030/2031",2031,123,123,100,668,772.5,49.5256481178885,20912.8635881655
"2031/2032",2032,123,123,100,480,556,47.8138869463492,22802.6674183663
"2032/2033",2033,123,123,100,757,977,58.2400317032859,19062.7007271615
"2033/2034",2034,123,123,100,579,547,42.8161318700884,22679.1741587939
"2034/2035",2035,123,123,100,471,350.5,38.7819817600457,25259.6234663446
"2035/2036",2036,123,123,100,515,659,47.4074920155176,22109.5698521291
"2036/2037",2037,123,123,100,636,355,38.9055430414439,24142.9261586354
"2037/2038",2038,123,123,100,669,788.5,50.5278179711595,20162.5687574469
"2038/2039",2039,123,123,100,521,411.5,40.1103168549416,24602.5801030309
"2039/2040",2040,123,123,100,585,469.5,43.0314828576497,23686.210746713
"2040/2041",2041,123,123,100,628,506.5,42.8650998707035,23724.5449826843
"2041/2042",2042,123,123,100,590,621.5,44.8545196666564,22342.8146227635
"2042/2043",2043,123,123,100,610,574.5,41.5477529382647,22985.2586185774
"2043/2044",2044,123,123,100,616,632.5,47.3241485916656,22377.28184528
"2044/2045",2045,123,123,100,431,427.5,40.3846957172009,24595.9322934551
"2045/2046",2046,123,123,100,410,322.5,36.8029974863598,25570.9528277852
"2046/2047",2047,123,123,100,450,263.5,39.4113070462872,25747.8941921918
"2047/2048",2048,123,123,100,527,542,41.2393609395735,22861.5181473801
"2048/2049",2049,123,123,100,800,735.5,51.1725408753714,20417.9409100702
"2049/2050",2050,123,123,100,556,283,43.3281300024955,22700.4635139611
"2050/2051",2051,123,123,100,759,790.5,50.4428323346506,20364.692713731
