"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1111,1699,80.9176543180351,11496.5646359419
"2000/2001",2001,123,123,100,1090,1607,81.4124020598782,11250.4139889572
"2001/2002",2002,123,123,100,1082,1784.5,85.5146959687963,10889.6187751617
"2002/2003",2003,123,123,100,1057,1624,81.2219560654174,12076.6498903199
"2003/2004",2004,123,123,100,1068,1704,83.1128897984168,11793.317869676
"2004/2005",2005,123,123,100,1194,1756.5,82.9168560165892,10983.8142630311
"2005/2006",2006,123,123,100,1124,1618.5,78.2567107841669,11617.2631857403
"2006/2007",2007,123,123,100,1103,1763.5,82.5696993090389,11559.8601869962
"2007/2008",2008,123,123,100,1439,1869.5,85.8357681679079,9512.17040609417
"2008/2009",2009,123,123,100,1055,1639.5,81.3875920248647,11716.829814679
"2009/2010",2010,123,123,100,1020,1631,80.172605559449,12717.7142630233
"2010/2011",2011,123,123,100,1279,1700,78.8108421956306,10781.6279424183
"2011/2012",2012,123,123,100,1096,1598,75.961030565504,12055.3914599759
"2012/2013",2013,123,123,100,910,1562.5,80.6121287945175,12867.4115955746
"2013/2014",2014,123,123,100,1137,1690.5,84.2790623438357,10920.9076255942
"2014/2015",2015,123,123,100,1133,1772.5,83.5744947589587,10703.436727029
"2015/2016",2016,123,123,100,1165,1794.5,86.320204673196,9983.58539765119
"2016/2017",2017,123,123,100,1409,1887,89.0955669857933,8454.46810291614
"2017/2018",2018,123,123,100,1144,1597,81.0725094711215,10526.8660023562
"2018/2019",2019,123,123,100,991,1619.5,80.3294074983646,12599.1511205991
"2019/2020",2020,123,123,100,1217,1690.5,77.0688477095659,11572.4694689661
"2020/2021",2021,123,123,100,1177,1721.5,81.1446226363387,11355.7578755191
"2021/2022",2022,123,123,100,1305,1787,81.3874574105812,9946.65698691527
"2022/2023",2023,123,123,100,1274,1737.5,83.6506111234899,10372.0499220614
"2023/2024",2024,123,123,100,1127,1781.5,82.6691413565786,11322.5888210284
