"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,940,1533.5,74.3032145411277,13633.1325723324
"2000/2001",2001,123,123,100,930,1432.5,74.9195330900231,13467.4558238142
"2001/2002",2002,123,123,100,893,1595.5,79.6041995180858,13163.8936079112
"2002/2003",2003,123,123,100,868,1451.5,73.7919889008808,14336.1699293755
"2003/2004",2004,123,123,100,901,1495.5,74.7526082497183,14170.640429758
"2004/2005",2005,123,123,100,1032,1599.5,76.14496977778,13094.282271602
"2005/2006",2006,123,123,100,968,1451.5,75.7071880585767,13689.915873452
"2006/2007",2007,123,123,100,909,1564,77.3462362858023,13800.8387180116
"2007/2008",2008,123,123,100,1210,1752.5,81.5806755620168,11392.6202110322
"2008/2009",2009,123,123,100,904,1491,77.1979737062067,13892.9376593463
"2009/2010",2010,123,123,100,871,1421,70.4622328283074,15081.7518432934
"2010/2011",2011,123,123,100,1139,1566.5,76.5840265353447,12815.9270934793
"2011/2012",2012,123,123,100,907,1394,73.0816287030061,14333.2992159749
"2012/2013",2013,123,123,100,762,1337.5,71.9905780411364,15368.8492302643
"2013/2014",2014,123,123,100,1022,1517.5,78.4863118461412,13056.2439476275
"2014/2015",2015,123,123,100,963,1563,78.006964442106,12941.1893205999
"2015/2016",2016,123,123,100,980,1635.5,82.5161650148759,12170.5147926675
"2016/2017",2017,123,123,100,1272,1768.5,83.833065653622,10409.3879020168
"2017/2018",2018,123,123,100,1042,1443.5,77.1682776649384,12664.4703797982
"2018/2019",2019,123,123,100,808,1415,75.4834348454426,14826.6429816415
"2019/2020",2020,123,123,100,1026,1504,74.6372644504443,13825.09027616
"2020/2021",2021,123,123,100,997,1567.5,77.2330465634163,13463.2536593229
"2021/2022",2022,123,123,100,1117,1650,79.2574997996335,11937.5993856217
"2022/2023",2023,123,123,100,1094,1623,80.2975716059705,12328.8071467846
"2023/2024",2024,123,123,100,913,1586.5,75.6186985579425,13635.2287078192
"2024/2025",2025,123,123,100,1139,1683,78.690917463462,11947.3928147545
"2025/2026",2026,123,123,100,956,1559,77.8507548573011,12884.6048932183
"2026/2027",2027,123,123,100,953,1658,83.9822198277902,12151.1700424301
"2027/2028",2028,123,123,100,1117,1736,81.2708403293705,11763.0466453512
"2028/2029",2029,123,123,100,829,1353.5,71.9102761963159,15137.9929181146
"2029/2030",2030,123,123,100,1126,1774,83.1713502295315,11331.6863570921
"2030/2031",2031,123,123,100,950,1401.5,74.181467627468,14444.3894470604
"2031/2032",2032,123,123,100,1101,1607,75.9809572301397,12972.7488500825
"2032/2033",2033,123,123,100,763,1276,71.1679072557276,15851.7977013942
"2033/2034",2034,123,123,100,1001,1622,77.3139611481242,12965.445820922
"2034/2035",2035,123,123,100,1062,1664,80.4147647914378,11549.3929646062
"2035/2036",2036,123,123,100,986,1468,76.192241472902,13496.7367411596
"2036/2037",2037,123,123,100,1104,1728.5,79.9018856590756,11845.0721647479
"2037/2038",2038,123,123,100,858,1350,69.5901074451804,15044.1613098076
"2038/2039",2039,123,123,100,1097,1728,82.7154475033826,11672.3691898626
"2039/2040",2040,123,123,100,1058,1601,78.8093888292078,12842.6274113497
"2040/2041",2041,123,123,100,1038,1672.5,80.3190854381364,12742.4414410857
"2041/2042",2042,123,123,100,937,1491,74.4627143604921,13874.1054187724
