"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,768,1319.5,70.864115875376,15853.9490012015
"2000/2001",2001,123,123,100,810,1232.5,72.2963879652459,15674.0179182142
"2001/2002",2002,123,123,100,744,1384,73.0627006854207,15432.1910336237
"2002/2003",2003,123,123,100,721,1243.5,67.1309607787429,16631.4117998909
"2003/2004",2004,123,123,100,758,1274.5,69.4184481780765,16393.2871221419
"2004/2005",2005,123,123,100,888,1403,71.9357595950351,15262.3278866481
"2005/2006",2006,123,123,100,835,1270.5,70.9230818432111,15779.7015526148
"2006/2007",2007,123,123,100,713,1351,71.0585441400845,16014.9597375323
"2007/2008",2008,123,123,100,1026,1580,77.3779623953895,13410.5711725366
"2008/2009",2009,123,123,100,784,1281,71.3102764857409,16125.770286224
"2009/2010",2010,123,123,100,726,1204,67.1637878210449,17349.1601781314
"2010/2011",2011,123,123,100,954,1400,74.0481270568898,14964.3840736973
"2011/2012",2012,123,123,100,741,1178,67.8495680149385,16644.1289601242
"2012/2013",2013,123,123,100,623,1109.5,63.9811099646724,17766.3719733171
"2013/2014",2014,123,123,100,892,1346,68.670132130165,15195.4936332428
"2014/2015",2015,123,123,100,803,1381,69.9095043428747,15163.3580915711
"2015/2016",2016,123,123,100,824,1428,74.7799631982207,14395.8220146971
"2016/2017",2017,123,123,100,1093,1639,78.1177461017662,12403.9174338703
"2017/2018",2018,123,123,100,931,1300,73.7368463551361,14690.0880249955
"2018/2019",2019,123,123,100,619,1202.5,68.4836256528952,17174.943320083
"2019/2020",2020,123,123,100,864,1311,71.8072404950697,15953.8101301368
"2020/2021",2021,123,123,100,835,1376.5,72.097911360645,15633.1500559656
"2021/2022",2022,123,123,100,978,1460.5,74.1422710958923,14033.7381309185
"2022/2023",2023,123,123,100,935,1439,71.9413265606481,14399.5459064466
"2023/2024",2024,123,123,100,756,1356,72.5866907281024,15890.063540244
"2024/2025",2025,123,123,100,954,1520.5,74.7340298336012,13922.5195414694
"2025/2026",2026,123,123,100,807,1359,72.8404427263149,15050.4240982751
"2026/2027",2027,123,123,100,790,1456.5,75.7387861823258,14412.806642293
"2027/2028",2028,123,123,100,947,1566.5,74.4598858765094,13807.1529083089
"2028/2029",2029,123,123,100,678,1162.5,63.1390404567296,17403.613341596
"2029/2030",2030,123,123,100,960,1575.5,79.2329215736859,13437.6819192097
"2030/2031",2031,123,123,100,793,1196.5,68.3009511060563,16656.1568139568
"2031/2032",2032,123,123,100,932,1425.5,70.029172005552,15063.3860967932
"2032/2033",2033,123,123,100,653,1041,60.756402494279,18261.6647925936
"2033/2034",2034,123,123,100,861,1424.5,69.871393948662,15120.1544535556
"2034/2035",2035,123,123,100,850,1493,75.0631487754044,13631.6910598464
"2035/2036",2036,123,123,100,812,1278,68.0516959444894,15646.4928518538
"2036/2037",2037,123,123,100,885,1571.5,76.8847778010991,13875.7051279442
"2037/2038",2038,123,123,100,715,1138.5,61.5665161718571,17375.465307951
"2038/2039",2039,123,123,100,923,1554.5,74.0521528751565,13780.8097346099
"2039/2040",2040,123,123,100,909,1421.5,74.3177113414008,15048.4698491008
"2040/2041",2041,123,123,100,837,1471,74.3053634988632,14900.4015042982
"2041/2042",2042,123,123,100,807,1282,68.3564978437244,16103.2259022831
"2042/2043",2043,123,123,100,864,1542.5,76.6802452377974,14375.738712023
"2043/2044",2044,123,123,100,826,1319,69.6206656027662,15273.7866453258
"2044/2045",2045,123,123,100,1056,1478.5,77.7324913283064,14095.6669003177
"2045/2046",2046,123,123,100,1063,1420,70.2263833382885,13685.4044101005
"2046/2047",2047,123,123,100,921,1639.5,80.7123059572205,13263.3630969864
"2047/2048",2048,123,123,100,848,1304.5,66.8676898712065,15695.7028496675
"2048/2049",2049,123,123,100,675,1223,65.5178531724578,16835.2208791152
"2049/2050",2050,123,123,100,767,1222,69.2653380454176,16358.9342186023
"2050/2051",2051,123,123,100,802,1228,68.0865318960841,16269.8752001543
"2051/2052",2052,123,123,100,692,1202,67.3959049215346,17648.0670537855
"2052/2053",2053,123,123,100,834,1147.5,62.078652424867,17153.2644904004
"2053/2054",2054,123,123,100,871,1302,65.9509615874795,16190.1326935589
"2054/2055",2055,123,123,100,752,1304.5,67.5679622734642,16192.1056774482
"2055/2056",2056,123,123,100,643,1093,65.6870640506104,18015.1777994093
"2056/2057",2057,123,123,100,720,1231,65.9296798378191,17193.4388057189
"2057/2058",2058,123,123,100,661,1167,66.0685726998154,17465.9077631822
"2058/2059",2059,123,123,100,718,1401,73.580654376924,14862.3414489562
"2059/2060",2060,123,123,100,735,1323,70.6859384538711,15899.48721861
"2060/2061",2061,123,123,100,749,1257.5,66.0900441383301,16103.847337205
"2061/2062",2062,123,123,100,659,1166,66.0813993353504,17505.7528558187
"2062/2063",2063,123,123,100,861,1449.5,71.8801478369187,14778.0736214332
"2063/2064",2064,123,123,100,610,1127,63.6643860969834,17775.3559863539
"2064/2065",2065,123,123,100,877,1523,74.712176116599,14104.0408793315
"2065/2066",2066,123,123,100,772,1434.5,73.4318603634438,14546.7283254126
"2066/2067",2067,123,123,100,728,1251.5,65.2961910614013,16832.100254396
"2067/2068",2068,123,123,100,843,1380,72.2641006588401,14780.1923059979
"2068/2069",2069,123,123,100,974,1667.5,82.6754356956635,12390.3860394862
"2069/2070",2070,123,123,100,842,1505,76.6862002361859,14416.7936047874
"2070/2071",2071,123,123,100,694,1177,63.601063526432,17679.9416750977
"2071/2072",2072,123,123,100,682,1172.5,66.8398986184156,16954.1891737459
"2072/2073",2073,123,123,100,582,1333,71.76245055052,16646.8610007875
"2073/2074",2074,123,123,100,507,943.5,58.1808351170293,19647.9440849656
"2074/2075",2075,123,123,100,663,1199.5,65.7463325512654,17370.2749201441
"2075/2076",2076,123,123,100,795,1375,74.3582346488402,15345.2553969352
"2076/2077",2077,123,123,100,802,1435.5,74.3460250792241,14187.1674014414
"2077/2078",2078,123,123,100,683,1156.5,66.1208766130048,17563.0125910221
"2078/2079",2079,123,123,100,819,1301.5,68.291457418205,15887.774463986
"2079/2080",2080,123,123,100,795,1435.5,74.5741511279803,15133.6157652605
"2080/2081",2081,123,123,100,643,1061.5,61.2641361583492,18241.9641521042
"2081/2082",2082,123,123,100,598,1141.5,65.9991418386826,17684.3796091471
"2082/2083",2083,123,123,100,896,1334,67.8814862732297,15751.196751358
"2083/2084",2084,123,123,100,798,1548,78.6335518585474,14250.3438176811
"2084/2085",2085,123,123,100,800,1347,70.4349380649282,14938.8192301709
"2085/2086",2086,123,123,100,994,1528,74.1608554671211,13579.9631105
"2086/2087",2087,123,123,100,597,1217.5,69.4844691196504,17314.2591410968
"2087/2088",2088,123,123,100,828,1321,70.5119495683757,15895.6994033866
"2088/2089",2089,123,123,100,786,1106,66.0395125133327,17713.0795630189
"2089/2090",2090,123,123,100,726,1398,75.3824842275108,15513.8938186672
