"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,816,1313.5,71.3838485216631,15680.1048892249
"2000/2001",2001,123,123,100,832,1217,70.4398769540416,15533.8645631723
"2001/2002",2002,123,123,100,780,1376,74.4679403881967,15298.7263535809
"2002/2003",2003,123,123,100,760,1233.5,66.7764321691742,16471.5126626855
"2003/2004",2004,123,123,100,792,1248.5,70.4284773558915,16263.1514052246
"2004/2005",2005,123,123,100,924,1423,73.1348357337844,15076.3743817616
"2005/2006",2006,123,123,100,869,1260.5,70.1630404135589,15660.2053769246
"2006/2007",2007,123,123,100,769,1348,69.4671888739172,15850.7411085828
"2007/2008",2008,123,123,100,1054,1571.5,77.100616013796,13283.0383074114
"2008/2009",2009,123,123,100,811,1278,72.082851974815,15958.0943675287
"2009/2010",2010,123,123,100,761,1211.5,65.826309160581,17175.7316464392
"2010/2011",2011,123,123,100,1007,1377.5,73.7713770185201,14836.9783767667
"2011/2012",2012,123,123,100,756,1154.5,67.8532573527664,16546.5599046117
"2012/2013",2013,123,123,100,644,1093,62.7228119878973,17595.233601456
"2013/2014",2014,123,123,100,903,1323.5,69.7045129708752,15088.6534529626
"2014/2015",2015,123,123,100,824,1375.5,71.295663564282,14991.4366536103
"2015/2016",2016,123,123,100,855,1418.5,75.5205805930073,14286.8988858536
"2016/2017",2017,123,123,100,1119,1590.5,78.0992483968798,12307.6976880429
"2017/2018",2018,123,123,100,944,1270.5,71.4629826943294,14616.0856854836
"2018/2019",2019,123,123,100,671,1221.5,70.2705661581031,16888.4578711325
"2019/2020",2020,123,123,100,911,1298.5,70.7271923664618,15807.1537844213
"2020/2021",2021,123,123,100,899,1366.5,72.5691836089318,15475.3189619866
"2021/2022",2022,123,123,100,1002,1427.5,73.6242571813559,13955.0214945215
"2022/2023",2023,123,123,100,963,1438,74.8445265087066,14254.2994135935
"2023/2024",2024,123,123,100,797,1354.5,71.3848234374868,15706.0851188134
"2024/2025",2025,123,123,100,996,1503.5,73.6714504895908,13778.3531033774
"2025/2026",2026,123,123,100,815,1356.5,72.9654975878889,14921.8307552212
"2026/2027",2027,123,123,100,815,1454,76.7067942745107,14263.9798730789
"2027/2028",2028,123,123,100,989,1559.5,74.6835750498826,13686.7247288693
"2028/2029",2029,123,123,100,730,1149.5,64.2251800827421,17233.7636030382
"2029/2030",2030,123,123,100,1001,1565.5,77.7644303116804,13305.3704352644
"2030/2031",2031,123,123,100,825,1184.5,67.7451696350213,16523.0111999055
"2031/2032",2032,123,123,100,973,1429,69.2247361964542,14891.4229855035
"2032/2033",2033,123,123,100,665,1021,60.3502211300261,18140.9563584263
"2033/2034",2034,123,123,100,888,1419,70.9626862271452,14955.7421484436
"2034/2035",2035,123,123,100,885,1458,74.718040140845,13551.0731331185
"2035/2036",2036,123,123,100,857,1253.5,69.1284130817785,15519.33646362
"2036/2037",2037,123,123,100,932,1566.5,74.5158128747357,13714.7068696669
"2037/2038",2038,123,123,100,738,1150.5,62.5039418990223,17144.7395945303
"2038/2039",2039,123,123,100,962,1539.5,75.4808984426895,13674.7490433138
"2039/2040",2040,123,123,100,955,1410,74.1929685312189,14906.5093254647
"2040/2041",2041,123,123,100,894,1471.5,73.0096517747538,14742.0317338426
"2041/2042",2042,123,123,100,806,1256.5,68.1596117928289,15985.6085787369
"2042/2043",2043,123,123,100,920,1531,75.7600589949016,14239.0024530096
"2043/2044",2044,123,123,100,855,1295,67.9710569172321,15174.6675046505
"2044/2045",2045,123,123,100,1067,1449.5,74.3240682771975,14043.0138519537
"2045/2046",2046,123,123,100,1080,1372.5,68.4592895103597,13657.2759168274
"2046/2047",2047,123,123,100,965,1644,79.8945839506941,13098.4071615841
"2047/2048",2048,123,123,100,874,1275,67.4815372986986,15605.0009193546
"2048/2049",2049,123,123,100,724,1215.5,66.4428310453777,16653.6778114997
"2049/2050",2050,123,123,100,789,1232,67.9995089882177,16111.4421918765
"2050/2051",2051,123,123,100,841,1224.5,67.4052866311977,16117.3304520696
"2051/2052",2052,123,123,100,742,1218.5,66.1753525914373,17443.11743131
"2052/2053",2053,123,123,100,854,1122,63.1405900009704,17036.2732355567
"2053/2054",2054,123,123,100,945,1295.5,64.4147580164981,16045.7711057337
"2054/2055",2055,123,123,100,804,1311,68.2941060969251,16003.5842187926
"2055/2056",2056,123,123,100,676,1100.5,63.8542425767891,17820.4029348027
"2056/2057",2057,123,123,100,778,1221,65.0264380196386,16998.8321005395
"2057/2058",2058,123,123,100,695,1166,67.5481944634475,17272.8973193513
"2058/2059",2059,123,123,100,744,1384.5,74.2813749781699,14756.7967919763
"2059/2060",2060,123,123,100,766,1345.5,72.3760695462452,15658.6640703212
"2060/2061",2061,123,123,100,765,1248.5,65.4953197287514,15985.8887833292
"2061/2062",2062,123,123,100,719,1179.5,64.1415546222133,17300.4971968653
"2062/2063",2063,123,123,100,896,1439.5,72.09357371641,14665.1012195218
"2063/2064",2064,123,123,100,656,1141,66.0953855103171,17525.3985530203
"2064/2065",2065,123,123,100,911,1507,75.7068158178681,13977.0064321933
"2065/2066",2066,123,123,100,802,1445,73.8902633762646,14355.2950935429
"2066/2067",2067,123,123,100,769,1256,65.2852762257353,16657.461099375
"2067/2068",2068,123,123,100,865,1373,72.2748935139098,14670.9292125218
"2068/2069",2069,123,123,100,1010,1651.5,80.9951512264879,12285.823518429
"2069/2070",2070,123,123,100,904,1502,77.0312375920939,14262.0750982966
"2070/2071",2071,123,123,100,748,1189.5,62.4262269251967,17496.5314564202
