"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,873,1391.5,70.8297112273787,14906.1571507975
"2000/2001",2001,123,123,100,894,1316.5,71.0910149514243,14631.8052869529
"2001/2002",2002,123,123,100,842,1457,73.6669943880572,14465.8949288497
"2002/2003",2003,123,123,100,813,1296.5,69.0742035771311,15663.0215882494
"2003/2004",2004,123,123,100,834,1372,70.8362586667939,15338.533463702
"2004/2005",2005,123,123,100,968,1461.5,73.4845487484882,14292.5873568268
"2005/2006",2006,123,123,100,918,1305,70.6102455692192,15009.1418931698
"2006/2007",2007,123,123,100,844,1414,74.5535613082275,15050.9615758484
"2007/2008",2008,123,123,100,1117,1619,77.7766628947663,12594.2443342065
"2008/2009",2009,123,123,100,871,1352,70.7892613397119,15175.189580534
"2009/2010",2010,123,123,100,803,1326,69.4954942278138,16196.1033782975
"2010/2011",2011,123,123,100,1053,1420,74.3665484643561,14124.3445385406
"2011/2012",2012,123,123,100,849,1258,70.1739471371361,15672.544233952
"2012/2013",2013,123,123,100,717,1223,68.835944939525,16569.3042088635
"2013/2014",2014,123,123,100,952,1400,74.1557259927201,14244.8598233017
"2014/2015",2015,123,123,100,941,1455,73.7278232300264,14098.0092317073
"2015/2016",2016,123,123,100,893,1505,80.3887755804799,13404.7201691791
"2016/2017",2017,123,123,100,1159,1645,79.7672520583485,11546.7639172499
"2017/2018",2018,123,123,100,991,1349.5,72.9904309124549,13782.5777019116
"2018/2019",2019,123,123,100,741,1257,72.4680736305268,16239.0818383193
"2019/2020",2020,123,123,100,977,1404,72.66825048686,14869.9175023718
"2020/2021",2021,123,123,100,930,1454,73.7381414364427,14676.881352721
"2021/2022",2022,123,123,100,1079,1525,75.4190520724519,13120.8096931446
"2022/2023",2023,123,123,100,1016,1466.5,76.2180660560985,13613.8935297152
"2023/2024",2024,123,123,100,841,1478,74.0970994693689,14737.083891511
"2024/2025",2025,123,123,100,1044,1543,76.2206256561522,13172.6586675076
"2025/2026",2026,123,123,100,913,1424,74.6839893261499,14094.8788761846
"2026/2027",2027,123,123,100,870,1548.5,78.0850513267815,13345.1009687227
"2027/2028",2028,123,123,100,1038,1609.5,75.7537735517531,12965.6672585299
"2028/2029",2029,123,123,100,792,1237,68.4013896222373,16353.4890289595
"2029/2030",2030,123,123,100,1054,1624.5,77.9516756369353,12580.24139767
