"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,434,139,32.5277841615214,26907.7255302517
"2000/2001",2001,123,123,100,371,1,29.1792677355903,28131.2581309872
"2001/2002",2002,123,123,100,322,-26,25.9417036037802,28542.8367445206
"2002/2003",2003,123,123,100,463,182,32.2105661462789,26424.1014874025
"2003/2004",2004,123,123,100,401,145.5,31.08692924611,26867.6606480548
"2004/2005",2005,123,123,100,356,-56,23.5775888679048,28656.6818035439
"2005/2006",2006,123,123,100,383,30.5,30.4522832237222,27961.2209912403
"2006/2007",2007,123,123,100,477,142.5,31.1294360368452,26575.7250586854
"2007/2008",2008,123,123,100,258,-303,20.3855204174523,30379.1453070241
"2008/2009",2009,123,123,100,436,74.5,29.4155758045013,27355.8727536364
"2009/2010",2010,123,123,100,449,329,33.7701162272357,25526.4928869086
"2010/2011",2011,123,123,100,252,-84,25.0784637357849,29410.8137719212
"2011/2012",2012,123,123,100,426,30.5,27.7730307962778,27491.9906218203
"2012/2013",2013,123,123,100,468,277.5,33.1616852259918,25587.2940784679
"2013/2014",2014,123,123,100,321,-78,23.8967524918418,29000.4686378022
"2014/2015",2015,123,123,100,307,-56.5,26.2375617235188,28771.3678461758
"2015/2016",2016,123,123,100,235,-179,18.9287057238587,30087.7875788615
"2016/2017",2017,123,123,100,196,-466.5,15.4592391003999,32192.3351491785
"2017/2018",2018,123,123,100,260,-177.5,23.4886007041739,29991.6901209236
"2018/2019",2019,123,123,100,478,93,32.347177174488,26550.6969615051
"2019/2020",2020,123,123,100,277,-53,21.7438736853004,28831.2963514677
"2020/2021",2021,123,123,100,404,91.5,28.0862765090419,27353.017492421
"2021/2022",2022,123,123,100,263,-227.5,22.143927416455,29871.2919007074
"2022/2023",2023,123,123,100,235,-184,24.3639261490858,30085.3954215371
"2023/2024",2024,123,123,100,386,32,28.8486792857083,28004.1747329752
"2024/2025",2025,123,123,100,376,-134,24.6728535386676,28525.1810160754
"2025/2026",2026,123,123,100,347,-40,22.7122417183177,28495.980364386
"2026/2027",2027,123,123,100,198,-282.5,17.3169153248565,31142.6694966075
"2027/2028",2028,123,123,100,284,-186.5,20.0654330901597,30087.2948852079
"2028/2029",2029,123,123,100,467,382.5,40.0486250159304,24755.3493551742
"2029/2030",2030,123,123,100,212,-355.5,15.8500109307176,31767.8078241316
"2030/2031",2031,123,123,100,402,180.5,36.2044341809124,26486.1197473495
"2031/2032",2032,123,123,100,228,-29.5,27.4171857399399,28583.5500729135
"2032/2033",2033,123,123,100,509,427.5,39.0006950103189,24414.0142243626
"2033/2034",2034,123,123,100,366,-40.5,27.6103938976885,28483.8368120263
"2034/2035",2035,123,123,100,216,-243,17.5128470623958,31011.008329147
"2035/2036",2036,123,123,100,340,100.5,30.6076194899533,27334.9933670191
"2036/2037",2037,123,123,100,385,-87,26.1134703268549,28727.2523936336
"2037/2038",2038,123,123,100,445,173.5,33.473821806595,26302.0340621113
"2038/2039",2039,123,123,100,218,-246,16.4619913866427,30530.2391289389
"2039/2040",2040,123,123,100,305,-119.5,21.770605151373,29581.6876528459
"2040/2041",2041,123,123,100,345,-32.5,26.3108053788171,29139.8543561418
"2041/2042",2042,123,123,100,305,29,22.8194958490196,28245.8380092978
"2042/2043",2043,123,123,100,271,-27.5,22.2761919164034,29078.9931514999
"2043/2044",2044,123,123,100,378,19,31.3006070004985,28430.9691891223
"2044/2045",2045,123,123,100,209,-200.5,18.8172231044421,30469.9949415978
