"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,105,43.5,26.9941562585343,28470.480362062
"2000/2001",2001,123,123,100,82,105,31.0196501260179,27760.1974540532
"2001/2002",2002,123,123,100,64,13,26.8624305063658,28644.7996892725
"2002/2003",2003,123,123,100,81,-27.5,25.826832014662,28864.4472350292
"2003/2004",2004,123,123,100,62,7,27.1402723568193,28480.7883736855
"2004/2005",2005,123,123,100,50,67.5,30.1770423318927,28211.1907177466
"2005/2006",2006,123,123,100,95,112,28.7227079110328,27649.7873433327
"2006/2007",2007,123,123,100,94,36,22.9449876149851,28328.7807794462
"2007/2008",2008,123,123,100,26,80,28.1416386689114,27758.0807252371
"2008/2009",2009,123,123,100,70,-37,32.2003720132299,28855.8440770085
"2009/2010",2010,123,123,100,39,-69,24.0587116835624,29318.3334911801
"2010/2011",2011,123,123,100,68,140.5,32.2451144800404,27475.3157463768
"2011/2012",2012,123,123,100,73,-7,26.1161145233758,28716.9819158099
"2012/2013",2013,123,123,100,73,-85.5,22.9144747133061,29411.7314610952
"2013/2014",2014,123,123,100,86,55.5,30.0895489916841,28035.4427061365
"2014/2015",2015,123,123,100,36,-33.5,23.9922261201623,29000.0038231122
"2015/2016",2016,123,123,100,100,28.5,25.8920390201331,28441.1757269853
"2016/2017",2017,123,123,100,81,225.5,37.2288879401893,26873.290222256
"2017/2018",2018,123,123,100,96,223,37.138237096039,26680.8634847412
"2018/2019",2019,123,123,100,58,-90,23.1005336396801,29612.3460987974
"2019/2020",2020,123,123,100,38,-54,30.1643836463112,29163.0152095784
"2020/2021",2021,123,123,100,43,40,30.1710614080544,28242.6179833454
"2021/2022",2022,123,123,100,67,110,31.1572808859326,27775.3800788727
"2022/2023",2023,123,123,100,77,230,39.2308990932862,26520.1819141558
"2023/2024",2024,123,123,100,26,-159,24.2064778025982,30096.985482181
"2024/2025",2025,123,123,100,57,167.5,36.917926054462,27077.4205529881
"2025/2026",2026,123,123,100,128,56,29.3886327323685,28156.5615776614
"2026/2027",2027,123,123,100,63,-14.5,25.9223417548824,28729.3035164783
"2027/2028",2028,123,123,100,31,121,33.9152900751992,27730.5868016453
"2028/2029",2029,123,123,100,48,-16.5,24.9379597973344,28803.4415732133
"2029/2030",2030,123,123,100,54,84,30.1695546775152,27877.5363266692
"2030/2031",2031,123,123,100,47,8,29.0964447859665,28645.5811593831
"2031/2032",2032,123,123,100,71,140.5,30.0542573804469,27450.80228598
"2032/2033",2033,123,123,100,57,-128,23.1820086051125,29884.3589415797
"2033/2034",2034,123,123,100,45,-9,28.1554314698899,28704.1971722012
"2034/2035",2035,123,123,100,109,207.5,30.9778893296557,26755.0875658067
"2035/2036",2036,123,123,100,114,172.5,35.8581983768893,26970.3466544347
"2036/2037",2037,123,123,100,46,46,27.1997782377291,28081.0651948415
"2037/2038",2038,123,123,100,32,-163.5,24.1400225317252,29965.2574278172
"2038/2039",2039,123,123,100,37,63,30.2342956838197,28155.7953013955
"2039/2040",2040,123,123,100,77,22.5,28.9485516023983,28411.3628212791
"2040/2041",2041,123,123,100,29,66,30.2392991179115,27954.9632210787
"2041/2042",2042,123,123,100,53,-49.5,23.9162111660034,28996.9501317348
"2042/2043",2043,123,123,100,40,84.5,29.2171557100273,27863.1695521241
"2043/2044",2044,123,123,100,89,112.5,30.9344126916694,27698.9161740746
"2044/2045",2045,123,123,100,82,207,38.204170538414,26750.4805967808
"2045/2046",2046,123,123,100,86,322,36.8402471535915,25828.5630544107
"2046/2047",2047,123,123,100,39,119,28.1202236376578,27531.7483697664
"2047/2048",2048,123,123,100,79,38,31.9636456611211,28442.521925603
"2048/2049",2049,123,123,100,63,1.5,26.7012609528856,28770.2540170839
"2049/2050",2050,123,123,100,69,-24.5,25.8512413349183,28531.248665709
"2050/2051",2051,123,123,100,53,12,29.0874900495105,28633.0880017346
"2051/2052",2052,123,123,100,38,-114,22.1000076906666,29629.2820057506
"2052/2053",2053,123,123,100,57,-96.5,26.151498917184,29712.0219848473
"2053/2054",2054,123,123,100,25,59.5,32.2608733460893,28276.8295161296
"2054/2055",2055,123,123,100,38,-78,27.1429213923102,29370.4804587476
"2055/2056",2056,123,123,100,53,-174.5,20.8234232647894,30130.0586684039
"2056/2057",2057,123,123,100,61,28.5,24.0097957275905,28508.6850965526
"2057/2058",2058,123,123,100,66,-233,25.2066774773509,30895.97587083
"2058/2059",2059,123,123,100,53,6,22.0217743035694,28535.8183333976
"2059/2060",2060,123,123,100,49,-81.5,22.9946139284095,29370.2124808459
"2060/2061",2061,123,123,100,99,50,27.1005618723311,28093.4358813148
"2061/2062",2062,123,123,100,79,-31,22.1215165653784,28944.0269255908
"2062/2063",2063,123,123,100,75,39,26.1084802987953,28311.2300680922
"2063/2064",2064,123,123,100,50,-148,20.0998570285665,29818.8190312413
"2064/2065",2065,123,123,100,55,82.5,26.1776976944429,27934.0201188717
"2065/2066",2066,123,123,100,62,-9.5,28.115056961552,28754.1428241851
"2066/2067",2067,123,123,100,54,-86.5,24.033669099761,29409.277582081
"2067/2068",2068,123,123,100,48,104,29.2010164101853,27549.4477536064
"2068/2069",2069,123,123,100,32,155,32.1929833185031,27224.5864129504
