"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1070,1637.5,78.49650155144,12370.0390861846
"2000/2001",2001,123,123,100,1075,1517.5,78.5151754932246,12247.6064654505
"2001/2002",2002,123,123,100,999,1705.5,81.4523215639455,11861.4646955907
"2002/2003",2003,123,123,100,966,1543.5,77.3548315823023,13069.8446119975
"2003/2004",2004,123,123,100,1019,1610,79.3683009070681,12754.8011197884
"2004/2005",2005,123,123,100,1154,1703,80.752946233803,11777.0622141488
"2005/2006",2006,123,123,100,1096,1548,79.2556729456924,12535.0884865804
"2006/2007",2007,123,123,100,1027,1677,80.446817764775,12523.2143918399
"2007/2008",2008,123,123,100,1343,1810.5,83.1571532723823,10361.7398319542
"2008/2009",2009,123,123,100,1009,1556.5,78.1743352407601,12660.6640911641
"2009/2010",2010,123,123,100,988,1554.5,78.1594895254593,13642.7541652892
"2010/2011",2011,123,123,100,1244,1649,79.048146293617,11615.6189953933
"2011/2012",2012,123,123,100,1040,1530,74.815188854114,12949.5205259776
"2012/2013",2013,123,123,100,869,1475,77.9198360623336,13890.061089765
"2013/2014",2014,123,123,100,1103,1621,81.4703865754109,11811.4025073985
"2014/2015",2015,123,123,100,1082,1702.5,83.078232237202,11685.7668452652
"2015/2016",2016,123,123,100,1108,1733,86.8719564653861,11016.9992423807
"2016/2017",2017,123,123,100,1343,1848,87.1880631902809,9409.002405165
"2017/2018",2018,123,123,100,1136,1565,80.3107675203964,11434.5993862464
"2018/2019",2019,123,123,100,934,1573.5,78.6055929612726,13311.0733486193
"2019/2020",2020,123,123,100,1118,1625,77.6686909271389,12564.4551904008
"2020/2021",2021,123,123,100,1120,1627.5,78.584896671236,12306.6140277777
"2021/2022",2022,123,123,100,1236,1742,79.6382423494288,10754.6195493699
"2022/2023",2023,123,123,100,1247,1717.5,82.650183824851,11042.8057569473
