"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,863,1400.5,72.5726021997378,14857.7216982438
"2000/2001",2001,123,123,100,900,1350.5,72.0966489350349,14688.183186276
"2001/2002",2002,123,123,100,829,1495.5,76.4057140674611,14402.2838611637
"2002/2003",2003,123,123,100,791,1334,71.9993394827532,15668.5000613402
"2003/2004",2004,123,123,100,823,1401,72.1184785966369,15316.8052871301
"2004/2005",2005,123,123,100,976,1512,75.5086051896482,14214.2197181081
"2005/2006",2006,123,123,100,927,1391.5,73.3892596862222,14806.0094616824
"2006/2007",2007,123,123,100,784,1456,74.6327939867239,14994.2757504027
"2007/2008",2008,123,123,100,1092,1637.5,78.5378739295551,12532.8601041273
"2008/2009",2009,123,123,100,838,1380.5,75.5546604419319,15185.4633571389
"2009/2010",2010,123,123,100,817,1314.5,70.4371225846248,16264.3385258539
"2010/2011",2011,123,123,100,1048,1486.5,75.461148092031,13956.6723606966
"2011/2012",2012,123,123,100,832,1317,71.7663071380243,15428.1069433627
"2012/2013",2013,123,123,100,700,1231,71.1769673724546,16663.5272844031
"2013/2014",2014,123,123,100,966,1425,73.4292320648692,14273.804829861
"2014/2015",2015,123,123,100,869,1471.5,76.1720355391517,14256.964574333
"2015/2016",2016,123,123,100,891,1527.5,77.8892660738088,13495.2859467112
"2016/2017",2017,123,123,100,1131,1695.5,80.3865477600518,11657.2066890299
"2017/2018",2018,123,123,100,1006,1405,73.4628211759568,13776.9435322741
"2018/2019",2019,123,123,100,728,1339.5,71.8389665539694,15895.411067582
"2019/2020",2020,123,123,100,901,1400.5,72.0767091622131,15119.0673698469
"2020/2021",2021,123,123,100,929,1442,73.8972431124396,14734.0448325982
"2021/2022",2022,123,123,100,1039,1570.5,76.2687467344344,13030.5497380891
"2022/2023",2023,123,123,100,1040,1561.5,76.5707706172716,13282.8017545524
"2023/2024",2024,123,123,100,824,1489,74.3826575567196,14804.5600729587
"2024/2025",2025,123,123,100,1041,1621,76.9649359861,12951.379392989
"2025/2026",2026,123,123,100,881,1437.5,75.4951783084016,14186.1819351818
"2026/2027",2027,123,123,100,838,1556.5,77.8845548359623,13543.951970648
"2027/2028",2028,123,123,100,1002,1660.5,77.4573985101651,12852.277166686
