"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,95,-71,22.9275859320144,29241.538511717
"2000/2001",2001,123,123,100,98,-168,22.4668976600981,30116.3868497392
"2001/2002",2002,123,123,100,123,-63,23.8365199482643,29189.0330231951
"2002/2003",2003,123,123,100,93,-18.5,24.8289462207361,28741.0480052361
"2003/2004",2004,123,123,100,87,-54.5,25.7405671046943,29181.9197177171
"2004/2005",2005,123,123,100,66,-91,20.6811446478354,29401.2560934074
"2005/2006",2006,123,123,100,103,-122.5,22.8226950502737,29957.0551944044
"2006/2007",2007,123,123,100,111,-27,23.8020295914899,28886.2876252149
"2007/2008",2008,123,123,100,95,-197.5,20.1270919920617,30318.8533940931
"2008/2009",2009,123,123,100,144,-51,20.0832890418234,28947.0636519066
"2009/2010",2010,123,123,100,83,71,25.1099232420853,27944.3212202222
"2010/2011",2011,123,123,100,68,-182,17.0059390676655,30322.9775314427
"2011/2012",2012,123,123,100,112,-48,26.0817328300834,29090.7525639792
"2012/2013",2013,123,123,100,104,91,29.7593542820699,27970.2784425623
"2013/2014",2014,123,123,100,101,-128.5,21.0181152294099,29771.6278045429
"2014/2015",2015,123,123,100,132,-46.5,24.4729453261932,28858.6834954303
"2015/2016",2016,123,123,100,94,-132,18.9393153298481,29752.5432578546
"2016/2017",2017,123,123,100,103,-336.5,14.4559243818696,31537.1326452412
"2017/2018",2018,123,123,100,65,-303,18.0300554920838,31213.9339719918
"2018/2019",2019,123,123,100,163,66,27.7358056292419,28040.6655633054
"2019/2020",2020,123,123,100,115,-2,24.4872370012373,28662.82146039
"2020/2021",2021,123,123,100,58,-67,24.1293112891899,29171.6379943448
"2021/2022",2022,123,123,100,79,-193.5,18.8094794627941,30399.791467024
"2022/2023",2023,123,123,100,69,-319,14.4223247086559,31454.0022409097
"2023/2024",2024,123,123,100,160,95,26.9955857464034,27978.3821604857
"2024/2025",2025,123,123,100,85,-191.5,18.7957617834614,30132.7290851292
"2025/2026",2026,123,123,100,88,-129.5,21.3944628411498,29737.4024711861
"2026/2027",2027,123,123,100,90,-95.5,19.8067143062708,29510.260343336
"2027/2028",2028,123,123,100,104,-168.5,20.75512043323,30065.0450793291
"2028/2029",2029,123,123,100,74,46,26.5755901312486,28146.1410229206
"2029/2030",2030,123,123,100,128,-187,19.5584843847987,30354.9090049407
"2030/2031",2031,123,123,100,86,-29,23.5999559035813,28814.5226337085
"2031/2032",2032,123,123,100,90,-187.5,16.8011548804453,30266.3838574719
"2032/2033",2033,123,123,100,110,134,29.7541766688065,27362.5627435711
"2033/2034",2034,123,123,100,112,-49.5,25.9301874883622,29092.1802859479
"2034/2035",2035,123,123,100,63,-323.5,11.0539303478007,31364.3918071873
"2035/2036",2036,123,123,100,27,-225.5,21.0990535705326,30603.9499475872
"2036/2037",2037,123,123,100,80,-126,20.0534677973609,29800.3465269897
"2037/2038",2038,123,123,100,129,113,30.7199340243602,27506.0778718879
"2038/2039",2039,123,123,100,76,-145.5,14.9573537667721,29909.9391048551
"2039/2040",2040,123,123,100,113,-124.5,22.4696679428057,29653.497991411
"2040/2041",2041,123,123,100,75,-124,18.5299736894311,29615.424339856
"2041/2042",2042,123,123,100,105,-14,22.6250337410568,28763.7291502263
"2042/2043",2043,123,123,100,82,-134.5,19.7193997808477,29853.9425793327
"2043/2044",2044,123,123,100,64,-151.5,20.9341313701273,30156.1446468532
"2044/2045",2045,123,123,100,49,-272.5,14.0001879431352,30929.6834860537
