"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,75,-188,18.6466171074043,30422.2281199497
"2000/2001",2001,123,123,100,70,-296.5,17.9351345183971,31369.6788296739
"2001/2002",2002,123,123,100,93,-190.5,18.8703353225806,30407.0131391536
"2002/2003",2003,123,123,100,69,-156,22.9984266134953,29957.6600455391
"2003/2004",2004,123,123,100,62,-190,20.8363396868092,30403.5318471341
"2004/2005",2005,123,123,100,51,-225,18.4649547852231,30633.7702247115
"2005/2006",2006,123,123,100,76,-247,20.0460306441322,31187.9627585304
"2006/2007",2007,123,123,100,96,-162,22.0943471756002,30095.4251256376
"2007/2008",2008,123,123,100,84,-325.5,17.1762400891631,31515.2578567468
"2008/2009",2009,123,123,100,116,-174.5,18.2518344783551,30123.147897748
"2009/2010",2010,123,123,100,51,-59.5,21.4865924517615,29195.9635030872
"2010/2011",2011,123,123,100,43,-316,14.0343420068067,31601.5601254879
"2011/2012",2012,123,123,100,90,-179,21.0580217691182,30314.5311097126
"2012/2013",2013,123,123,100,83,-62.5,25.1477233855819,29217.2890160591
"2013/2014",2014,123,123,100,68,-256,18.9885832232984,30971.0589079733
"2014/2015",2015,123,123,100,101,-174,19.5286643992231,30032.5031068276
"2015/2016",2016,123,123,100,68,-264.5,16.0420197479052,30960.2493722539
"2016/2017",2017,123,123,100,73,-462,12.5568925485866,32705.0939443379
"2017/2018",2018,123,123,100,46,-430,16.0406078548949,32429.1661088225
"2018/2019",2019,123,123,100,136,-61,22.9428487579129,29252.5337447678
"2019/2020",2020,123,123,100,90,-135.5,19.9469185461365,29892.3858495881
"2020/2021",2021,123,123,100,41,-215.5,21.1104534259839,30371.8000969049
"2021/2022",2022,123,123,100,62,-322,14.9165367506541,31592.2056976887
"2022/2023",2023,123,123,100,63,-446,13.5000349116803,32727.4945209813
"2023/2024",2024,123,123,100,111,-24,20.9392901442643,29144.0507598687
"2024/2025",2025,123,123,100,59,-313,16.8464300307351,31285.4940375341
"2025/2026",2026,123,123,100,66,-264,16.4652272846004,30920.8988229921
"2026/2027",2027,123,123,100,65,-238,12.904789442736,30718.1357890158
"2027/2028",2028,123,123,100,86,-297,17.6331555125328,31273.0846380624
"2028/2029",2029,123,123,100,59,-95.5,18.6900461343159,29378.8741830806
"2029/2030",2030,123,123,100,96,-308.5,16.8638722354261,31562.2237002542
"2030/2031",2031,123,123,100,54,-155.5,22.8065002990649,30021.1225384222
"2031/2032",2032,123,123,100,81,-321,13.5676515333618,31521.4459240902
"2032/2033",2033,123,123,100,80,4.5,23.8886721644695,28589.9650515751
"2033/2034",2034,123,123,100,90,-165,18.006873653366,30313.4326453367
"2034/2035",2035,123,123,100,43,-439,10.0592342873933,32628.9111889629
"2035/2036",2036,123,123,100,18,-374.5,17.1239973463057,31856.2528087869
"2036/2037",2037,123,123,100,64,-255,19.0700667685797,30957.0927007953
"2037/2038",2038,123,123,100,102,-23.5,22.816869466531,28747.5460182969
"2038/2039",2039,123,123,100,51,-273.5,11.9650687611598,31116.9274501782
"2039/2040",2040,123,123,100,81,-248.5,21.6234091314541,30850.4375895141
"2040/2041",2041,123,123,100,57,-260.5,16.716640337725,30858.181801999
"2041/2042",2042,123,123,100,69,-150,17.6423502007347,30007.9772369247
"2042/2043",2043,123,123,100,64,-275,15.5644479130535,31101.0681906575
"2043/2044",2044,123,123,100,47,-278,17.0019384656592,31389.7957093855
"2044/2045",2045,123,123,100,28,-402.5,12.0412145830627,32186.2311504502
"2045/2046",2046,123,123,100,20,-519.5,12.0863256972315,33426.8342541615
"2046/2047",2047,123,123,100,75,-337.5,11.5741257043837,31684.9811625117
"2047/2048",2048,123,123,100,105,-230.5,19.1562760842999,30832.9138866393
"2048/2049",2049,123,123,100,55,-138.5,22.1750424938419,29838.5333239222
"2049/2050",2050,123,123,100,127,-170.5,24.5675660862998,30045.2826040201
"2050/2051",2051,123,123,100,71,-126.5,22.7362236108265,29839.7655968796
"2051/2052",2052,123,123,100,67,-31,26.9523261461347,28855.6224143766
"2052/2053",2053,123,123,100,116,-53.5,22.0583594647665,29107.5253806943
"2053/2054",2054,123,123,100,52,-175,22.0564629597793,29974.6458569672
"2054/2055",2055,123,123,100,96,-112.5,22.0389851080881,29641.4848500639
"2055/2056",2056,123,123,100,130,-20.5,25.6609081424913,28748.2121571871
"2056/2057",2057,123,123,100,38,-97,24.1563766698546,29559.8134932453
"2057/2058",2058,123,123,100,156,4.5,25.4010673298335,28517.015100359
"2058/2059",2059,123,123,100,61,-206.5,15.9389608333129,30500.3093714379
"2059/2060",2060,123,123,100,121,-140,20.6351205592398,29895.9757111948
"2060/2061",2061,123,123,100,87,-254.5,18.2113423440796,30934.5804843055
"2061/2062",2062,123,123,100,73,-111,22.6966999631413,29692.9430989996
"2062/2063",2063,123,123,100,66,-211.5,17.0531399633833,30669.2072862983
"2063/2064",2064,123,123,100,94,-19,28.0895021915933,28882.3716413612
"2064/2065",2065,123,123,100,61,-282,16.0376188925202,31217.2480629189
"2065/2066",2066,123,123,100,81,-189,20.814376240518,30374.3193795718
"2066/2067",2067,123,123,100,93,-102,20.2028356717101,29503.0986762512
"2067/2068",2068,123,123,100,52,-283.5,17.6694914443069,31400.7466672231
"2068/2069",2069,123,123,100,91,-389.5,13.8166844645048,32123.6224010829
"2069/2070",2070,123,123,100,44,-296.5,16.0457328201262,31245.8039391851
"2070/2071",2071,123,123,100,63,24,24.0915495656427,28571.8217462078
"2071/2072",2072,123,123,100,92,-92.5,22.8439436757419,29319.5147767384
"2072/2073",2073,123,123,100,148,3,28.8920053885247,28511.1936591826
"2073/2074",2074,123,123,100,93,169.5,29.1865662572654,27082.8404986002
"2074/2075",2075,123,123,100,81,-66.5,22.9284714888342,29182.355179185
"2075/2076",2076,123,123,100,53,-223.5,19.9790219735723,30574.7611611802
"2076/2077",2077,123,123,100,50,-299,21.1032747481884,31358.2485859059
"2077/2078",2078,123,123,100,79,-83,25.9168368602475,29404.4233119301
"2078/2079",2079,123,123,100,51,-134.5,23.0390277642421,29940.6109646801
"2079/2080",2080,123,123,100,110,-227,20.8954183636163,30435.3418570329
"2080/2081",2081,123,123,100,115,47,28.891947185077,28304.4988099393
"2081/2082",2082,123,123,100,142,-14,26.6740694195898,28717.347045524
"2082/2083",2083,123,123,100,47,-217.5,21.0750654439453,30540.0752010178
