"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,746,1372,68.1722003620669,15683.8423375472
"2000/2001",2001,123,123,100,647,1231.5,72.4448738452346,16729.6897678535
"2001/2002",2002,123,123,100,685,1316,70.8671321635813,15980.620994806
"2002/2003",2003,123,123,100,826,1415,70.5144721168685,15223.7879182654
"2003/2004",2004,123,123,100,774,1419.5,72.4928103116425,15456.3323898553
"2004/2005",2005,123,123,100,755,1333,68.2226050320114,16247.9385933054
"2005/2006",2006,123,123,100,710,1276,68.5834826702635,16384.1427656931
"2006/2007",2007,123,123,100,840,1372,71.9240634992432,15479.9629301416
"2007/2008",2008,123,123,100,650,1114.5,65.6313998071012,17983.2915238062
"2008/2009",2009,123,123,100,746,1254,68.3966523945445,16192.8326406825
"2009/2010",2010,123,123,100,914,1592.5,77.1049287216127,13768.6374718577
"2010/2011",2011,123,123,100,535,1262.5,68.1207895226192,16802.2968662925
"2011/2012",2012,123,123,100,713,1333.5,71.2752434427452,15821.6994237904
"2012/2013",2013,123,123,100,844,1489,75.0107189804248,14230.7464992942
"2013/2014",2014,123,123,100,699,1272,69.5822103902403,16625.5947666478
"2014/2015",2015,123,123,100,759,1304,70.7475787433032,16087.9024502002
"2015/2016",2016,123,123,100,672,1267,67.4180177705866,16711.4690759475
"2016/2017",2017,123,123,100,569,980,62.1101485755985,19242.6539040315
"2017/2018",2018,123,123,100,600,1182.5,63.732550982535,17607.4336942157
"2018/2019",2019,123,123,100,831,1304,72.9631609635983,15348.0179869428
"2019/2020",2020,123,123,100,749,1407.5,75.3364253156556,15459.9073897544
"2020/2021",2021,123,123,100,794,1396,74.0257287130621,15583.0996725846
"2021/2022",2022,123,123,100,609,1176,64.997600151326,17438.2780984323
"2022/2023",2023,123,123,100,554,1096.5,62.366655980547,18117.2110752377
"2023/2024",2024,123,123,100,892,1368,69.1716412083438,15325.1268277476
"2024/2025",2025,123,123,100,686,1181.5,66.8471346385477,17438.8003591625
"2025/2026",2026,123,123,100,769,1253.5,68.0926474065477,16593.0555300107
"2026/2027",2027,123,123,100,720,1270,71.3062898456569,16728.729785806
"2027/2028",2028,123,123,100,686,1165.5,66.6996706907435,17513.7055446566
"2028/2029",2029,123,123,100,793,1544,78.6984064913004,14043.600268024
"2029/2030",2030,123,123,100,623,1079,62.4758306374356,18150.3116917927
"2030/2031",2031,123,123,100,716,1445,76.4234603865834,15045.3578567686
"2031/2032",2032,123,123,100,489,1271.5,70.9945601925774,16631.5282015004
"2032/2033",2033,123,123,100,848,1620.5,80.2489161241715,13301.9402885553
"2033/2034",2034,123,123,100,728,1312,68.0706371119377,16155.7642070134
"2034/2035",2035,123,123,100,593,1112,62.0867221807916,18296.8613794409
"2035/2036",2036,123,123,100,605,1362.5,72.6517369918092,16236.6465585488
"2036/2037",2037,123,123,100,774,1244,65.5762136568183,16886.0423892029
"2037/2038",2038,123,123,100,836,1460.5,73.305490420938,14425.5893063513
"2038/2039",2039,123,123,100,678,1247,67.1916958749794,17156.6218873896
"2039/2040",2040,123,123,100,716,1257,66.4839552502322,16681.738790093
"2040/2041",2041,123,123,100,768,1291.5,67.7803917284991,16463.1282834527
"2041/2042",2042,123,123,100,746,1431.5,75.6057325394527,15320.3608673876
"2042/2043",2043,123,123,100,706,1264,66.2098906423953,16659.8079361292
"2043/2044",2044,123,123,100,708,1286,67.4893631742989,16474.7882572878
"2044/2045",2045,123,123,100,526,1204,67.5794641571542,17553.122728304
"2045/2046",2046,123,123,100,455,1083,62.1814277598,18762.2442100141
"2046/2047",2047,123,123,100,621,1154,64.9847798475662,17623.7197176106
"2047/2048",2048,123,123,100,661,1275,72.0354350608777,16477.5424313056
"2048/2049",2049,123,123,100,895,1422,69.3529731501585,15156.7086326992
"2049/2050",2050,123,123,100,755,1208.5,66.0033231425678,16146.588599192
"2050/2051",2051,123,123,100,822,1424,72.4566362004844,15223.4617075864
