"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1195,1673,78.6110693482223,11687.4942794908
"2000/2001",2001,123,123,100,1130,1642,78.0136710024667,12195.2917061353
"2001/2002",2002,123,123,100,1337,1787.5,83.3484013357502,10367.5507693226
"2002/2003",2003,123,123,100,1211,1772,81.5283524993773,11331.5339903571
"2003/2004",2004,123,123,100,1146,1661,78.4887347477215,11907.3868400487
"2004/2005",2005,123,123,100,1201,1651.5,80.9517450115841,11135.6348153054
"2005/2006",2006,123,123,100,1141,1536,77.4443957751707,12755.965233491
"2006/2007",2007,123,123,100,1138,1441,72.330773766544,13395.4485325993
"2007/2008",2008,123,123,100,1302,1654.5,80.7830668513923,10199.966897433
"2008/2009",2009,123,123,100,1336,1849.5,85.3848644882189,10334.4935585789
"2009/2010",2010,123,123,100,1141,1793,82.2385122465428,11263.855015008
"2010/2011",2011,123,123,100,1102,1554,78.3322812614174,12332.7788866023
"2011/2012",2012,123,123,100,1306,1818,85.3913606110004,10601.1520361714
"2012/2013",2013,123,123,100,1163,1694,82.5503330399456,11472.8094427671
"2013/2014",2014,123,123,100,1207,1696,81.7011035335611,11452.336797307
"2014/2015",2015,123,123,100,1375,1770,81.9803321055356,9870.85454632319
"2015/2016",2016,123,123,100,1328,1789.5,83.5538686967097,10039.9160749945
"2016/2017",2017,123,123,100,1275,1595.5,77.9387372810143,10990.0075768637
"2017/2018",2018,123,123,100,1119,1530,74.3041013465172,13212.0971761104
"2018/2019",2019,123,123,100,1248,1710,80.8854654625093,10729.6640830138
"2019/2020",2020,123,123,100,1284,1753,83.6369368924611,10077.542766945
"2020/2021",2021,123,123,100,1189,1784,84.2766567252434,10753.6856894123
"2021/2022",2022,123,123,100,1300,1708,80.6230863040983,10638.4055322057
"2022/2023",2023,123,123,100,1061,1505,75.001250555109,13663.9240905787
"2023/2024",2024,123,123,100,1383,1812.5,83.7230189026104,8655.34378134692
"2024/2025",2025,123,123,100,1128,1552,79.2135346484915,12264.9332174037
"2025/2026",2026,123,123,100,1165,1627.5,77.175603692333,12193.1900134895
"2026/2027",2027,123,123,100,1457,1896,83.9491301385428,9325.86066315998
"2027/2028",2028,123,123,100,1191,1541,77.3270688957837,11167.831556197
"2028/2029",2029,123,123,100,1044,1625,78.6448766831263,12232.6561428336
"2029/2030",2030,123,123,100,1367,1648,81.7990172527284,10307.4667376401
"2030/2031",2031,123,123,100,1098,1764,83.8134232614375,11261.8003270929
"2031/2032",2032,123,123,100,1069,1416,73.1842367511672,13377.5602013008
"2032/2033",2033,123,123,100,1210,1853,85.0603372699597,10368.5165866115
"2033/2034",2034,123,123,100,1297,1738,82.6237041779805,10287.3408898781
"2034/2035",2035,123,123,100,1194,1513,73.6475403159438,12592.6732911789
"2035/2036",2036,123,123,100,896,1477,73.68582687667,14234.1034949771
"2036/2037",2037,123,123,100,1301,1726,80.9292171795114,10518.0404420728
"2037/2038",2038,123,123,100,1254,1819.5,84.993881189861,9623.792785489
"2038/2039",2039,123,123,100,1390,1787.5,82.6687045925955,9616.8347659735
"2039/2040",2040,123,123,100,1270,1721,83.6889552170551,10619.4049962079
"2040/2041",2041,123,123,100,1158,1687,80.7370953601485,11290.917389222
"2041/2042",2042,123,123,100,1274,1735.5,80.0537364749971,10530.0275492659
"2042/2043",2043,123,123,100,1251,1627.5,82.3551520900937,11461.8769196635
"2043/2044",2044,123,123,100,1188,1652,79.1382326622816,12191.7345782905
"2044/2045",2045,123,123,100,1171,1606.5,80.057199976397,12107.572877307
"2045/2046",2046,123,123,100,1010,1456,73.4786576495935,13650.7343298323
"2046/2047",2047,123,123,100,1218,1600,78.8402277589976,11032.93596661
"2047/2048",2048,123,123,100,1276,1668,80.4523186195938,11119.0097419419
"2048/2049",2049,123,123,100,1153,1876,84.5595030639388,10842.7219781615
"2049/2050",2050,123,123,100,1126,1610,77.6760933921805,12116.600112258
"2050/2051",2051,123,123,100,1088,1702,82.2930343907465,11206.5500641158
"2051/2052",2052,123,123,100,1163,1825.5,84.1781358186781,10617.3536171461
"2052/2053",2053,123,123,100,1334,1761,80.822772833877,10401.3541067229
"2053/2054",2054,123,123,100,1097,1685,81.8983188176935,11381.888851868
"2054/2055",2055,123,123,100,1285,1816,83.0363112402083,9833.61701340973
"2055/2056",2056,123,123,100,1292,1813,82.5608419384926,10457.8901678799
"2056/2057",2057,123,123,100,972,1561,75.9485334982437,13047.4951288542
"2057/2058",2058,123,123,100,1542,1893.5,83.5209515376646,8429.26625531912
"2058/2059",2059,123,123,100,1261,1744,83.1713868855486,10455.2675687913
"2059/2060",2060,123,123,100,1337,1833.5,82.0861095312184,9844.05562650319
"2060/2061",2061,123,123,100,1188,1625.5,77.6920016548502,12483.2762402901
"2061/2062",2062,123,123,100,1021,1549.5,76.9129666069502,12798.0349530689
"2062/2063",2063,123,123,100,1131,1583.5,79.0176276577167,11292.9363471149
"2063/2064",2064,123,123,100,1210,1890,85.7545954423731,10100.4915058939
"2064/2065",2065,123,123,100,1345,1722,80.4889703547333,10711.3331544288
"2065/2066",2066,123,123,100,1324,1747.5,82.9331931277338,10119.7599350298
"2066/2067",2067,123,123,100,1224,1752.5,81.5059451629131,10643.0909715407
"2067/2068",2068,123,123,100,1225,1615.5,78.3735071376486,11674.7124266699
"2068/2069",2069,123,123,100,1489,1714.5,80.4287270094283,10087.0474030096
"2069/2070",2070,123,123,100,1216,1779.5,83.4710338630503,10954.1308475416
"2070/2071",2071,123,123,100,1224,1833.5,83.1187692161675,10328.620395462
"2071/2072",2072,123,123,100,1288,1772,81.8895356778794,10257.9729616921
"2072/2073",2073,123,123,100,1459,1965,86.2381362083743,8523.04413103592
"2073/2074",2074,123,123,100,1254,1878,84.5623609679333,9981.50213435758
"2074/2075",2075,123,123,100,1097,1597,76.7942152085034,12969.0421793861
"2075/2076",2076,123,123,100,1261,1805.5,82.8950602614423,10813.9649046045
"2076/2077",2077,123,123,100,1134,1657.5,80.4156605569806,11405.0088694114
"2077/2078",2078,123,123,100,1191,1835.5,86.0851601148024,10693.2554114927
"2078/2079",2079,123,123,100,1198,1696.5,80.009780893497,10844.1809149617
"2079/2080",2080,123,123,100,1267,1617.5,78.7474163743736,10624.6068007937
"2080/2081",2081,123,123,100,1284,1842,84.6708275326528,9877.36197470408
"2081/2082",2082,123,123,100,1262,1765,82.4356686060673,10580.2970450101
"2082/2083",2083,123,123,100,1028,1480.5,75.311688022508,12896.541402773
"2083/2084",2084,123,123,100,1273,1753.5,82.3313005107066,10271.1602085605
"2084/2085",2085,123,123,100,1204,1550,77.8306311556389,11365.7781905644
"2085/2086",2086,123,123,100,1194,1578,78.2503853635462,12101.7584032454
"2086/2087",2087,123,123,100,1416,1859,86.2514237891937,7990.04789563082
"2087/2088",2088,123,123,100,1152,1648,74.9919734223804,12516.5790764121
"2088/2089",2089,123,123,100,1034,1649,80.0746356482141,12250.5166657604
"2089/2090",2090,123,123,100,1174,1769.5,80.161293154375,11000.0241810167
"2090/2091",2091,123,123,100,892,1543.5,76.0795009703997,13540.9638003176
"2091/2092",2092,123,123,100,1234,1633,79.6764115206606,11576.2870220663
"2092/2093",2093,123,123,100,1023,1437,74.454539434455,13861.0174483284
"2093/2094",2094,123,123,100,1072,1587.5,78.9127789864269,12764.2135129292
"2094/2095",2095,123,123,100,1294,1787.5,82.5472033804326,10074.7455002135
"2095/2096",2096,123,123,100,1085,1862.5,86.8839639931721,10564.5626774626
"2096/2097",2097,123,123,100,1211,1716,83.0471612782258,11153.3253485374
"2097/2098",2098,123,123,100,1139,1658.5,77.9022101453684,12613.7940953095
"2098/2099",2099,123,123,100,1213,1773.5,85.2178410534434,10123.2572104819
"2099/2100",2100,123,123,100,1212,1632,77.4508879820387,12031.1929530865
