"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1357,1730,83.056061886101,9988.01415006904
"2000/2001",2001,123,123,100,1355,1710.5,80.9221213287645,10442.5963939679
"2001/2002",2002,123,123,100,1498,1815,83.1237349103264,8818.6989403631
"2002/2003",2003,123,123,100,1414,1839,85.3938095750744,9595.82449064232
"2003/2004",2004,123,123,100,1317,1757,83.5535085591082,10146.1290509883
"2004/2005",2005,123,123,100,1339,1695.5,83.4998656580965,9447.22932510066
"2005/2006",2006,123,123,100,1283,1629.5,77.5943234412567,10938.6847364682
"2006/2007",2007,123,123,100,1282,1529,75.5731307358163,11525.2432943362
"2007/2008",2008,123,123,100,1401,1653.5,83.4337336146634,8749.8379612437
"2008/2009",2009,123,123,100,1535,1869,84.2522347098964,8781.90506585373
"2009/2010",2010,123,123,100,1353,1859.5,86.811655480733,9418.04199672758
"2010/2011",2011,123,123,100,1277,1634,82.2870013517713,10570.3898507268
"2011/2012",2012,123,123,100,1472,1830.5,85.4576033994645,8974.22307616449
"2012/2013",2013,123,123,100,1330,1813,83.7719701370304,9664.81795434887
"2013/2014",2014,123,123,100,1415,1764.5,82.3286134136233,9739.62850586954
"2014/2015",2015,123,123,100,1511,1773.5,83.3524842316515,8351.14320373302
"2015/2016",2016,123,123,100,1484,1804.5,84.6274279748691,8483.65544267907
"2016/2017",2017,123,123,100,1416,1625,80.5285370809647,9438.08883565338
"2017/2018",2018,123,123,100,1318,1632.5,78.7582700267058,11331.5329476648
"2018/2019",2019,123,123,100,1409,1744.5,81.216333397645,9085.98650065181
"2019/2020",2020,123,123,100,1441,1774,85.3418727368876,8544.39364447328
"2020/2021",2021,123,123,100,1350,1866.5,84.2910774303527,9084.94358081976
"2021/2022",2022,123,123,100,1408,1717.5,84.1940965606736,9083.45988472318
"2022/2023",2023,123,123,100,1266,1594.5,78.4885264630084,11823.9344289985
"2023/2024",2024,123,123,100,1515,1844.5,85.8672655033106,7159.44224211178
"2024/2025",2025,123,123,100,1276,1650.5,79.1719764748241,10470.5208828549
"2025/2026",2026,123,123,100,1317,1713,78.3715650817239,10458.22648783
"2026/2027",2027,123,123,100,1602,1870,84.5026879518664,7917.3108154966
"2027/2028",2028,123,123,100,1348,1590.5,77.3242877308076,9601.04653450591
"2028/2029",2029,123,123,100,1264,1717.5,83.7793869725433,10375.2253873243
"2029/2030",2030,123,123,100,1501,1633,80.1424852691102,8850.57000576495
"2030/2031",2031,123,123,100,1346,1868,85.720881964563,9392.20347192883
"2031/2032",2032,123,123,100,1214,1482,74.4735931306286,11538.2747194157
"2032/2033",2033,123,123,100,1396,1950,86.9040377414276,8591.52288007224
"2033/2034",2034,123,123,100,1472,1761.5,83.0639324675312,8763.8382016141
"2034/2035",2035,123,123,100,1349,1588.5,77.8702390049166,10897.8644063473
"2035/2036",2036,123,123,100,1128,1607,79.7214191117637,12168.4495078279
"2036/2037",2037,123,123,100,1459,1772,83.5967298974047,8914.97005567141
"2037/2038",2038,123,123,100,1418,1857,86.7726121053038,8064.70098534459
"2038/2039",2039,123,123,100,1540,1784,82.7876788478561,8140.32442756509
"2039/2040",2040,123,123,100,1443,1779,84.0480689927808,8959.9948243727
"2040/2041",2041,123,123,100,1360,1743,83.7596329133394,9594.69083540188
"2041/2042",2042,123,123,100,1404,1810.5,83.0928267528589,8841.33589797979
"2042/2043",2043,123,123,100,1415,1665,80.8349279797449,9831.95101247588
"2043/2044",2044,123,123,100,1386,1703.5,83.0141302796183,10395.4716503974
"2044/2045",2045,123,123,100,1319,1714.5,84.1352602615589,10291.541999775
"2045/2046",2046,123,123,100,1163,1541,77.4750652168423,11765.7918852712
"2046/2047",2047,123,123,100,1354,1621.5,85.0275239171297,9406.26780224591
"2047/2048",2048,123,123,100,1428,1680,80.1317925983521,9519.73040152667
"2048/2049",2049,123,123,100,1406,1973,85.2219633022523,9086.69944736734
"2049/2050",2050,123,123,100,1310,1658.5,78.8005040728704,10462.1436692062
"2050/2051",2051,123,123,100,1263,1788,82.4550786641985,9422.62357501267
"2051/2052",2052,123,123,100,1393,1929,86.5889269141935,8800.77106079645
"2052/2053",2053,123,123,100,1487,1781.5,83.2508779356349,8824.05149548547
"2053/2054",2054,123,123,100,1252,1747,84.045723728419,9670.78622821812
"2054/2055",2055,123,123,100,1469,1829.5,83.364834023173,8290.49743223609
"2055/2056",2056,123,123,100,1467,1855.5,83.4061553424881,8855.28316597454
"2056/2057",2057,123,123,100,1154,1665.5,78.2514417701877,11158.0801460729
"2057/2058",2058,123,123,100,1703,1840,84.8155052271877,6999.75632693106
"2058/2059",2059,123,123,100,1419,1768,84.7678032991507,8830.57106312923
"2059/2060",2060,123,123,100,1554,1829,84.8198457808676,8329.2344979085
"2060/2061",2061,123,123,100,1388,1695.5,78.7988753926147,10773.3523805519
"2061/2062",2062,123,123,100,1225,1657,78.577153036229,10948.2990817642
"2062/2063",2063,123,123,100,1252,1613,82.4558448316566,9670.0108222533
"2063/2064",2064,123,123,100,1435,1974.5,89.0528771135159,8391.0832531238
"2064/2065",2065,123,123,100,1458,1718.5,80.609765031526,9212.34235154558
"2065/2066",2066,123,123,100,1493,1741.5,83.6151263282118,8600.39776447322
"2066/2067",2067,123,123,100,1405,1811.5,83.0146186305101,9018.3277398739
"2067/2068",2068,123,123,100,1372,1662.5,82.0727375263141,9988.97722112946
"2068/2069",2069,123,123,100,1628,1656.5,81.5771084196749,8704.21819949988
"2069/2070",2070,123,123,100,1440,1851.5,84.2683660965104,9284.27488463372
"2070/2071",2071,123,123,100,1437,1886.5,85.591271662599,8653.54852218926
"2071/2072",2072,123,123,100,1430,1848,84.6964338139842,8637.93823556881
"2072/2073",2073,123,123,100,1624,1930,86.4997866894628,7135.82101640757
"2073/2074",2074,123,123,100,1420,1958,85.2753871645855,8311.81138391793
"2074/2075",2075,123,123,100,1293,1659.5,78.3606602713335,11142.1220680345
"2075/2076",2076,123,123,100,1460,1861.5,83.6828372299678,9120.83417617436
"2076/2077",2077,123,123,100,1296,1732.5,82.6343453431891,9671.00519179367
"2077/2078",2078,123,123,100,1427,1902,85.5405962024233,9027.38816446252
"2078/2079",2079,123,123,100,1348,1766.5,82.4591775316931,9161.34683133475
"2079/2080",2080,123,123,100,1376,1616,80.1206471530586,9048.96986081544
"2080/2081",2081,123,123,100,1428,1916,87.9696526716489,8215.11783377547
"2081/2082",2082,123,123,100,1439,1830.5,82.1693799461427,8944.61809627153
"2082/2083",2083,123,123,100,1140,1540.5,79.6998885988778,11045.7507895399
"2083/2084",2084,123,123,100,1445,1773,84.8295966886617,8693.55307411123
"2084/2085",2085,123,123,100,1318,1606.5,81.3038373297131,9619.64658951014
"2085/2086",2086,123,123,100,1333,1614,80.6281466350592,10411.4507332547
"2086/2087",2087,123,123,100,1527,1825,86.9355413538979,6606.73988036904
"2087/2088",2088,123,123,100,1318,1753.5,78.2818084034025,10692.5261176759
"2088/2089",2089,123,123,100,1246,1752,83.0101666831797,10364.2282492481
"2089/2090",2090,123,123,100,1393,1852.5,84.4885911709534,9266.45782199595
"2090/2091",2091,123,123,100,1105,1682,80.6702619673688,11534.386715591
"2091/2092",2092,123,123,100,1365,1681,81.7093297165156,9918.01571701933
"2092/2093",2093,123,123,100,1203,1521.5,76.6548825817463,11973.4189654673
"2093/2094",2094,123,123,100,1272,1714,82.0956635502753,10861.3240046557
"2094/2095",2095,123,123,100,1458,1795,82.7177129485754,8499.9520610217
"2095/2096",2096,123,123,100,1321,1947.5,87.8304091996379,8772.51432177704
"2096/2097",2097,123,123,100,1385,1794,82.8516944586154,9415.40743526537
"2097/2098",2098,123,123,100,1334,1777.5,79.513643326196,10749.1663008938
"2098/2099",2099,123,123,100,1420,1827,86.6535956508833,8474.74858770706
"2099/2100",2100,123,123,100,1427,1709.5,78.7947507323879,10323.7842711611
