"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,936,1501.5,71.9294534255518,14228.9623550494
"2000/2001",2001,123,123,100,913,1474.5,71.537455955519,14604.4859708713
"2001/2002",2002,123,123,100,1084,1690.5,79.0192699308532,12580.4348549465
"2002/2003",2003,123,123,100,944,1599.5,77.0640105998964,13731.4017646639
"2003/2004",2004,123,123,100,912,1508,76.2500570592023,14341.7646882391
"2004/2005",2005,123,123,100,989,1552.5,76.2208428016754,13430.2032957534
"2005/2006",2006,123,123,100,917,1388.5,70.3582529684336,15121.480561776
"2006/2007",2007,123,123,100,961,1311,67.3442280537696,15781.5685410945
"2007/2008",2008,123,123,100,1135,1579,76.1305281611686,12311.1688342197
"2008/2009",2009,123,123,100,1079,1700,78.6761680549653,12572.526487304
"2009/2010",2010,123,123,100,882,1600.5,77.614847434859,13687.6263053247
"2010/2011",2011,123,123,100,905,1448.5,73.9891533907055,14712.4097686533
"2011/2012",2012,123,123,100,1057,1656.5,78.5450166888484,12973.4248163713
"2012/2013",2013,123,123,100,919,1553,79.1047333961346,13843.812818636
"2013/2014",2014,123,123,100,953,1582,77.7258266877036,13782.700986569
"2014/2015",2015,123,123,100,1112,1718.5,80.5729589031241,11968.2813239226
"2015/2016",2016,123,123,100,1066,1689,80.6539914435862,12223.7102258394
"2016/2017",2017,123,123,100,1088,1517,76.3659146951782,13088.4092987566
"2017/2018",2018,123,123,100,866,1387.5,70.6819843677069,15591.6826709197
"2018/2019",2019,123,123,100,1052,1583.5,77.9242735918315,12991.718403639
"2019/2020",2020,123,123,100,1073,1657.5,78.2237212203927,12268.9779414581
"2020/2021",2021,123,123,100,946,1625,79.5333004472213,13157.2128664458
"2021/2022",2022,123,123,100,1108,1607,78.8434528298867,12835.4291498279
"2022/2023",2023,123,123,100,824,1323,70.6149539488019,16137.7852212512
"2023/2024",2024,123,123,100,1217,1774,83.0708987923822,10605.6534636973
"2024/2025",2025,123,123,100,925,1397.5,72.248958984896,14611.1641124657
"2025/2026",2026,123,123,100,938,1464.5,74.7018294705981,14483.1697844625
"2026/2027",2027,123,123,100,1197,1819,83.5237328784506,11370.0329948515
"2027/2028",2028,123,123,100,1043,1468,74.4783280192401,13291.5986483325
"2028/2029",2029,123,123,100,827,1460.5,72.6091765418769,14732.0030189352
"2029/2030",2030,123,123,100,1176,1640,76.5670042760107,12324.3823361699
"2030/2031",2031,123,123,100,828,1613.5,80.1693910194463,13669.5851518265
"2031/2032",2032,123,123,100,896,1290.5,68.3262992708314,15770.9057761617
"2032/2033",2033,123,123,100,931,1707.5,83.7560491899394,12727.0994935343
"2033/2034",2034,123,123,100,1144,1660.5,77.7332380562048,12452.4904156169
"2034/2035",2035,123,123,100,961,1393.5,69.4363909397803,14903.0991617264
"2035/2036",2036,123,123,100,658,1272.5,69.8589990462528,16958.7786384681
"2036/2037",2037,123,123,100,1082,1662.5,79.3512846203434,12620.437458355
"2037/2038",2038,123,123,100,1013,1720,82.2635730153766,11844.1074467041
"2038/2039",2039,123,123,100,1153,1747.5,81.0980539497823,11594.1263433625
"2039/2040",2040,123,123,100,999,1621.5,79.7382726509877,12772.417874828
"2040/2041",2041,123,123,100,913,1557.5,75.6106537217956,13605.1278760438
"2041/2042",2042,123,123,100,1003,1637,78.1317691715331,12698.1643190105
"2042/2043",2043,123,123,100,1048,1537.5,72.6569675920291,13643.7750979089
"2043/2044",2044,123,123,100,907,1521,72.67826550876,14599.9818256223
