"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,575,1250.5,71.1771175301621,16897.7291370299
"2000/2001",2001,123,123,100,520,1148,67.0479691405192,17951.8740565778
"2001/2002",2002,123,123,100,609,1248,69.1108858636031,16922.2964519423
"2002/2003",2003,123,123,100,610,1355.5,69.4331279951083,16300.465823766
"2003/2004",2004,123,123,100,598,1275,68.3382904163786,16973.3281842654
"2004/2005",2005,123,123,100,527,1277,71.417756010497,17002.0760631646
"2005/2006",2006,123,123,100,576,1184,66.1800601568845,17777.7377895949
"2006/2007",2007,123,123,100,584,1259.5,70.3943346892762,16961.9368852591
"2007/2008",2008,123,123,100,539,1126.5,67.3973005370318,18054.4264694477
"2008/2009",2009,123,123,100,650,1237,69.181196671726,17004.6541387268
"2009/2010",2010,123,123,100,577,1456.5,75.6031885771627,15422.7441478407
"2010/2011",2011,123,123,100,430,1173.5,68.4251581122246,17919.1532062575
"2011/2012",2012,123,123,100,524,1242,70.3852977003046,16861.7453014015
"2012/2013",2013,123,123,100,623,1399,73.8597154390773,15713.6404075711
"2013/2014",2014,123,123,100,539,1217,69.8815802168681,17518.7826626503
"2014/2015",2015,123,123,100,586,1277.5,71.41269713272,16671.4359157286
"2015/2016",2016,123,123,100,575,1250,67.8650673847794,17111.4124860703
"2016/2017",2017,123,123,100,469,990,63.7992221319532,19241.2804959959
"2017/2018",2018,123,123,100,430,1076.5,64.7418053507968,18603.7656738353
"2018/2019",2019,123,123,100,669,1313.5,72.9168336388643,16141.2925108536
"2019/2020",2020,123,123,100,629,1325,73.3573497068282,16246.0403388808
"2020/2021",2021,123,123,100,590,1307.5,69.6031289523953,16680.7227376674
"2021/2022",2022,123,123,100,480,1171.5,68.2349167700518,17709.7070679436
"2022/2023",2023,123,123,100,390,1019,61.3680585744401,19256.80246143
"2023/2024",2024,123,123,100,733,1364.5,71.1843279399181,15685.4437384966
"2024/2025",2025,123,123,100,539,1087.5,63.4346462052968,18521.9543916271
"2025/2026",2026,123,123,100,583,1230,69.0283043636859,17367.0673307562
"2026/2027",2027,123,123,100,615,1298.5,73.2238800613336,16676.8296744274
"2027/2028",2028,123,123,100,582,1150.5,66.2456944801288,17968.6476130155
"2028/2029",2029,123,123,100,556,1349,74.8801333744418,16028.4255299969
"2029/2030",2030,123,123,100,573,1163,68.9493482648695,17903.2771453536
"2030/2031",2031,123,123,100,535,1294.5,73.8509021433715,16618.3494103309
"2031/2032",2032,123,123,100,416,1134,64.3043772665669,18014.2758951681
"2032/2033",2033,123,123,100,640,1480,76.2594258452073,14902.107064968
"2033/2034",2034,123,123,100,586,1266,71.5582217395108,16772.876373969
"2034/2035",2035,123,123,100,506,1072.5,62.2635650910597,18933.5676488043
"2035/2036",2036,123,123,100,400,1172.5,68.9319582610424,18169.6576714828
"2036/2037",2037,123,123,100,580,1245.5,67.7620493435902,17289.4678818481
"2037/2038",2038,123,123,100,684,1470.5,78.7353605291501,15075.263107812
"2038/2039",2039,123,123,100,561,1247,73.0171803725425,17266.1400479502
"2039/2040",2040,123,123,100,555,1236,69.9942043537076,17230.9083656552
"2040/2041",2041,123,123,100,556,1267,69.2206679453839,17234.0528291473
"2041/2042",2042,123,123,100,624,1354.5,72.1425225309067,16273.5142275454
"2042/2043",2043,123,123,100,591,1204.5,66.5016130395397,17596.0214268151
"2043/2044",2044,123,123,100,508,1215.5,67.6342171708457,17585.1513254484
"2044/2045",2045,123,123,100,372,1125.5,65.4465179540812,18617.456936148
"2045/2046",2046,123,123,100,368,962,62.7914306243274,19703.4848911585
"2046/2047",2047,123,123,100,528,1155.5,67.8280196484029,18063.7422148641
"2047/2048",2048,123,123,100,540,1180.5,66.0608151991109,17308.5292752995
"2048/2049",2049,123,123,100,715,1359,71.2088282540553,16171.2586946404
"2049/2050",2050,123,123,100,637,1223,68.7188740586198,16893.0943379314
"2050/2051",2051,123,123,100,607,1298,71.2581517872386,16433.2598411124
"2051/2052",2052,123,123,100,627,1472,76.5837686550121,15160.8454123056
