"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,545,1225.5,67.4740580927746,17317.9114563653
"2000/2001",2001,123,123,100,481,1110.5,65.3161314704727,18385.8063959634
"2001/2002",2002,123,123,100,571,1212,68.0331552541204,17291.5973288303
"2002/2003",2003,123,123,100,576,1312.5,71.5603897806394,16735.6873776603
"2003/2004",2004,123,123,100,556,1254.5,68.185880834609,17365.9186497725
"2004/2005",2005,123,123,100,503,1213,68.7928001330461,17534.296980704
"2005/2006",2006,123,123,100,520,1151,64.3264898865169,18134.4982678639
"2006/2007",2007,123,123,100,521,1239.5,69.2326597190299,17323.6429835855
"2007/2008",2008,123,123,100,478,1082,64.8104677201632,18431.1034892885
"2008/2009",2009,123,123,100,608,1207,66.125839716215,17387.8230215324
"2009/2010",2010,123,123,100,545,1419.5,73.9894015226007,15847.1249308366
"2010/2011",2011,123,123,100,410,1102.5,64.6583563543384,18511.268348358
"2011/2012",2012,123,123,100,474,1224.5,69.2623746570478,17249.7667104532
"2012/2013",2013,123,123,100,594,1346,72.3831429613206,16194.5670098709
"2013/2014",2014,123,123,100,511,1165.5,65.8955992822762,18033.7276749143
"2014/2015",2015,123,123,100,533,1228,70.027401370796,17148.2719986141
"2015/2016",2016,123,123,100,530,1225.5,67.6276239447568,17559.6258481999
"2016/2017",2017,123,123,100,446,967.5,60.9223018869809,19786.2044207749
"2017/2018",2018,123,123,100,411,1034,62.5707128672509,19085.2941067184
"2018/2019",2019,123,123,100,622,1273,70.5629362262753,16578.3742271259
"2019/2020",2020,123,123,100,598,1300.5,75.0607374586239,16638.2296797493
"2020/2021",2021,123,123,100,531,1284.5,71.654226685996,17075.51376262
"2021/2022",2022,123,123,100,455,1113,66.6740411687515,18225.0415465955
"2022/2023",2023,123,123,100,369,970,57.4396985824615,19821.2363193219
"2023/2024",2024,123,123,100,713,1343,71.2136795035012,16072.6605368303
"2024/2025",2025,123,123,100,482,1066,61.8474237248761,18883.1027776361
"2025/2026",2026,123,123,100,534,1190,67.6138216828526,17841.2918646829
"2026/2027",2027,123,123,100,600,1262,71.5105791280707,17149.5428201742
"2027/2028",2028,123,123,100,541,1106,64.0485895948823,18399.6591927209
"2028/2029",2029,123,123,100,521,1319.5,71.8207673333991,16464.6868603597
"2029/2030",2030,123,123,100,526,1106,66.0681714124926,18369.6283350457
"2030/2031",2031,123,123,100,513,1264,70.693459059215,17058.0208065147
"2031/2032",2032,123,123,100,391,1081,64.6510119041595,18527.8255977081
"2032/2033",2033,123,123,100,593,1445.5,76.4015372974827,15388.7614048226
"2033/2034",2034,123,123,100,545,1231,68.0484034441633,17200.6440010546
"2034/2035",2035,123,123,100,449,1040.5,62.966737621945,19324.1435682988
"2035/2036",2036,123,123,100,367,1107,64.2078614335401,18727.3172451528
"2036/2037",2037,123,123,100,516,1222,64.325824552458,17653.6935115564
"2037/2038",2038,123,123,100,638,1423.5,76.5759450975597,15551.9414990121
