"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,459,1000,64.5866905710301,19517.535707894
"2000/2001",2001,123,123,100,429,884.5,57.2718408150804,20597.1235561426
"2001/2002",2002,123,123,100,503,978.5,61.3379249272236,19564.0215630534
"2002/2003",2003,123,123,100,468,1082,61.7043701413947,18914.0059130506
"2003/2004",2004,123,123,100,474,993,59.86394080462,19646.8249500327
"2004/2005",2005,123,123,100,422,1003.5,60.5785542160303,19678.0445078235
"2005/2006",2006,123,123,100,464,911.5,56.7577757124711,20398.8112564371
"2006/2007",2007,123,123,100,468,983,60.9690038474324,19639.5475237522
"2007/2008",2008,123,123,100,433,865.5,56.3316087486845,20712.7787426945
"2008/2009",2009,123,123,100,532,989,61.8356174436566,19541.0346150299
"2009/2010",2010,123,123,100,453,1174,65.3927912964369,18051.8095711682
"2010/2011",2011,123,123,100,331,879.5,55.4145110035807,20686.6534700831
"2011/2012",2012,123,123,100,414,1016,60.8874346619515,19373.1046316545
"2012/2013",2013,123,123,100,481,1124.5,66.3467447642499,18358.0995781342
"2013/2014",2014,123,123,100,431,914.5,54.9269945896961,20176.489640051
"2014/2015",2015,123,123,100,480,992,61.8615342507728,19316.9465380204
"2015/2016",2016,123,123,100,427,969.5,59.4167164078262,19692.3731486679
"2016/2017",2017,123,123,100,383,719.5,48.8773496220572,21981.1321191909
"2017/2018",2018,123,123,100,356,773.5,57.5976578624548,21382.9839143467
"2018/2019",2019,123,123,100,535,1057.5,64.9602171753259,18680.1833860672
"2019/2020",2020,123,123,100,512,1068,61.9770700462743,18853.6229363082
"2020/2021",2021,123,123,100,450,1041,60.4956730003773,19299.9284977117
"2021/2022",2022,123,123,100,363,911.5,57.6765692506058,20289.7891197815
"2022/2023",2023,123,123,100,323,697.5,51.2241632896867,22135.1452497896
"2023/2024",2024,123,123,100,621,1131,64.580690314237,18102.2086219378
"2024/2025",2025,123,123,100,432,832.5,55.4745392358079,21055.276891565
"2025/2026",2026,123,123,100,460,939.5,58.5775620710356,20056.1048766058
"2026/2027",2027,123,123,100,488,1013.5,61.9483947522749,19314.2586818337
"2027/2028",2028,123,123,100,474,863.5,59.0407698838899,20603.4700474562
"2028/2029",2029,123,123,100,462,1077.5,65.3567107274239,18699.1282910793
