"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,544,214,36.0851577642903,24648.9590812041
"2000/2001",2001,123,123,100,465,57.5,32.900499824657,26156.5601967736
"2001/2002",2002,123,123,100,509,91.5,27.6775402633468,26172.9558149059
"2002/2003",2003,123,123,100,542,230.5,34.3369155625814,24961.3257662687
"2003/2004",2004,123,123,100,593,153,33.9816736466486,25383.3958920449
"2004/2005",2005,123,123,100,555,119,25.6699014288502,26166.3788103854
"2005/2006",2006,123,123,100,526,164.5,32.8572350126027,26072.6653080748
"2006/2007",2007,123,123,100,607,206,31.7998152862044,24874.8203566322
"2007/2008",2008,123,123,100,420,-147.5,23.5811911896579,27655.0942203894
"2008/2009",2009,123,123,100,511,86,29.9638360756707,25514.0030869296
"2009/2010",2010,123,123,100,606,387.5,36.8699018704134,23918.8743905313
"2010/2011",2011,123,123,100,409,72,26.6267071206641,27368.9360890186
"2011/2012",2012,123,123,100,526,169,30.9819249896375,25279.1273088646
"2012/2013",2013,123,123,100,603,383,35.2715195573329,23634.4773815197
"2013/2014",2014,123,123,100,510,75,28.9716260990271,26218.3027583929
"2014/2015",2015,123,123,100,529,19,29.9245377110755,26307.67125387
"2015/2016",2016,123,123,100,393,30.5,24.9547793300891,27077.7409741136
"2016/2017",2017,123,123,100,360,-267.5,19.5098975742031,29034.1997111137
"2017/2018",2018,123,123,100,407,-79.5,28.4967180042139,27542.1133382758
"2018/2019",2019,123,123,100,627,222,35.8235983031049,23911.5200860961
"2019/2020",2020,123,123,100,515,167,26.2291861288154,25846.1435006624
"2020/2021",2021,123,123,100,560,151,29.3066957958974,25908.5859558927
"2021/2022",2022,123,123,100,372,-15.5,25.7320846888676,26882.8785355235
"2022/2023",2023,123,123,100,406,-63.5,27.112185931538,28087.9448464443
"2023/2024",2024,123,123,100,606,168.5,28.8353904305759,24822.812478126
"2024/2025",2025,123,123,100,488,-7,31.5951926338385,25504.4836242399
"2025/2026",2026,123,123,100,521,63,25.6693800679703,26161.4038623944
"2026/2027",2027,123,123,100,436,-86,19.3122020714567,28218.6194021362
"2027/2028",2028,123,123,100,478,-88,24.3194288760449,27642.5715275803
"2028/2029",2029,123,123,100,602,393,43.0284262336279,23649.9415664645
"2029/2030",2030,123,123,100,449,-167,17.3570736789097,28898.2048379597
"2030/2031",2031,123,123,100,527,261.5,36.6580356908667,24483.5428897841
"2031/2032",2032,123,123,100,403,82,31.6184981070478,26396.6708739619
"2032/2033",2033,123,123,100,635,468.5,38.4780628931799,23185.3108938639
"2033/2034",2034,123,123,100,493,96,28.9034038665102,25783.1310055736
"2034/2035",2035,123,123,100,419,-86,22.3338417851878,28327.7158165886
"2035/2036",2036,123,123,100,429,163,31.9338817739733,25929.6608630479
"2036/2037",2037,123,123,100,510,-99,29.69956194619,26457.8348042434
"2037/2038",2038,123,123,100,581,331,36.161440663305,23589.2190456646
"2038/2039",2039,123,123,100,460,-61,17.8899556460767,28017.6804730971
"2039/2040",2040,123,123,100,507,39,26.2462584632631,26930.4254477154
"2040/2041",2041,123,123,100,535,51,29.4830245275352,27211.9280417785
"2041/2042",2042,123,123,100,502,138.5,25.4354505779554,26099.5319747487
"2042/2043",2043,123,123,100,514,94.5,26.3759012793935,26858.4192356206
"2043/2044",2044,123,123,100,517,168,29.9082419970398,26105.5199045027
"2044/2045",2045,123,123,100,383,-33.5,22.7601297009446,27954.2703660186
"2045/2046",2046,123,123,100,347,-181.5,23.5759543652125,28970.8757521184
"2046/2047",2047,123,123,100,396,-163.5,24.2957451118277,28193.4726274535
"2047/2048",2048,123,123,100,430,66.5,25.480478490312,26784.5398100046
"2048/2049",2049,123,123,100,668,307,35.2305318388967,24052.0769853694
"2049/2050",2050,123,123,100,564,-58.5,30.1583137112436,25457.3210157007
"2050/2051",2051,123,123,100,645,303,34.4160274590129,24128.9449523743
"2051/2052",2052,123,123,100,634,396,34.4534673095313,23518.3763107359
"2052/2053",2053,123,123,100,629,350.5,33.0049290165205,24199.8553652847
"2053/2054",2054,123,123,100,556,293.5,32.4592852389624,24705.2927267654
"2054/2055",2055,123,123,100,549,184.5,27.855249890617,25684.1115786405
"2055/2056",2056,123,123,100,608,301.5,35.3559736608647,24103.2305254731
"2056/2057",2057,123,123,100,699,465,39.2339058504658,23225.185420461
"2057/2058",2058,123,123,100,593,214,28.0356022261401,25028.8389652772
"2058/2059",2059,123,123,100,557,87.5,24.208554988021,26316.5753464624
"2059/2060",2060,123,123,100,530,-22,28.096893243845,26341.5691248225
"2060/2061",2061,123,123,100,498,72,30.5360511175909,26706.7999429153
"2061/2062",2062,123,123,100,622,438,39.6661245702367,23573.2855468467
"2062/2063",2063,123,123,100,475,127,28.501617219169,25941.6654063901
"2063/2064",2064,123,123,100,581,278.5,33.4881665047069,24079.3883663025
"2064/2065",2065,123,123,100,430,-49,21.2744202884587,27961.3642184408
"2065/2066",2066,123,123,100,544,-34.5,25.0050955650049,26151.0539051844
"2066/2067",2067,123,123,100,548,234.5,31.5096148049597,25341.266592891
"2067/2068",2068,123,123,100,522,24,31.4090688190036,27073.0016307803
