"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,29,-1061,6.02887888711596,36650.6022762087
"2000/2001",2001,123,123,100,28,-1167.5,5.02536270476131,37342.9688252885
"2001/2002",2002,123,123,100,41,-1061,2.99056506292497,36654.0341302241
"2002/2003",2003,123,123,100,24,-997.5,5.03690843146955,36544.3658685953
"2003/2004",2004,123,123,100,20,-1028,5.04004977002998,36665.1436529526
"2004/2005",2005,123,123,100,19,-1105.5,2.01643816404149,37115.6998175016
"2005/2006",2006,123,123,100,33,-1130.5,6.83214100556603,37340.5005049093
"2006/2007",2007,123,123,100,34,-990,7.95664922107651,36322.8600611181
"2007/2008",2008,123,123,100,49,-1145,5.02466447548298,36569.2736870107
"2008/2009",2009,123,123,100,46,-1029.5,5.64289708900898,36562.8530529919
"2009/2010",2010,123,123,100,19,-915.5,6.03917325984954,35977.2575444644
"2010/2011",2011,123,123,100,13,-1234.5,1.00493423429499,38411.3555907672
"2011/2012",2012,123,123,100,52,-1036.5,5.96033213264283,36746.9216312752
"2012/2013",2013,123,123,100,31,-944.5,6.99136529274367,36101.8182791006
"2013/2014",2014,123,123,100,15,-1167.5,4.0330159224735,37396.6733040519
"2014/2015",2015,123,123,100,41,-1040,4.98953087808204,36266.5645647508
"2015/2016",2016,123,123,100,34,-1147.5,1.94362259090583,37240.8124778396
"2016/2017",2017,123,123,100,30,-1381.5,1.94719647620877,38134.6115368905
"2017/2018",2018,123,123,100,20,-1292,4.01022766568352,38236.7029282232
"2018/2019",2019,123,123,100,82,-909,9.04584614773552,35892.0016306369
"2019/2020",2020,123,123,100,57,-1015,5.04184443165545,36208.9700099286
"2020/2021",2021,123,123,100,17,-1053,5.03343600582934,36653.0150363832
"2021/2022",2022,123,123,100,30,-1221,5.03559299148229,37350.6872427734
"2022/2023",2023,123,123,100,39,-1285.5,5.36806205428212,38581.8845799598
"2023/2024",2024,123,123,100,50,-945.5,4.03554835437568,35117.4479577467
"2024/2025",2025,123,123,100,17,-1145.5,6.00665039372102,36687.9234759756
"2025/2026",2026,123,123,100,28,-1134.5,6.03968649252261,36864.1012206227
"2026/2027",2027,123,123,100,19,-1156,2.01742216475452,37637.2735959655
"2027/2028",2028,123,123,100,23,-1155.5,4.02960897909583,37052.3062259629
"2028/2029",2029,123,123,100,32,-945,5.97943124374444,36048.691045884
"2029/2030",2030,123,123,100,34,-1226.5,2.01450016068361,37649.613853984
"2030/2031",2031,123,123,100,25,-1027,5.97674453308528,36172.5870000119
"2031/2032",2032,123,123,100,41,-1206,2.95369016032936,38039.9339714036
"2032/2033",2033,123,123,100,30,-892.5,5.97014617729579,35650.5227506193
"2033/2034",2034,123,123,100,52,-1039.5,6.83989214069214,36431.8807229809
"2034/2035",2035,123,123,100,10,-1302,4.03348557895708,38514.6155438861
"2035/2036",2036,123,123,100,6,-1223.5,4.01410073232637,38401.9965547435
"2036/2037",2037,123,123,100,29,-1102,7.02879161735822,36040.9311504941
"2037/2038",2038,123,123,100,35,-937.5,5.93258605074973,35580.219393204
"2038/2039",2039,123,123,100,8,-1161,1.01617906926381,37529.3212415343
"2039/2040",2040,123,123,100,19,-1138,0.99115096451709,37367.4265912529
"2040/2041",2041,123,123,100,22,-1111.5,2.01921598382305,37494.5764115574
"2041/2042",2042,123,123,100,30,-1029,4.93304015687642,36592.3535092734
"2042/2043",2043,123,123,100,26,-1132.5,2.99960563276574,37551.9372929791
"2043/2044",2044,123,123,100,13,-1199.5,3.01491341183427,37585.3323956029
"2044/2045",2045,123,123,100,2,-1292.5,3.02835265154386,38642.8064911393
"2045/2046",2046,123,123,100,9,-1400.5,4.01467537425242,38847.2806460289
"2046/2047",2047,123,123,100,14,-1202,2.02774739302032,37586.9295294248
"2047/2048",2048,123,123,100,61,-1131,3.25433175590828,37354.7797861835
"2048/2049",2049,123,123,100,11,-943.5,10.0476599678118,35933.7150502484
"2049/2050",2050,123,123,100,71,-1038.5,10.8298302535436,35457.7558566863
