"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,142,-1001,7.8206591470839,33135.1618207098
"2000/2001",2001,123,123,100,150,-1169,5.11333880084163,34404.251150206
"2001/2002",2002,123,123,100,140,-1060,3.72381469446453,33879.9635063298
"2002/2003",2003,123,123,100,161,-925,8.8537761039135,32829.8720920818
"2003/2004",2004,123,123,100,142,-1029.5,4.96158531089096,34336.1631512936
"2004/2005",2005,123,123,100,100,-1058,6.01107676173715,33100.2574587668
"2005/2006",2006,123,123,100,148,-1121,4.22054215625154,34229.6167573519
"2006/2007",2007,123,123,100,138,-927,9.62433727167747,32486.6031600086
"2007/2008",2008,123,123,100,131,-1164.5,4.62657949184364,32510.3940886034
"2008/2009",2009,123,123,100,207,-1042,4.76071606124246,33245.5038764597
"2009/2010",2010,123,123,100,144,-824,9.02689883716018,32404.4416006096
"2010/2011",2011,123,123,100,72,-1305,0.975144566605621,35672.9275566556
"2011/2012",2012,123,123,100,176,-987.5,6.97810196846224,32738.0220885007
"2012/2013",2013,123,123,100,176,-841.5,9.78282786908576,32658.5216136004
"2013/2014",2014,123,123,100,133,-1193,3.8684911738363,34435.0015861928
"2014/2015",2015,123,123,100,134,-1045.5,2.95695070966792,32688.9334548702
"2015/2016",2016,123,123,100,96,-1217,0,34203.8889024779
"2016/2017",2017,123,123,100,77,-1448,2.02183789100073,34786.5226514349
"2017/2018",2018,123,123,100,75,-1348.5,3.09959910147629,35295.1215141218
"2018/2019",2019,123,123,100,227,-835.5,11.7142515348813,31612.805170621
"2019/2020",2020,123,123,100,132,-1048.5,3.33111543578019,33385.0953998128
"2020/2021",2021,123,123,100,114,-983.5,4.91294398117623,33127.6922552004
"2021/2022",2022,123,123,100,97,-1242,2.95097462928743,33796.1195770917
"2022/2023",2023,123,123,100,93,-1389,5.07022542844997,35773.8115006993
"2023/2024",2024,123,123,100,186,-853.5,2.01345027499343,31484.1424212316
"2024/2025",2025,123,123,100,140,-1122.5,7.55739428672456,33393.4167118436
"2025/2026",2026,123,123,100,147,-1150.5,6.67062604026339,33644.9644200513
"2026/2027",2027,123,123,100,80,-1204,0,33991.6351174978
"2027/2028",2028,123,123,100,116,-1169.5,3.97515240970728,33535.9589562011
"2028/2029",2029,123,123,100,163,-897,5.68207981994897,33333.0467101913
"2029/2030",2030,123,123,100,107,-1303,1.68627681317358,34025.0040737106
"2030/2031",2031,123,123,100,156,-961,7.42814460612115,32844.5957242521
"2031/2032",2032,123,123,100,85,-1290.5,0.889723466297056,35617.1262132288
"2032/2033",2033,123,123,100,155,-763.5,6.48159643273186,32147.6398219308
"2033/2034",2034,123,123,100,135,-1040.5,3.2043837165852,32957.6764275101
"2034/2035",2035,123,123,100,48,-1394,1.01788552784399,35319.5095972433
"2035/2036",2036,123,123,100,66,-1276,6.65521812337727,35976.638447667
"2036/2037",2037,123,123,100,155,-1053,6.13936605368266,32091.9884018628
"2037/2038",2038,123,123,100,161,-806,5.7248618220793,31573.610699235
"2038/2039",2039,123,123,100,68,-1196,0,33923.0505544292
"2039/2040",2040,123,123,100,109,-1170,0.962971225160771,34158.6240326366
"2040/2041",2041,123,123,100,100,-1107.5,3.8720509698955,33958.4375805827
"2041/2042",2042,123,123,100,144,-995.5,4.60488027322918,32943.2977942331
"2042/2043",2043,123,123,100,91,-1144,2.01162989484715,34335.2626969507
"2043/2044",2044,123,123,100,102,-1180.5,2.01712256945407,34667.2536318712
"2044/2045",2045,123,123,100,47,-1397,2.01743814216724,35801.0608578697
"2045/2046",2046,123,123,100,71,-1488,4.48221489143526,35968.3380530057
"2046/2047",2047,123,123,100,80,-1268,1.00765446157857,34117.3425396178
"2047/2048",2048,123,123,100,121,-1141,2.00317126577218,34044.9403577223
"2048/2049",2049,123,123,100,196,-840.5,9.61506491981669,32198.6229297798
"2049/2050",2050,123,123,100,307,-930.5,9.82240429788362,31343.5657216106
"2050/2051",2051,123,123,100,161,-933,7.53885118931902,32581.3446551468
"2051/2052",2052,123,123,100,142,-766.5,6.18379573479581,31997.3189768894
"2052/2053",2053,123,123,100,191,-862.5,5.03270990062265,32804.8350065025
