"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,122,-1082,5.94297606667059,33888.5762842526
"2000/2001",2001,123,123,100,122,-1244,3.36500712169081,35077.472119348
"2001/2002",2002,123,123,100,115,-1135.5,2.78453971154115,34632.415174834
"2002/2003",2003,123,123,100,142,-1015.5,7.88592802792455,33711.1125656001
"2003/2004",2004,123,123,100,111,-1105.5,4.00247975490762,35064.2274950739
"2004/2005",2005,123,123,100,68,-1145,5.03057961520334,33865.4960896344
"2005/2006",2006,123,123,100,125,-1183.5,5.06662161897323,34898.9356163817
"2006/2007",2007,123,123,100,111,-1017.5,8.52150784429865,33354.3096388769
"2007/2008",2008,123,123,100,118,-1240.5,4.93522770989916,33304.565820962
"2008/2009",2009,123,123,100,176,-1111.5,3.96421628185298,34099.7362637476
"2009/2010",2010,123,123,100,122,-903,6.99841093563347,33266.4332814009
"2010/2011",2011,123,123,100,60,-1380.5,0.990248514842975,36323.1380589448
"2011/2012",2012,123,123,100,152,-1048.5,6.71482731757883,33340.2157857106
"2012/2013",2013,123,123,100,148,-924,7.98360204579268,33488.1393507523
"2013/2014",2014,123,123,100,117,-1270,3.15801423404741,35117.1432811508
"2014/2015",2015,123,123,100,122,-1115,2.96928771928314,33459.24050592
"2015/2016",2016,123,123,100,82,-1296.5,0,34973.7186080641
"2016/2017",2017,123,123,100,72,-1531,0.759431490958065,35441.5527863649
"2017/2018",2018,123,123,100,66,-1428,1.55569238702864,36020.9851106075
"2018/2019",2019,123,123,100,210,-889,9.73282146137291,32300.1191965209
"2019/2020",2020,123,123,100,112,-1118.5,3.2334694660273,34050.6853400185
"2020/2021",2021,123,123,100,80,-1065.5,5.01818607060628,34003.1959717288
"2021/2022",2022,123,123,100,88,-1318.5,2.9973842586522,34492.5916633066
"2022/2023",2023,123,123,100,79,-1464,5.04879303544443,36393.58134828
"2023/2024",2024,123,123,100,159,-915,2.02587913948808,32268.8253106107
"2024/2025",2025,123,123,100,112,-1204,5.7275889148838,34226.7328026821
"2025/2026",2026,123,123,100,122,-1226.5,6.04384126968316,34487.802676985
"2026/2027",2027,123,123,100,65,-1279,0,34677.5618712292
"2027/2028",2028,123,123,100,94,-1250.5,3.03000347740394,34243.7393716206
"2028/2029",2029,123,123,100,131,-977,4.98796523974178,34111.8902645847
"2029/2030",2030,123,123,100,95,-1387.5,1.8540470371027,34799.0440549562
"2030/2031",2031,123,123,100,127,-1046.5,5.64524708115007,33683.1500366414
"2031/2032",2032,123,123,100,81,-1371,0.951042069264872,36306.7916620397
"2032/2033",2033,123,123,100,135,-842,6.64804131659156,32944.9159207144
"2033/2034",2034,123,123,100,115,-1107,2.86356403982418,33723.6977412095
"2034/2035",2035,123,123,100,35,-1470,1.01401749168602,36012.711827992
"2035/2036",2036,123,123,100,57,-1350.5,5.80023843305347,36605.5639398587
"2036/2037",2037,123,123,100,122,-1140,6.01267388071687,33053.2525400934
"2037/2038",2038,123,123,100,143,-881,4.99670596945552,32154.3401052123
"2038/2039",2039,123,123,100,55,-1288,0,34746.3346344731
"2039/2040",2040,123,123,100,93,-1254,1.00144672488747,34883.7003568294
"2040/2041",2041,123,123,100,80,-1181,2.94805866935246,34742.9008491775
"2041/2042",2042,123,123,100,122,-1068.5,5.0747762376117,33711.0037120963
"2042/2043",2043,123,123,100,72,-1235.5,2.01497257238407,35156.5850029048
"2043/2044",2044,123,123,100,75,-1260.5,3.02837557506317,35317.6755315987
"2044/2045",2045,123,123,100,33,-1471.5,2.0148274186804,36573.7910734871
"2045/2046",2046,123,123,100,60,-1559.5,3.71098835627845,36591.8150724117
"2046/2047",2047,123,123,100,54,-1357,1.01316491331178,35001.1051163021
"2047/2048",2048,123,123,100,109,-1213,1.01021278040969,34722.3341108272
"2048/2049",2049,123,123,100,153,-927.5,8.93357846184048,33011.3634499228
"2049/2050",2050,123,123,100,295,-988,11.5015884309076,32042.9871839583
"2050/2051",2051,123,123,100,126,-1005,8.77376456064746,33350.6820348715
"2051/2052",2052,123,123,100,115,-845,5.54735814238305,32806.8891106574
"2052/2053",2053,123,123,100,160,-937,5.05124597726467,33586.4428267842
"2053/2054",2054,123,123,100,80,-1077.5,3.96720382581924,33922.2728459807
"2054/2055",2055,123,123,100,105,-1058,1.44407310846933,34080.6487170262
"2055/2056",2056,123,123,100,183,-902.5,4.45317270566994,33707.1991649596
"2056/2057",2057,123,123,100,78,-925,7.41367594335918,33657.8414519038
"2057/2058",2058,123,123,100,185,-916.5,1.07691254995547,32752.4262398798
"2058/2059",2059,123,123,100,74,-1135,1.98788437337157,34133.1176905166
"2059/2060",2060,123,123,100,178,-1055.5,4.9593687195914,33209.5961658722
"2060/2061",2061,123,123,100,125,-1225,2.28115038769511,35682.0100540621
"2061/2062",2062,123,123,100,125,-979,5.73273375827364,34492.0228266986
"2062/2063",2063,123,123,100,78,-1164.5,3.02236745315111,34284.7538439929
"2063/2064",2064,123,123,100,181,-876.5,7.10526590233104,32799.5309371632
"2064/2065",2065,123,123,100,61,-1276,2.43214201116473,34683.6870038547
"2065/2066",2066,123,123,100,131,-1139.5,3.98621166733096,33378.7373300856
"2066/2067",2067,123,123,100,122,-1065,1.76900434160865,34456.9150393279
"2067/2068",2068,123,123,100,82,-1254.5,2.82707894747517,34617.1322175227
"2068/2069",2069,123,123,100,84,-1439,1.00180090597922,34861.8830614025
"2069/2070",2070,123,123,100,73,-1293,2.93574739442499,35324.1578308055
"2070/2071",2071,123,123,100,145,-840.5,6.2564619907738,33077.0073019937
"2071/2072",2072,123,123,100,139,-980.5,6.24081479764044,33643.3968166281
"2072/2073",2073,123,123,100,223,-735.5,9.54987877300152,31041.9830853911
"2073/2074",2074,123,123,100,165,-566,7.60159235926307,31549.8237450114
"2074/2075",2075,123,123,100,104,-896,6.32672717932962,33937.3267320339
"2075/2076",2076,123,123,100,92,-1159,3.95664673674304,34711.7712392053
"2076/2077",2077,123,123,100,74,-1220.5,4.02165856839332,33978.8481875481
"2077/2078",2078,123,123,100,156,-989.5,5.59495427541577,33939.1498630596
"2078/2079",2079,123,123,100,88,-1054,3.53701151343938,33951.2206463795
"2079/2080",2080,123,123,100,127,-1115,3.01136246106398,34451.4861056702
"2080/2081",2081,123,123,100,169,-793,6.86688152182711,32490.2924235519
"2081/2082",2082,123,123,100,186,-866.5,7.66280543462079,33106.463698674
"2082/2083",2083,123,123,100,85,-1147,3.31520979477307,34717.4983886406
"2083/2084",2084,123,123,100,56,-1128.5,1.99336834972769,33807.1181210224
"2084/2085",2085,123,123,100,115,-1081.5,7.85576353084883,33219.7057172805
"2085/2086",2086,123,123,100,50,-1457,2.09742000453815,36017.9818979297
"2086/2087",2087,123,123,100,214,-681.5,6.95499784892758,30726.5274027493
"2087/2088",2088,123,123,100,126,-1178,6.21065923749137,34511.1184169557
"2088/2089",2089,123,123,100,167,-945,11.9300593254587,32577.9024267495
"2089/2090",2090,123,123,100,86,-1159,1.67422725024659,34849.8515376486
"2090/2091",2091,123,123,100,55,-1130.5,0.995399047813748,35642.8827852271
"2091/2092",2092,123,123,100,173,-1027.5,7.53778732717393,33398.016141111
"2092/2093",2093,123,123,100,53,-1598,5.00080245731914,36340.3405614942
"2093/2094",2094,123,123,100,27,-1503,0,37205.4169293307
"2094/2095",2095,123,123,100,127,-1041,4.00213311797324,33339.3701953944
"2095/2096",2096,123,123,100,94,-923.5,2.01806387468469,34192.9151314124
"2096/2097",2097,123,123,100,65,-1299,1.8122403511544,35438.6329609789
"2097/2098",2098,123,123,100,57,-1295,3.01977424453872,35820.9925963469
"2098/2099",2099,123,123,100,167,-913,8.71445312882889,32701.9705037139
"2099/2100",2100,123,123,100,52,-1394,2.91811751522158,35733.3018856999
