"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,998,1761.5,83.7947651041578,11841.3887003655
"2000/2001",2001,123,123,100,827,1691.5,81.5426775216993,12615.133335893
"2001/2002",2002,123,123,100,898,1680.5,82.6702777507122,12111.1686759902
"2002/2003",2003,123,123,100,1007,1767.5,83.8049515490675,11446.093976616
"2003/2004",2004,123,123,100,986,1781,82.4977717092504,11564.3273047421
"2004/2005",2005,123,123,100,951,1749.5,82.0898917512891,12070.6028212769
"2005/2006",2006,123,123,100,907,1672,79.8181362323619,12413.335670398
"2006/2007",2007,123,123,100,1024,1726.5,80.4804912777158,11823.6363944012
"2007/2008",2008,123,123,100,829,1495,74.2917594341134,14024.5379275593
"2008/2009",2009,123,123,100,946,1637.5,80.2137959815309,12335.0263623921
"2009/2010",2010,123,123,100,1100,1915.5,85.3195375281582,10262.559795511
"2010/2011",2011,123,123,100,717,1755,86.192084248494,12275.7430606676
"2011/2012",2012,123,123,100,913,1711.5,83.5517769374421,11741.7217239413
"2012/2013",2013,123,123,100,1048,1842,84.8189178487537,10502.3557061951
"2013/2014",2014,123,123,100,912,1690,83.152264423733,12464.7777294279
"2014/2015",2015,123,123,100,990,1680,82.0499566827498,12323.9919539285
"2015/2016",2016,123,123,100,829,1676.5,79.8281953944359,12731.0247354445
"2016/2017",2017,123,123,100,682,1450.5,75.3725736662955,14807.7137707239
"2017/2018",2018,123,123,100,775,1634.5,78.3756402064942,13404.2032455609
"2018/2019",2019,123,123,100,1014,1700.5,80.4650815654718,11375.7821571238
"2019/2020",2020,123,123,100,900,1762.5,85.020616171591,11596.2861763497
"2020/2021",2021,123,123,100,989,1793.5,84.6515027439095,11861.2855851271
"2021/2022",2022,123,123,100,782,1608.5,78.8504578769521,13319.0606960692
"2022/2023",2023,123,123,100,716,1584.5,79.3889087031389,13547.3482049776
"2023/2024",2024,123,123,100,1048,1707.5,81.3347486926687,11706.6096246052
"2024/2025",2025,123,123,100,886,1550,75.9991680546113,13579.3888497946
