"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,974,1743,80.8650921400132,12123.4088161046
"2000/2001",2001,123,123,100,804,1631,80.4769801071853,12946.0456274785
"2001/2002",2002,123,123,100,858,1648.5,84.9280660802043,12426.2502819706
"2002/2003",2003,123,123,100,1003,1741,83.2233678937579,11726.2207466156
"2003/2004",2004,123,123,100,969,1740,83.2074894746675,11885.2168703031
"2004/2005",2005,123,123,100,944,1708.5,83.306788033622,12438.3018841254
"2005/2006",2006,123,123,100,866,1646,79.653961528085,12734.7515807266
"2006/2007",2007,123,123,100,1010,1703,79.8223412887721,12025.8388750959
"2007/2008",2008,123,123,100,812,1478,75.6607969661405,14314.6787390207
"2008/2009",2009,123,123,100,931,1593.5,79.7241059316905,12592.0615142821
"2009/2010",2010,123,123,100,1080,1880.5,85.6032677928172,10553.6572633437
"2010/2011",2011,123,123,100,716,1688,86.1106969336706,12724.3608941737
"2011/2012",2012,123,123,100,889,1666.5,83.9057394205445,12122.7186834888
"2012/2013",2013,123,123,100,1024,1813,85.204480023174,10814.4553514882
"2013/2014",2014,123,123,100,892,1631.5,81.585192222306,12850.9530347786
"2014/2015",2015,123,123,100,967,1645.5,81.7167929409979,12649.0753545694
"2015/2016",2016,123,123,100,822,1609.5,81.0194415890683,13117.5531343883
"2016/2017",2017,123,123,100,681,1413,75.3169167394394,15206.2476632134
"2017/2018",2018,123,123,100,769,1583,78.2772056747308,13741.1108217251
"2018/2019",2019,123,123,100,991,1669.5,79.4690221340898,11669.9293762124
"2019/2020",2020,123,123,100,892,1706.5,86.010345886496,11983.4204836709
"2020/2021",2021,123,123,100,959,1758.5,83.2392354342446,12116.7258544322
"2021/2022",2022,123,123,100,766,1558.5,79.3850170272758,13739.8450857326
"2022/2023",2023,123,123,100,694,1538.5,79.1229211199543,13885.9854438023
"2023/2024",2024,123,123,100,1028,1666.5,80.3223053443835,12072.0040790988
"2024/2025",2025,123,123,100,855,1522.5,78.1679213492425,13811.3508011026
"2025/2026",2026,123,123,100,935,1583.5,81.739802077228,13030.1512165952
"2026/2027",2027,123,123,100,902,1668,81.1854784544316,12991.9867900428
"2027/2028",2028,123,123,100,846,1521,75.9678667558474,13900.50692036
"2028/2029",2029,123,123,100,1005,1866.5,85.9003119796403,10859.8980707657
"2029/2030",2030,123,123,100,778,1482.5,78.3538741853422,14286.1796909673
"2030/2031",2031,123,123,100,946,1761,81.5633824680699,11798.8255016813
"2031/2032",2032,123,123,100,735,1682.5,83.4753852125386,12637.7101822295
"2032/2033",2033,123,123,100,1104,1907,87.385290009131,10150.6323276493
"2033/2034",2034,123,123,100,913,1656.5,79.4306116359421,12571.841077032
"2034/2035",2035,123,123,100,762,1574.5,80.3296589175261,14117.2376436004
"2035/2036",2036,123,123,100,811,1746,85.0353150446663,12354.3242109632
"2036/2037",2037,123,123,100,947,1553.5,75.7387524430251,13702.7775151432
"2037/2038",2038,123,123,100,1025,1796.5,85.5354167573923,11089.6515072095
"2038/2039",2039,123,123,100,834,1616,80.1280369799151,13488.1619352563
"2039/2040",2040,123,123,100,851,1636,82.5132708871633,12860.2440787298
"2040/2041",2041,123,123,100,937,1707,79.6834410864967,12571.8537378474
"2041/2042",2042,123,123,100,949,1782.5,84.6100852808058,11811.9971080748
"2042/2043",2043,123,123,100,870,1671,81.6673229724856,12857.4826394706
"2043/2044",2044,123,123,100,863,1684.5,79.8383139950329,12754.6789856493
"2044/2045",2045,123,123,100,697,1650,80.788101011326,13550.2255847915
"2045/2046",2046,123,123,100,655,1499.5,77.4000321264457,14590.8229138264
"2046/2047",2047,123,123,100,796,1571.5,78.9956230535481,13919.03345775
"2047/2048",2048,123,123,100,817,1634.5,82.3543927881447,12660.8476929548
"2048/2049",2049,123,123,100,1064,1746,82.0191825872616,11682.903329778
"2049/2050",2050,123,123,100,919,1497.5,79.220856770824,12877.5254732515
"2050/2051",2051,123,123,100,1031,1702,82.3919729986756,11960.1702416074
"2051/2052",2052,123,123,100,1108,1888.5,86.2869400879927,10395.037364081
"2052/2053",2053,123,123,100,1014,1781.5,86.6896099886444,11213.9576539155
"2053/2054",2054,123,123,100,973,1788.5,83.2187688016675,11885.1336350534
"2054/2055",2055,123,123,100,975,1739,83.0107684293944,11707.2118605254
"2055/2056",2056,123,123,100,1036,1792.5,85.2919934405581,10754.8416880351
"2056/2057",2057,123,123,100,1103,1910.5,81.3028942988749,10759.244048777
