"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,941,1572.5,78.9656837999492,12731.9201465266
"2000/2001",2001,123,123,100,786,1465.5,77.4983184190504,13639.2753315555
"2001/2002",2002,123,123,100,800,1502.5,80.2670974440388,13149.3640043211
"2002/2003",2003,123,123,100,965,1554,79.8707250877998,12365.6495452475
"2003/2004",2004,123,123,100,958,1597.5,80.9410420730978,12420.7659196843
"2004/2005",2005,123,123,100,921,1549.5,79.0872215628733,13141.9472342811
"2005/2006",2006,123,123,100,822,1474,74.6786152146369,13441.6901620849
"2006/2007",2007,123,123,100,988,1592.5,77.2296894268125,12544.8039776782
"2007/2008",2008,123,123,100,758,1358,74.9713462780426,15105.9881132557
"2008/2009",2009,123,123,100,908,1425,75.5358124660486,13350.6891164681
"2009/2010",2010,123,123,100,1038,1700.5,81.6763873068037,11249.5999341477
"2010/2011",2011,123,123,100,683,1534,82.0745187013238,13561.9637165143
"2011/2012",2012,123,123,100,844,1529.5,78.4332570455933,12945.2708176549
"2012/2013",2013,123,123,100,988,1623,83.3864072471094,11557.1562594457
"2013/2014",2014,123,123,100,835,1469.5,79.0940112630594,13510.8931171205
"2014/2015",2015,123,123,100,900,1508,78.8087586639299,13287.2418423139
"2015/2016",2016,123,123,100,813,1473.5,76.8910830650582,13854.5252745601
"2016/2017",2017,123,123,100,649,1248.5,69.6012774246014,16137.7606488087
"2017/2018",2018,123,123,100,760,1410.5,74.440030253973,14549.0436291965
"2018/2019",2019,123,123,100,980,1551.5,78.0035078107044,12171.5935822958
"2019/2020",2020,123,123,100,873,1549,80.8311114373578,12797.622176283
"2020/2021",2021,123,123,100,948,1594.5,78.7812991070805,12760.701496267
"2021/2022",2022,123,123,100,695,1411.5,75.3751022193928,14673.3419444819
"2022/2023",2023,123,123,100,660,1428,79.6289717130812,14587.1054600792
"2023/2024",2024,123,123,100,999,1468,78.1910038386604,12800.7921963353
"2024/2025",2025,123,123,100,796,1366,75.3531762765301,14565.0990985346
"2025/2026",2026,123,123,100,918,1461,76.8570299798462,13676.5002256299
"2026/2027",2027,123,123,100,896,1511,80.0249324488514,13633.1756653991
"2027/2028",2028,123,123,100,809,1355.5,73.4890824923514,14664.1767139495
"2028/2029",2029,123,123,100,982,1706,83.8581130590164,11477.4617978027
"2029/2030",2030,123,123,100,746,1333.5,76.1430883160569,15017.4427095545
"2030/2031",2031,123,123,100,923,1560,79.5399711922978,12604.8160876157
"2031/2032",2032,123,123,100,689,1563.5,79.1496186334848,13325.1283463244
