"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,899,1056.5,62.7616679836467,16709.5985920216
"2000/2001",2001,123,123,100,852,970,61.1274585954902,16607.6460217838
"2001/2002",2002,123,123,100,894,1127.5,67.1646633648884,16105.9746103931
"2002/2003",2003,123,123,100,829,937.5,58.7292504696537,17623.4215037064
"2003/2004",2004,123,123,100,875,970,61.3557979760374,17558.5250539674
"2004/2005",2005,123,123,100,985,1101.5,62.4987926285592,16114.6795802581
"2005/2006",2006,123,123,100,906,960,58.3767095014344,17112.4680911279
"2006/2007",2007,123,123,100,895,1100,60.1167195407945,16986.4024226479
"2007/2008",2008,123,123,100,1109,1276.5,68.501537538257,13764.0900130087
"2008/2009",2009,123,123,100,885,1001.5,63.0091643398417,17013.0626514428
"2009/2010",2010,123,123,100,873,913,55.6469908854081,18375.007746469
"2010/2011",2011,123,123,100,986,1031.5,59.5230741239833,16122.9588993604
"2011/2012",2012,123,123,100,874,959.5,61.1473676556826,17674.18768436
"2012/2013",2013,123,123,100,728,861,55.9233632136495,18644.9002614878
"2013/2014",2014,123,123,100,955,1063.5,64.3153372257955,15956.0770938375
"2014/2015",2015,123,123,100,950,1181,66.6501474524878,15441.2317937037
"2015/2016",2016,123,123,100,965,1235,70.3056004596826,14658.6776790165
"2016/2017",2017,123,123,100,1127,1275.5,70.7469426228747,12901.1131703109
"2017/2018",2018,123,123,100,958,961,63.3319438371307,15744.0264500168
"2018/2019",2019,123,123,100,815,986.5,60.3345945287981,17800.9084372409
"2019/2020",2020,123,123,100,986,1034,62.9586127700541,16268.3643572149
"2020/2021",2021,123,123,100,949,1046.5,61.0316122422721,16734.8511405864
"2021/2022",2022,123,123,100,1036,1184.5,67.7157902731265,14671.7907541133
"2022/2023",2023,123,123,100,1015,1082,68.2804200443597,15514.9967283206
"2023/2024",2024,123,123,100,914,1155,64.635141473487,16045.944419303
"2024/2025",2025,123,123,100,1071,1224.5,66.4441633504557,14762.7114991364
"2025/2026",2026,123,123,100,912,1123,66.0021034870128,15624.4192676512
"2026/2027",2027,123,123,100,902,1224.5,71.4816215344449,14842.9636213444
"2027/2028",2028,123,123,100,1093,1235.5,69.8151152497503,14370.854943994
"2028/2029",2029,123,123,100,830,887,54.1422525004195,18537.7314813035
"2029/2030",2030,123,123,100,1075,1351.5,71.4316959499288,13504.2241630824
"2030/2031",2031,123,123,100,906,906,57.5441990068575,17383.2918704385
"2031/2032",2032,123,123,100,1019,1091,60.3727727456603,16090.708996838
"2032/2033",2033,123,123,100,751,794.5,53.7853736171573,19372.9128482523
"2033/2034",2034,123,123,100,1002,1199.5,64.6562233867298,15659.4471838796
"2034/2035",2035,123,123,100,1017,1217.5,67.9595702322085,14398.2394959168
"2035/2036",2036,123,123,100,890,957.5,59.2263389545446,17127.4755950151
"2036/2037",2037,123,123,100,1094,1319.5,69.5376831676076,14245.1474869973
"2037/2038",2038,123,123,100,781,872.5,52.5307843284031,18159.6625662651
"2038/2039",2039,123,123,100,1036,1276,69.1126553249742,14408.1474735346
"2039/2040",2040,123,123,100,1016,1105.5,64.3946104530514,15703.4804336242
