"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,869,1081.5,60.9690896572139,16773.8386252135
"2000/2001",2001,123,123,100,854,997,62.9082259451585,16615.0043117121
"2001/2002",2002,123,123,100,876,1164,67.1209133427685,16109.4064410942
"2002/2003",2003,123,123,100,806,957,58.0798085115754,17731.6271921077
"2003/2004",2004,123,123,100,843,1012.5,61.5273259178562,17606.2170149966
"2004/2005",2005,123,123,100,942,1130.5,64.9311589488767,16158.925638851
"2005/2006",2006,123,123,100,877,983.5,58.9604591030575,17226.1368085882
"2006/2007",2007,123,123,100,856,1133,61.7415066321846,17017.9042403661
"2007/2008",2008,123,123,100,1111,1328,71.5635726298781,13753.9936411496
"2008/2009",2009,123,123,100,857,1015.5,64.9727868795765,17097.1177798357
"2009/2010",2010,123,123,100,844,955.5,56.7547960537391,18420.398043516
"2010/2011",2011,123,123,100,969,1077.5,64.2850732313133,16110.3012584834
"2011/2012",2012,123,123,100,874,1004.5,61.1653114222145,17657.6870986768
"2012/2013",2013,123,123,100,714,910,60.4557042607685,18629.8513711614
"2013/2014",2014,123,123,100,940,1107.5,63.8548441559906,15902.6350014023
"2014/2015",2015,123,123,100,934,1233.5,67.4405911455435,15394.8305394272
"2015/2016",2016,123,123,100,951,1258.5,69.4063874253529,14586.4467282111
"2016/2017",2017,123,123,100,1141,1340.5,72.4286213943942,12792.466796607
"2017/2018",2018,123,123,100,965,1004.5,64.1460969094055,15687.4085712261
"2018/2019",2019,123,123,100,783,987.5,60.5942007793392,17917.5862443175
"2019/2020",2020,123,123,100,966,1083,63.2594361159406,16249.5012082802
"2020/2021",2021,123,123,100,937,1067.5,61.7914554387696,16837.0542528026
"2021/2022",2022,123,123,100,1056,1226,66.5985543316465,14625.3620549538
"2022/2023",2023,123,123,100,994,1122,67.121222433065,15463.8492270648
"2023/2024",2024,123,123,100,900,1193,64.7514164711508,16071.5828197207
"2024/2025",2025,123,123,100,1054,1249.5,68.8454314133269,14855.1542107621
"2025/2026",2026,123,123,100,898,1175.5,65.9125942270618,15604.090098578
"2026/2027",2027,123,123,100,873,1269,72.0007525510823,14758.5136239398
"2027/2028",2028,123,123,100,1068,1279,69.2231681791664,14373.3538395748
"2028/2029",2029,123,123,100,805,899,55.6954164417634,18641.3832519269
"2029/2030",2030,123,123,100,1049,1402,74.0940911344233,13439.0312183099
"2030/2031",2031,123,123,100,903,955.5,60.797352811177,17305.0340765067
"2031/2032",2032,123,123,100,1005,1133,60.8503473945921,16093.1875930103
"2032/2033",2033,123,123,100,740,840.5,53.3627629646962,19397.3641551798
"2033/2034",2034,123,123,100,958,1214,64.2857011682877,15737.5298051797
"2034/2035",2035,123,123,100,1012,1274.5,69.7572204692456,14304.8377573504
"2035/2036",2036,123,123,100,877,980.5,61.2488822289806,17182.6876496514
"2036/2037",2037,123,123,100,1083,1357.5,66.4943955884555,14281.403920759
"2037/2038",2038,123,123,100,754,895,55.2619322647079,18258.5027475357
"2038/2039",2039,123,123,100,1016,1306.5,69.1940457659698,14423.2376257805
"2039/2040",2040,123,123,100,989,1151,64.5571974440759,15636.7924143416
"2040/2041",2041,123,123,100,959,1192.5,67.6343886381396,16046.5287785847
"2041/2042",2042,123,123,100,910,1104,62.9766098719051,16771.2564965445
"2042/2043",2043,123,123,100,1007,1252.5,68.5785391985382,15308.7732915757
"2043/2044",2044,123,123,100,836,1036,61.3893762694343,16532.2992786546
"2044/2045",2045,123,123,100,1099,1203,66.2864592562423,14901.8159642615
"2045/2046",2046,123,123,100,1049,1110,65.5185147586121,14936.7558848616
"2046/2047",2047,123,123,100,1081,1400.5,68.6803629267824,13573.8329943474
"2047/2048",2048,123,123,100,864,1021,62.1088522125924,16467.6973465532
