"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,923,1048,61.891546508526,16600.4030137671
"2000/2001",2001,123,123,100,874,973,63.7371581652657,16403.4907492609
"2001/2002",2002,123,123,100,902,1131,68.339105755617,15989.8769071668
"2002/2003",2003,123,123,100,847,928.5,59.054203636484,17493.2744314955
"2003/2004",2004,123,123,100,881,994.5,59.8818160578612,17324.5601442835
"2004/2005",2005,123,123,100,993,1105,62.8228049350715,15940.8544462076
"2005/2006",2006,123,123,100,920,949.5,56.0599405152257,17029.1008772982
"2006/2007",2007,123,123,100,920,1104.5,61.2955228033034,16841.3009174401
"2007/2008",2008,123,123,100,1157,1274,69.7177565161154,13673.1132018658
"2008/2009",2009,123,123,100,897,976.5,62.2932773471699,16968.292342146
"2009/2010",2010,123,123,100,884,927,57.6493205449243,18145.3468324797
"2010/2011",2011,123,123,100,1004,1042.5,60.2764362172067,15970.3466756684
"2011/2012",2012,123,123,100,907,964,59.5484417523492,17515.3383038142
"2012/2013",2013,123,123,100,750,894,55.94534187106,18396.5351664964
"2013/2014",2014,123,123,100,964,1066.5,66.2666060640553,15796.952454031
"2014/2015",2015,123,123,100,973,1195.5,67.7651669899831,15251.4809992851
"2015/2016",2016,123,123,100,983,1212,67.8999414629702,14536.9831636858
"2016/2017",2017,123,123,100,1124,1300,73.1848638653362,12726.2166895545
"2017/2018",2018,123,123,100,966,966,64.5247855261398,15577.3544271544
"2018/2019",2019,123,123,100,820,996.5,60.3784876209643,17642.6065514199
"2019/2020",2020,123,123,100,1015,1051,65.0538310440149,16031.7711532344
"2020/2021",2021,123,123,100,988,1039.5,60.565433254289,16647.0739747265
"2021/2022",2022,123,123,100,1069,1188,65.6609648446172,14543.7709890003
"2022/2023",2023,123,123,100,1023,1066,64.9803783711427,15394.3656437809
"2023/2024",2024,123,123,100,946,1170,63.3460552910581,15857.1336499476
"2024/2025",2025,123,123,100,1080,1223.5,69.6212036876907,14693.7269030195
"2025/2026",2026,123,123,100,931,1129,66.9953028948803,15512.4669946693
"2026/2027",2027,123,123,100,926,1237,70.4645010013164,14651.7632931937
"2027/2028",2028,123,123,100,1103,1227,67.630609383883,14281.0224340227
"2028/2029",2029,123,123,100,859,885,55.2745378590862,18392.8531871503
"2029/2030",2030,123,123,100,1089,1344,70.7135089873454,13413.5440817466
"2030/2031",2031,123,123,100,920,922,59.7301112538476,17185.6129977428
"2031/2032",2032,123,123,100,1047,1108.5,60.0740192114567,15866.8118437314
"2032/2033",2033,123,123,100,776,835,52.7493702277593,19102.8778765388
"2033/2034",2034,123,123,100,1009,1183,67.1597796372425,15573.6211937424
"2034/2035",2035,123,123,100,1039,1216.5,67.5565966711456,14267.7079040636
"2035/2036",2036,123,123,100,914,937,56.6838647957043,16995.466416548
"2036/2037",2037,123,123,100,1114,1309.5,71.5145758839471,14124.6355712488
"2037/2038",2038,123,123,100,799,896.5,54.3003125906321,17922.1920680259
"2038/2039",2039,123,123,100,1053,1263,65.8881269188978,14300.2159434063
"2039/2040",2040,123,123,100,1023,1105.5,64.0546503775186,15548.8637136105
"2040/2041",2041,123,123,100,1011,1157.5,64.8619733394585,15926.1295654667
"2041/2042",2042,123,123,100,952,1073,60.7173808336024,16627.3209802238
"2042/2043",2043,123,123,100,1047,1236.5,66.2824066465832,15112.4414030267
"2043/2044",2044,123,123,100,877,987.5,61.02812093177,16417.0459482213
"2044/2045",2045,123,123,100,1130,1145.5,66.5643031463974,14898.2312496617
"2045/2046",2046,123,123,100,1057,1052.5,61.3771941816599,14813.2233739397
"2046/2047",2047,123,123,100,1117,1373,71.2768567842013,13483.9163234597
"2047/2048",2048,123,123,100,887,986.5,59.2645576866285,16309.3806383964
"2048/2049",2049,123,123,100,828,922.5,56.7160550592821,17913.6258164505
"2049/2050",2050,123,123,100,874,993,59.1622996762744,16681.5900918618
"2050/2051",2051,123,123,100,897,990,58.4971825445923,16907.9529978624
"2051/2052",2052,123,123,100,861,951.5,55.0847023340116,18645.5154866744
"2052/2053",2053,123,123,100,886,861.5,56.700347383819,17717.9756591432
"2053/2054",2054,123,123,100,972,950.5,59.1411966484516,17356.9708375642
"2054/2055",2055,123,123,100,943,1065,61.2362744352313,16811.6330765076
"2055/2056",2056,123,123,100,799,884,58.7535013445931,18689.7091598185
"2056/2057",2057,123,123,100,882,920.5,56.3219992158984,18327.5346618714
"2057/2058",2058,123,123,100,827,1021.5,63.9424805872677,17363.4156214045
"2058/2059",2059,123,123,100,943,1257,64.9335603305808,15402.1859315559
"2059/2060",2060,123,123,100,950,1161.5,66.1038752665709,16036.4263475798
"2060/2061",2061,123,123,100,822,964.5,58.8967973268182,17243.7586928057
"2061/2062",2062,123,123,100,815,877,54.1836259048578,18928.5573556889
"2062/2063",2063,123,123,100,1056,1200.5,64.9017582557399,15155.4628865309
"2063/2064",2064,123,123,100,774,874.5,54.7092521685627,18775.0951571064
"2064/2065",2065,123,123,100,1085,1310.5,68.357423237715,14335.6258792011
"2065/2066",2066,123,123,100,965,1242,71.5277423885491,14576.7011068789
"2066/2067",2067,123,123,100,893,982,58.0490354374924,17680.1535792975
"2067/2068",2068,123,123,100,968,1144.5,63.4208355427645,15427.9604984131
"2068/2069",2069,123,123,100,1137,1415.5,74.4450556170004,12472.2977408031
"2069/2070",2070,123,123,100,1022,1197.5,69.4086872174566,15124.0124639319
"2070/2071",2071,123,123,100,847,914.5,57.2646520919725,18624.7237314275
"2071/2072",2072,123,123,100,795,926.5,59.2483974431962,17796.299116917
"2072/2073",2073,123,123,100,896,1168.5,66.3016564099407,16811.2250633938
"2073/2074",2074,123,123,100,673,762.5,52.9209372890664,20433.5842896178
"2074/2075",2075,123,123,100,826,941,55.7013112370614,18396.5097861569
"2075/2076",2076,123,123,100,911,1090,65.2408598109332,16237.3549048873
"2076/2077",2077,123,123,100,936,1148,63.5825966741741,15052.4802187122
"2077/2078",2078,123,123,100,840,896,54.4902099163755,18522.3139730431
"2078/2079",2079,123,123,100,916,1039,60.6663793370462,16584.7267827261
"2079/2080",2080,123,123,100,999,1146,65.6348474645365,15904.4184002923
"2080/2081",2081,123,123,100,781,874,57.52724220851,18837.0983783733
"2081/2082",2082,123,123,100,815,918.5,58.7990940520258,18051.5869854679
"2082/2083",2083,123,123,100,968,1035.5,57.6263485217178,16418.3659160947
"2083/2084",2084,123,123,100,1008,1301.5,70.101525120097,14707.8648987804
"2084/2085",2085,123,123,100,916,1177.5,63.4259838360613,14936.5904785842
"2085/2086",2086,123,123,100,1036,1190.5,66.5236339980138,14309.7528263824
"2086/2087",2087,123,123,100,862,1134,64.0559486632528,16818.008322143
"2087/2088",2088,123,123,100,925,957,58.9864861055648,17014.1310015842
"2088/2089",2089,123,123,100,840,803,55.6872358594901,18459.6740993131
"2089/2090",2090,123,123,100,933,1143.5,65.8910923940266,16299.4684973918
"2090/2091",2091,123,123,100,878,881,54.4216700557054,18349.7075820249
"2091/2092",2092,123,123,100,934,1091,59.6281746279574,16660.1404976901
"2092/2093",2093,123,123,100,1100,1090,64.5630632829398,13901.6078094989
"2093/2094",2094,123,123,100,1065,1092,63.8524523007545,15582.95787834
"2094/2095",2095,123,123,100,942,1106.5,62.9039850404451,16506.0432656705
"2095/2096",2096,123,123,100,873,904,52.3710844762745,19010.5463230833
"2096/2097",2097,123,123,100,934,1126.5,65.7390494273659,15317.1577317677
"2097/2098",2098,123,123,100,958,930,58.620878692117,17201.3010625802
"2098/2099",2099,123,123,100,882,890,54.5150240097892,17747.2182976119
"2099/2100",2100,123,123,100,1024,1260.5,70.1990276013203,14450.5565947834
