"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,895,1039,60.0841080968048,16977.7461602872
"2000/2001",2001,123,123,100,853,940,62.228311691372,16809.375597269
"2001/2002",2002,123,123,100,883,1101.5,65.3563743953201,16387.2202637201
"2002/2003",2003,123,123,100,822,907.5,58.3289287151981,17940.2762514974
"2003/2004",2004,123,123,100,857,952,60.4382537737754,17787.1388364553
"2004/2005",2005,123,123,100,966,1064.5,60.7460118160989,16324.035466601
"2005/2006",2006,123,123,100,896,932,58.7606909108381,17359.1334867808
"2006/2007",2007,123,123,100,902,1085.5,60.396920283911,17169.5172203375
"2007/2008",2008,123,123,100,1111,1258.5,68.328223036669,14002.4035216521
"2008/2009",2009,123,123,100,871,954,61.7082119445181,17333.5442356304
"2009/2010",2010,123,123,100,867,895.5,57.5420828653444,18584.5229973354
"2010/2011",2011,123,123,100,976,1009,62.8078501097941,16375.3280908224
"2011/2012",2012,123,123,100,884,961.5,59.1776165045161,17859.6798245611
"2012/2013",2013,123,123,100,730,851,55.8863300727952,18838.4115386594
"2013/2014",2014,123,123,100,941,1045,61.1584955933657,16205.6950695044
"2014/2015",2015,123,123,100,949,1162.5,67.847059101475,15650.7743238346
"2015/2016",2016,123,123,100,962,1191,68.183514972726,14911.1098944184
"2016/2017",2017,123,123,100,1102,1263.5,70.0617285097953,13119.7546947566
"2017/2018",2018,123,123,100,958,930,61.8234363084071,15978.7602700174
"2018/2019",2019,123,123,100,808,956.5,57.7682115442085,18050.2569017587
"2019/2020",2020,123,123,100,968,1022.5,63.6391002824773,16507.080616907
"2020/2021",2021,123,123,100,946,1010,58.4283082766719,17042.2179038378
"2021/2022",2022,123,123,100,1043,1153.5,65.5096817594019,14883.752725858
"2022/2023",2023,123,123,100,1004,1035,66.1184400672082,15750.5030869986
"2023/2024",2024,123,123,100,905,1121.5,63.6889699077026,16274.3887601937
"2024/2025",2025,123,123,100,1070,1200.5,64.7763348818764,15014.6392340707
"2025/2026",2026,123,123,100,909,1111,63.6773063817118,15895.3680896922
"2026/2027",2027,123,123,100,896,1201,70.4684880663308,15057.311528679
"2027/2028",2028,123,123,100,1080,1223.5,68.5617033710855,14590.4221607959
"2028/2029",2029,123,123,100,834,847,51.3102806633588,18807.8650789722
"2029/2030",2030,123,123,100,1063,1326.5,71.8616594329283,13736.4144623606
"2030/2031",2031,123,123,100,900,889,58.8368026618268,17532.5992365484
"2031/2032",2032,123,123,100,1007,1071,61.0196246394617,16330.7045718813
"2032/2033",2033,123,123,100,760,784.5,51.1256372557095,19561.2968118368
"2033/2034",2034,123,123,100,995,1158,63.1562147111367,15947.9624723829
"2034/2035",2035,123,123,100,1025,1191,68.9511622890986,14608.1771291476
"2035/2036",2036,123,123,100,895,918.5,55.2808142842355,17395.1579515003
"2036/2037",2037,123,123,100,1085,1293.5,66.7300844772631,14488.7009929563
"2037/2038",2038,123,123,100,773,854,55.2266937336985,18391.1199686583
"2038/2039",2039,123,123,100,1030,1249,68.0682021601674,14651.2287191572
"2039/2040",2040,123,123,100,995,1068,63.1206136418755,15957.6907336758
"2040/2041",2041,123,123,100,996,1127,64.3570749262935,16312.0373157319
"2041/2042",2042,123,123,100,929,1045,60.1436937383141,16986.9578331024
"2042/2043",2043,123,123,100,1018,1213.5,62.441726792074,15490.5563905812
"2043/2044",2044,123,123,100,856,957.5,61.3404699046896,16780.480975505
"2044/2045",2045,123,123,100,1098,1124.5,62.6918987977756,15226.2165428223
"2045/2046",2046,123,123,100,1029,1043.5,61.444737271243,15179.306326861
"2046/2047",2047,123,123,100,1085,1334,71.2962404715013,13869.8524897005
"2047/2048",2048,123,123,100,858,957,59.0147928837819,16679.4237415092
"2048/2049",2049,123,123,100,810,883.5,56.5147077271799,18372.9329770459
"2049/2050",2050,123,123,100,845,944,58.91330797315,17078.5393257625
"2050/2051",2051,123,123,100,873,930,57.1835513099531,17355.594140538
"2051/2052",2052,123,123,100,838,896,56.0650072776652,19085.4687579172
"2052/2053",2053,123,123,100,874,844.5,57.5730779451092,18076.7727650059
"2053/2054",2054,123,123,100,940,930,57.8752139999924,17761.5047875997
"2054/2055",2055,123,123,100,911,1037,60.7423157444032,17209.7434814544
"2055/2056",2056,123,123,100,783,845,54.5850947338358,19115.9568831595
"2056/2057",2057,123,123,100,878,892,55.8756430996591,18771.5106662344
"2057/2058",2058,123,123,100,800,981,61.7377707276992,17766.928352925
"2058/2059",2059,123,123,100,907,1203,66.97930235473,15756.6537250411
"2059/2060",2060,123,123,100,917,1112,64.4705347122208,16499.9489611005
"2060/2061",2061,123,123,100,800,919.5,57.8788471784092,17652.7369745374
"2061/2062",2062,123,123,100,786,834.5,51.3137174846106,19440.5773730054
"2062/2063",2063,123,123,100,1031,1175,64.1565616194803,15545.0108583551
"2063/2064",2064,123,123,100,742,833.5,53.5175171419687,19194.5041090492
"2064/2065",2065,123,123,100,1063,1276,70.0285960835845,14740.7103452589
"2065/2066",2066,123,123,100,942,1206.5,70.0695397464569,14987.7504310012
"2066/2067",2067,123,123,100,873,939.5,56.3225061099874,18139.5662470795
"2067/2068",2068,123,123,100,933,1116.5,63.0222536542569,15776.6236567833
"2068/2069",2069,123,123,100,1112,1387.5,75.1515419621064,12819.5513020745
"2069/2070",2070,123,123,100,992,1182.5,69.3166578355595,15494.8255687589
"2070/2071",2071,123,123,100,832,883,52.9477586315388,19066.3828418739
"2071/2072",2072,123,123,100,767,886,57.1744841141117,18175.0538724409
"2072/2073",2073,123,123,100,866,1133,66.0538865572216,17192.0287304316
