"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1026,1782,84.7408168705661,10696.3839788984
"2000/2001",2001,123,123,100,1071,1752,87.037366354719,10276.1694796847
"2001/2002",2002,123,123,100,1009,1848,88.9543950678996,10053.7705440503
"2002/2003",2003,123,123,100,964,1708,82.734191677014,11241.2677970424
"2003/2004",2004,123,123,100,1006,1762,84.5409164690049,10998.8432087217
"2004/2005",2005,123,123,100,1068,1852.5,86.3337280582386,10210.8579219788
"2005/2006",2006,123,123,100,1089,1771.5,85.7329725844024,10461.6477762862
"2006/2007",2007,123,123,100,1003,1828,86.7066369090211,10659.5025140019
"2007/2008",2008,123,123,100,1286,2024,90.3359608217083,8541.92686998029
"2008/2009",2009,123,123,100,1012,1724,86.4809611231944,10915.1401818787
"2009/2010",2010,123,123,100,1008,1737.5,84.365009098,11857.6849288089
"2010/2011",2011,123,123,100,1235,1841,85.2414860255249,9705.81686489249
"2011/2012",2012,123,123,100,1088,1773,84.4441499600464,10878.2714153219
"2012/2013",2013,123,123,100,906,1648,84.3801742211588,12097.6448350061
"2013/2014",2014,123,123,100,1115,1805.5,84.6419947931322,10075.7724717803
"2014/2015",2015,123,123,100,1072,1830.5,86.2081975556557,10344.7634333633
"2015/2016",2016,123,123,100,1059,1899,91.0520593416395,9451.18196548824
"2016/2017",2017,123,123,100,1317,1977,89.1468024966598,8056.24012510059
"2017/2018",2018,123,123,100,1197,1775,85.149084896464,9526.75612445036
"2018/2019",2019,123,123,100,927,1712.5,83.7768463017396,11625.0775879854
"2019/2020",2020,123,123,100,1071,1795.5,82.2369304480494,10897.6102560852
"2020/2021",2021,123,123,100,1102,1866,87.5872421855925,10273.4706887219
"2021/2022",2022,123,123,100,1232,1902.5,87.4084110056729,9198.16063733888
"2022/2023",2023,123,123,100,1237,1866,87.0369198985491,8997.33598193526
"2023/2024",2024,123,123,100,956,1815.5,83.9668128943426,11192.7770983977
"2024/2025",2025,123,123,100,1253,1976.5,88.1138943469878,8961.3578973054
"2025/2026",2026,123,123,100,996,1749.5,85.4807764401298,10189.2287927475
"2026/2027",2027,123,123,100,1001,1892.5,88.9795534216496,9642.11722004646
"2027/2028",2028,123,123,100,1143,1942,88.4144478532216,9095.26336052269
"2028/2029",2029,123,123,100,940,1684,82.5758647378593,11705.821022741
"2029/2030",2030,123,123,100,1152,1992,91.2494690586282,8789.10535398452
"2030/2031",2031,123,123,100,1072,1733,83.4815962443399,11213.6501230937
"2031/2032",2032,123,123,100,1248,1868.5,85.5995660543749,9819.36548985727
"2032/2033",2033,123,123,100,891,1660,82.9577500529576,12415.9902052744
"2033/2034",2034,123,123,100,1107,1868,85.1444319719349,10221.3508336539
"2034/2035",2035,123,123,100,1158,1922.5,90.2001893597871,8676.40024724556
"2035/2036",2036,123,123,100,1112,1787,87.8820810662501,10054.8137925123
"2036/2037",2037,123,123,100,1203,1988,88.9560516376268,9320.53370196279
"2037/2038",2038,123,123,100,917,1663.5,78.7107267532083,12112.3667174056
"2038/2039",2039,123,123,100,1140,1980,89.8479781830119,9081.28200722067
"2039/2040",2040,123,123,100,1106,1851.5,87.2132958989887,10013.6092459606
"2040/2041",2041,123,123,100,1107,1948,89.3489438461265,9726.48600746458
"2041/2042",2042,123,123,100,1030,1789.5,84.2037674214644,10966.5161874853
"2042/2043",2043,123,123,100,1099,1954.5,89.7993634968861,9464.86252177926
"2043/2044",2044,123,123,100,1038,1784.5,85.8963248741766,10082.6753266812
"2044/2045",2045,123,123,100,1280,1938,88.5769694915498,8902.7740913406
"2045/2046",2046,123,123,100,1379,1867.5,86.4061965908386,8450.03307143738
"2046/2047",2047,123,123,100,1183,2038.5,90.5267670857465,8592.11655026721
"2047/2048",2048,123,123,100,1056,1747,84.3598460496896,10479.9351511267
"2048/2049",2049,123,123,100,901,1727.5,84.341293230591,11338.7075002673
"2049/2050",2050,123,123,100,1039,1692,82.2655513866794,11260.8936417019
"2050/2051",2051,123,123,100,1002,1730,81.1286714964981,11198.2625407046
"2051/2052",2052,123,123,100,945,1740,82.6777300663553,12050.3738812255
"2052/2053",2053,123,123,100,979,1614.5,80.4844734562548,12033.2149541103
"2053/2054",2054,123,123,100,1120,1757.5,83.3253756018476,10772.5218154434
"2054/2055",2055,123,123,100,951,1818,85.5035128780773,10980.3243674892
"2055/2056",2056,123,123,100,876,1613,80.7645213035603,12486.0692508449
"2056/2057",2057,123,123,100,977,1694,81.0230255589104,11747.361626124
"2057/2058",2058,123,123,100,866,1689,82.7355889161217,12067.8247367362
"2058/2059",2059,123,123,100,1015,1930.5,87.1047802299199,9872.77486586897
"2059/2060",2060,123,123,100,954,1790.5,86.9032928984889,10836.3005104782
"2060/2061",2061,123,123,100,1004,1725,84.8474940342803,10651.3159726951
"2061/2062",2062,123,123,100,899,1685,83.5794063403118,11891.6819191882
"2062/2063",2063,123,123,100,1105,1894,88.5487083532207,9842.0835504476
"2063/2064",2064,123,123,100,881,1678,83.5721879678313,12123.1430780068
"2064/2065",2065,123,123,100,1151,1989.5,90.636888690211,9198.89049431589
"2065/2066",2066,123,123,100,1017,1865,88.2577359245624,9981.96240188461
"2066/2067",2067,123,123,100,959,1759,83.5620486866956,11470.0573331099
"2067/2068",2068,123,123,100,1128,1848.5,87.3209630051533,9686.5607817173
"2068/2069",2069,123,123,100,1225,2030.5,89.3659602706048,8119.00659806188
"2069/2070",2070,123,123,100,1105,1927.5,90.4822285424998,9431.37583327666
"2070/2071",2071,123,123,100,858,1698.5,83.3887204008606,12195.6593045602
"2071/2072",2072,123,123,100,920,1733,84.262507752539,11423.990471852
"2072/2073",2073,123,123,100,890,1866.5,87.08376180095,11334.9364054147
"2073/2074",2074,123,123,100,665,1545.5,79.8423120447897,13825.6304503344
"2074/2075",2075,123,123,100,927,1744,83.2600301668645,11758.2804256156
"2075/2076",2076,123,123,100,1038,1851.5,88.7275809891325,9983.9570796052
"2076/2077",2077,123,123,100,1053,1893.5,87.9879949238712,9358.512709965
"2077/2078",2078,123,123,100,920,1668.5,82.571447292612,11929.7208707929
"2078/2079",2079,123,123,100,1044,1790,87.531557192031,10839.0726062926
"2079/2080",2080,123,123,100,1072,1908,89.5049987200764,9958.83761829603
"2080/2081",2081,123,123,100,824,1601,80.1696097942513,12801.9592865473
"2081/2082",2082,123,123,100,850,1642.5,82.2131415306812,12377.8641178962
"2082/2083",2083,123,123,100,1131,1788,86.8966621413892,10702.8560408149
"2083/2084",2084,123,123,100,1038,1924.5,89.9926316398669,9665.63947969489
"2084/2085",2085,123,123,100,1035,1823.5,85.871314951346,10261.9820118714
"2085/2086",2086,123,123,100,1263,1945,89.2728632753551,8687.89136097301
"2086/2087",2087,123,123,100,792,1762,83.8546394237346,12227.8230526624
"2087/2088",2088,123,123,100,1102,1743,86.4560898240088,10661.520075012
"2088/2089",2089,123,123,100,984,1574.5,80.5078618779989,12566.7568089049
"2089/2090",2090,123,123,100,992,1907,87.9536649680922,10107.5214161174
"2090/2091",2091,123,123,100,1024,1728,84.9819185709803,11240.0365989106
"2091/2092",2092,123,123,100,1082,1836,85.2067944048595,10845.4735988369
"2092/2093",2093,123,123,100,1389,1890.5,84.6578102583298,8151.4291131096
"2093/2094",2094,123,123,100,1304,1891,88.3288606853857,8942.69921758585
"2094/2095",2095,123,123,100,977,1810.5,85.3893019414882,10970.601091356
"2095/2096",2096,123,123,100,975,1759.5,84.6972718059387,11896.9915184844
"2096/2097",2097,123,123,100,1087,1886,89.4598309082467,9533.56911639124
"2097/2098",2098,123,123,100,1161,1730,82.9716285196318,10451.5162272649
"2098/2099",2099,123,123,100,1003,1666.5,82.1581955810871,12041.4220131962
"2099/2100",2100,123,123,100,1133,1930.5,90.9097723889481,8948.29897973314
