"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1044,1810,86.0137154946219,10274.4010182798
"2000/2001",2001,123,123,100,1094,1763.5,86.3399975019392,9891.07761909389
"2001/2002",2002,123,123,100,1035,1885,88.754364540355,9604.78493190801
"2002/2003",2003,123,123,100,1008,1733,84.2153291577456,10809.1821746983
"2003/2004",2004,123,123,100,1050,1810,85.2857958208989,10516.7215768438
"2004/2005",2005,123,123,100,1145,1855.5,86.3364044320394,9846.21811162803
"2005/2006",2006,123,123,100,1140,1790,84.3500167876476,10074.3783265971
"2006/2007",2007,123,123,100,1057,1865,88.6331728814195,10164.8134804197
"2007/2008",2008,123,123,100,1332,2040.5,90.8040656859812,8198.47408650268
"2008/2009",2009,123,123,100,1058,1758.5,85.6649439256992,10455.2586836966
"2009/2010",2010,123,123,100,1052,1774,83.5187320634118,11372.1012436891
"2010/2011",2011,123,123,100,1259,1828.5,85.6688667718365,9457.59945558535
"2011/2012",2012,123,123,100,1123,1785,83.8193155423357,10502.7559171574
"2012/2013",2013,123,123,100,936,1688.5,84.2023792271161,11621.0849187433
"2013/2014",2014,123,123,100,1138,1809.5,87.0918847264725,9707.86717805522
"2014/2015",2015,123,123,100,1117,1853,86.6865185721945,9921.68589420896
"2015/2016",2016,123,123,100,1089,1916.5,91.2789418410707,9081.26624581101
"2016/2017",2017,123,123,100,1356,1971.5,90.1801178183555,7746.32202976174
"2017/2018",2018,123,123,100,1237,1784,84.3768360188465,9134.24030444259
"2018/2019",2019,123,123,100,978,1729.5,83.7660112942867,11241.149800567
"2019/2020",2020,123,123,100,1130,1813.5,83.9328934593827,10466.3241510943
"2020/2021",2021,123,123,100,1137,1890,88.5187269613866,9821.61749296077
"2021/2022",2022,123,123,100,1270,1910.5,86.5550751494306,8892.35575178638
"2022/2023",2023,123,123,100,1251,1857,87.7958258350768,8710.97551708343
"2023/2024",2024,123,123,100,1001,1859.5,83.512171019167,10715.0764451693
"2024/2025",2025,123,123,100,1307,1995,88.915872880827,8561.57567807334
"2025/2026",2026,123,123,100,1058,1766.5,86.5664213105365,9751.77419973491
"2026/2027",2027,123,123,100,1071,1906,89.3728279973611,9254.53519571945
"2027/2028",2028,123,123,100,1202,1959.5,89.5156512451626,8712.65700564138
"2028/2029",2029,123,123,100,1003,1719.5,83.3244205011624,11233.5336321327
"2029/2030",2030,123,123,100,1182,2004.5,90.868740421216,8442.98440009169
"2030/2031",2031,123,123,100,1098,1768,83.3512302797626,10731.3072652584
"2031/2032",2032,123,123,100,1295,1894.5,85.9742158203553,9435.00903670117
"2032/2033",2033,123,123,100,948,1699.5,82.69323826451,11924.3522648318
"2033/2034",2034,123,123,100,1137,1882,85.1523655532483,9833.44410913251
"2034/2035",2035,123,123,100,1216,1953,90.2722727589071,8276.53933671769
"2035/2036",2036,123,123,100,1147,1782,87.9861016073864,9712.3075936744
"2036/2037",2037,123,123,100,1235,2026,91.1374666667634,8786.26132997638
"2037/2038",2038,123,123,100,965,1670,80.8456241653776,11741.0411331221
"2038/2039",2039,123,123,100,1192,1995,90.5337808585982,8697.61587885208
"2039/2040",2040,123,123,100,1126,1855.5,88.2359725009201,9680.79557424458
"2040/2041",2041,123,123,100,1164,1962.5,90.521215232442,9322.31289448589
"2041/2042",2042,123,123,100,1089,1845,85.6975074299698,10472.2862359094
"2042/2043",2043,123,123,100,1178,1983,90.2378613825276,9034.25116443587
"2043/2044",2044,123,123,100,1087,1804.5,86.1115643106568,9717.12045028945
"2044/2045",2045,123,123,100,1323,1941,88.5355996701956,8561.88829696365
"2045/2046",2046,123,123,100,1435,1890.5,86.065271662369,8084.56299687224
"2046/2047",2047,123,123,100,1243,2066,90.7823176999964,8171.445251795
"2047/2048",2048,123,123,100,1096,1746,84.685919714635,10084.8121813652
"2048/2049",2049,123,123,100,970,1758,85.1403255923942,10882.9484014343
"2049/2050",2050,123,123,100,1087,1713.5,84.1934670180854,10781.4644318796
"2050/2051",2051,123,123,100,1068,1760,82.8485453112817,10770.2279281439
"2051/2052",2052,123,123,100,987,1764,84.7938891625327,11614.9713401403
"2052/2053",2053,123,123,100,1016,1626.5,82.2378276139652,11606.2692233371
"2053/2054",2054,123,123,100,1161,1767,82.8052893939494,10435.4323718506
"2054/2055",2055,123,123,100,990,1840.5,85.4273590654611,10592.6180666308
"2055/2056",2056,123,123,100,915,1646,80.7223302123175,12025.6048632059
"2056/2057",2057,123,123,100,1033,1735,82.8025387233856,11306.558305881
"2057/2058",2058,123,123,100,917,1720,82.8344085783965,11631.4127564384
"2058/2059",2059,123,123,100,1066,1961,88.453463120024,9399.07269042591
"2059/2060",2060,123,123,100,998,1825.5,87.9997617957706,10377.7771408414
"2060/2061",2061,123,123,100,1043,1764.5,84.6474703036911,10203.6713881511
"2061/2062",2062,123,123,100,951,1693.5,84.6411667880129,11516.3711977033
"2062/2063",2063,123,123,100,1138,1923.5,89.0148682513845,9373.30432128813
"2063/2064",2064,123,123,100,937,1710.5,84.1776380347637,11678.0680607557
"2064/2065",2065,123,123,100,1234,2020.5,90.804426775685,8761.91702656168
"2065/2066",2066,123,123,100,1057,1890.5,87.1249011343734,9565.30485732667
"2066/2067",2067,123,123,100,1007,1762.5,83.2099700634153,11098.8277209681
"2067/2068",2068,123,123,100,1183,1885.5,88.9837580595467,9227.31560324598
"2068/2069",2069,123,123,100,1285,2046,90.0870319866717,7745.39574722946
"2069/2070",2070,123,123,100,1155,1961,90.4536187725371,9006.02726088185
"2070/2071",2071,123,123,100,915,1730.5,84.8782817293468,11727.1700563515
"2071/2072",2072,123,123,100,960,1768.5,84.5288612523491,10949.0306527447
"2072/2073",2073,123,123,100,939,1897.5,88.0236550845439,10861.9423149368
"2073/2074",2074,123,123,100,739,1600.5,81.6147931836567,13271.4832254443
"2074/2075",2075,123,123,100,969,1779,84.3584888793175,11262.4415724818
"2075/2076",2076,123,123,100,1074,1884,88.6901048066447,9562.8005607482
"2076/2077",2077,123,123,100,1067,1913,91.3839227593271,8971.87284340058
"2077/2078",2078,123,123,100,960,1695.5,83.9073996756761,11488.1156025482
"2078/2079",2079,123,123,100,1074,1814,87.0308560962476,10428.8609848879
"2079/2080",2080,123,123,100,1122,1944.5,88.4558675174285,9490.44235784747
"2080/2081",2081,123,123,100,872,1642.5,80.4829506085571,12279.4233272858
"2081/2082",2082,123,123,100,911,1687,83.9754933933873,11854.1239250265
"2082/2083",2083,123,123,100,1169,1809,83.4085245513688,10262.077753135
"2083/2084",2084,123,123,100,1094,1972.5,90.5891684557973,9190.50790009182
"2084/2085",2085,123,123,100,1083,1864,87.2558455559538,9791.7809440596
"2085/2086",2086,123,123,100,1305,1951,89.3749653289433,8288.32502654195
"2086/2087",2087,123,123,100,832,1819,86.586203149609,11660.7894635908
"2087/2088",2088,123,123,100,1144,1749,86.9145220953105,10317.8941463931
"2088/2089",2089,123,123,100,1030,1600,80.9019743671106,12089.1774479626
"2089/2090",2090,123,123,100,1023,1944,89.5714416905284,9635.04399819672
"2090/2091",2091,123,123,100,1079,1769.5,84.8271090490889,10783.9799984833
"2091/2092",2092,123,123,100,1121,1864,86.1160584228965,10361.3522331854
"2092/2093",2093,123,123,100,1388,1870,84.991763169648,7835.8868981069
"2093/2094",2094,123,123,100,1345,1905,88.8785066696073,8557.26515068393
"2094/2095",2095,123,123,100,1021,1846,86.8007673090015,10477.7795944
"2095/2096",2096,123,123,100,1029,1790,85.0677846540239,11420.7897001039
"2096/2097",2097,123,123,100,1129,1895,89.1273794756889,9145.09551781788
"2097/2098",2098,123,123,100,1184,1743,83.7203063532979,10093.0103131784
"2098/2099",2099,123,123,100,1061,1699.5,81.5690341254376,11604.4415354114
"2099/2100",2100,123,123,100,1183,1970,90.8177441474782,8475.76407809742
