"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1090,1785,85.6805472453427,10227.6911168913
"2000/2001",2001,123,123,100,945,1697.5,84.4079984508373,10991.4534337447
"2001/2002",2002,123,123,100,969,1722,86.2948051207644,10420.680746009
"2002/2003",2003,123,123,100,1098,1783.5,83.0320109790974,9922.93977134826
"2003/2004",2004,123,123,100,1117,1779.5,85.6076790895992,9892.25330851343
"2004/2005",2005,123,123,100,1095,1780,84.7742948279052,10429.3755791636
"2005/2006",2006,123,123,100,958,1694.5,83.025986603532,10975.7573567722
"2006/2007",2007,123,123,100,1169,1815.5,84.6232322334985,9914.15582080302
"2007/2008",2008,123,123,100,954,1620.5,80.5561511100755,12191.3420323851
"2008/2009",2009,123,123,100,1048,1664.5,84.0846734056147,10684.1868502108
"2009/2010",2010,123,123,100,1179,1936,87.2941816670698,8764.98606987717
"2010/2011",2011,123,123,100,866,1773,87.0538187626519,10875.7441096412
"2011/2012",2012,123,123,100,1023,1768,87.3646084539491,10308.9313180754
"2012/2013",2013,123,123,100,1108,1838.5,88.5023799877513,9053.12243525987
"2013/2014",2014,123,123,100,1001,1700,83.9315337577402,10844.5182744535
"2014/2015",2015,123,123,100,1069,1723,82.5799374846424,10597.7761610309
"2015/2016",2016,123,123,100,1006,1737.5,85.6638762849593,10935.3940258685
"2016/2017",2017,123,123,100,783,1498,76.5515110698379,13208.7321193849
"2017/2018",2018,123,123,100,893,1650.5,81.1879067150712,11801.2792165969
"2018/2019",2019,123,123,100,1135,1725.5,83.5543671975452,9770.2582001749
"2019/2020",2020,123,123,100,1049,1790,87.2565350044115,9923.68363825441
"2020/2021",2021,123,123,100,1087,1818,87.3228218636136,10186.5022744802
"2021/2022",2022,123,123,100,905,1691,84.6699403407256,11757.3511294418
"2022/2023",2023,123,123,100,810,1653,82.6484175330329,12085.1404918842
"2023/2024",2024,123,123,100,1137,1681.5,84.7517539590199,9946.54050412215
"2024/2025",2025,123,123,100,950,1589.5,81.7944076808931,11914.1507235526
"2025/2026",2026,123,123,100,1058,1689.5,82.320661861087,10938.3474897242
"2026/2027",2027,123,123,100,1052,1742.5,84.2110899792251,10731.6395363652
"2027/2028",2028,123,123,100,960,1585.5,81.2002272979012,11767.4955887643
"2028/2029",2029,123,123,100,1155,1918,87.9221206475936,8957.22882401641
"2029/2030",2030,123,123,100,901,1597.5,82.4989426696602,12037.3896317978
"2030/2031",2031,123,123,100,1080,1790.5,88.508340206783,9914.66061412031
"2031/2032",2032,123,123,100,854,1800.5,89.585199022973,10765.7155159335
"2032/2033",2033,123,123,100,1213,1953.5,89.8538126989924,8331.65845738538
"2033/2034",2034,123,123,100,1056,1728,82.9803743333741,10617.6798162838
"2034/2035",2035,123,123,100,908,1680.5,82.684217469955,12107.0221654591
"2035/2036",2036,123,123,100,961,1828.5,86.4012704674324,10589.1459039496
"2036/2037",2037,123,123,100,1044,1622,81.4001087923671,11609.1328304205
"2037/2038",2038,123,123,100,1161,1813.5,88.352302532574,9133.30409076251
"2038/2039",2039,123,123,100,997,1698.5,82.3719160637938,11376.2578334878
"2039/2040",2040,123,123,100,980,1724.5,83.5787082995039,10832.6632055244
"2040/2041",2041,123,123,100,1066,1785,83.7894883495719,10561.9966913424
"2041/2042",2042,123,123,100,1114,1846,87.1170897613201,9750.20277931402
"2042/2043",2043,123,123,100,1013,1744.5,83.6969009766308,10888.216964006
"2043/2044",2044,123,123,100,1007,1732.5,82.4449226480929,10955.3522717902
"2044/2045",2045,123,123,100,850,1751.5,85.9295175152183,11502.1661517839
"2045/2046",2046,123,123,100,782,1626.5,82.3545126533572,12740.147623484
"2046/2047",2047,123,123,100,946,1682.5,84.4102276552239,11674.3710615961
"2047/2048",2048,123,123,100,971,1684,87.3447575952341,10667.8870429453
"2048/2049",2049,123,123,100,1138,1757.5,82.7419438091501,9954.34543309268
"2049/2050",2050,123,123,100,1064,1624.5,82.623067285168,10730.5739479554
"2050/2051",2051,123,123,100,1136,1774,84.0229973728901,10078.8293066435
"2051/2052",2052,123,123,100,1243,1919.5,89.8135817477469,8532.77340402268
"2052/2053",2053,123,123,100,1107,1781,88.3086234142056,9244.78849634761
"2053/2054",2054,123,123,100,1095,1800,83.9788774630288,10106.4263032926
"2054/2055",2055,123,123,100,1119,1791.5,86.1269744311057,9663.61204419751
"2055/2056",2056,123,123,100,1148,1800,87.5424627042894,8886.69715566281
"2056/2057",2057,123,123,100,1287,1950.5,86.4005482483381,8958.37944416236
"2057/2058",2058,123,123,100,1177,1793.5,88.0991566631228,9055.03159356164
"2058/2059",2059,123,123,100,1023,1767,86.803803023924,10439.9306447729
"2059/2060",2060,123,123,100,1103,1693.5,86.076198102448,10235.1681372933
"2060/2061",2061,123,123,100,1006,1761,85.4104000548796,10163.8373419475
"2061/2062",2062,123,123,100,1203,1888.5,88.0112503009914,8937.01994751766
"2062/2063",2063,123,123,100,1073,1766,84.3866077144812,10551.8540640166
"2063/2064",2064,123,123,100,1147,1800,86.0219024333219,8994.12572703511
"2064/2065",2065,123,123,100,993,1792.5,85.8539318909388,10843.2872616639
"2065/2066",2066,123,123,100,1054,1653,80.541439734201,11152.5034729
"2066/2067",2067,123,123,100,1057,1852.5,90.1305836549909,9183.75888578128
"2067/2068",2068,123,123,100,999,1703.5,83.2808550800401,11148.9541244311
"2068/2069",2069,123,123,100,860,1541.5,78.4827299914032,12741.1891291831
"2069/2070",2070,123,123,100,1019,1750,86.3963740287181,10885.0344043719
"2070/2071",2071,123,123,100,1217,1903.5,90.20614702682,8328.3568834858
"2071/2072",2072,123,123,100,1169,1889,90.6332386237336,8967.71964443941
"2072/2073",2073,123,123,100,1141,1712.5,83.6870152443171,9610.00055969786
"2073/2074",2074,123,123,100,1383,2035,90.7089355384906,6885.77768244129
"2074/2075",2075,123,123,100,1200,1942,90.6447742863347,8536.48236159515
"2075/2076",2076,123,123,100,1097,1765.5,83.6893646052831,10464.9620336387
"2076/2077",2077,123,123,100,1085,1641.5,80.0964921541727,11500.5155458394
"2077/2078",2078,123,123,100,1109,1842,88.4189903470669,9079.82016253658
"2078/2079",2079,123,123,100,1137,1832,86.5985243098712,9675.47647459712
"2079/2080",2080,123,123,100,1015,1732.5,83.6491961169104,10627.2275908031
"2080/2081",2081,123,123,100,1226,1868.5,87.7872615612378,8283.32934030332
"2081/2082",2082,123,123,100,1178,1818,85.4653594447336,8814.87345846463
"2082/2083",2083,123,123,100,1089,1850.5,86.8323154669524,9899.57445771806
"2083/2084",2084,123,123,100,1088,1737.5,83.6231216498127,10685.5777514344
"2084/2085",2085,123,123,100,1111,1665,79.915807788102,10991.024534951
"2085/2086",2086,123,123,100,893,1654.5,81.5288983622977,11933.9760950198
"2086/2087",2087,123,123,100,1179,1722,86.1448071294617,9052.73803622834
"2087/2088",2088,123,123,100,981,1733,84.3503582785634,10534.3423673185
"2088/2089",2089,123,123,100,1122,1863.5,87.7014089839122,9214.26915888023
"2089/2090",2090,123,123,100,1107,1843,86.5799242905832,9804.75065059308
"2090/2091",2091,123,123,100,1121,2002.5,89.6173251322998,9062.80587706342
"2091/2092",2092,123,123,100,1048,1767,87.73588852377,9785.04638490267
"2092/2093",2093,123,123,100,814,1552.5,78.9381255479584,13413.9803030277
"2093/2094",2094,123,123,100,863,1792.5,87.8152466633164,11263.2673713956
"2094/2095",2095,123,123,100,1193,1726.5,81.8784188807967,10189.0603714362
"2095/2096",2096,123,123,100,1225,2038.5,90.3387903624098,8296.2117658807
"2096/2097",2097,123,123,100,933,1721.5,86.8226564122651,10936.9158708341
"2097/2098",2098,123,123,100,959,1802,87.4162577512579,10445.8422718532
"2098/2099",2099,123,123,100,1078,1796.5,88.322039052844,9327.35034046788
"2099/2100",2100,123,123,100,979,1706,83.9870734643864,11533.6776432749
