"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1113,1817.5,85.4705525387914,10017.9333491007
"2000/2001",2001,123,123,100,951,1731,86.4223797830727,10804.0003401566
"2001/2002",2002,123,123,100,953,1740,87.4179514397527,10226.6902768235
"2002/2003",2003,123,123,100,1092,1786,85.6528081702568,9744.01811920534
"2003/2004",2004,123,123,100,1129,1798.5,85.9815842173209,9740.5403677799
"2004/2005",2005,123,123,100,1101,1813.5,85.972688247038,10245.5966249806
"2005/2006",2006,123,123,100,962,1728.5,84.0919794017307,10700.4004168751
"2006/2007",2007,123,123,100,1184,1839.5,86.8645962247138,9739.1609184703
"2007/2008",2008,123,123,100,971,1653.5,83.3121930067516,11940.3500370751
"2008/2009",2009,123,123,100,1054,1689,85.3211180739365,10484.3396144626
"2009/2010",2010,123,123,100,1170,1945.5,87.1559097831289,8684.91585400479
"2010/2011",2011,123,123,100,863,1805,87.1817169020931,10659.9365552671
"2011/2012",2012,123,123,100,1055,1805,86.9657794073148,10052.9226371483
"2012/2013",2013,123,123,100,1124,1845.5,87.1386865264139,8960.92336526175
"2013/2014",2014,123,123,100,996,1714.5,85.2904573684591,10687.6309709391
"2014/2015",2015,123,123,100,1066,1733,83.6702830001959,10476.8854370876
"2015/2016",2016,123,123,100,1018,1764,86.161134424151,10751.6590310745
"2016/2017",2017,123,123,100,778,1511,78.0180900570817,13048.0099587452
"2017/2018",2018,123,123,100,900,1671.5,82.764710480435,11684.1597154101
"2018/2019",2019,123,123,100,1137,1755.5,84.5936073900375,9484.12709154584
"2019/2020",2020,123,123,100,1066,1800,88.2026545308604,9806.84962157416
"2020/2021",2021,123,123,100,1108,1842.5,86.7782525617235,10016.2473217146
"2021/2022",2022,123,123,100,908,1714,85.2480780534652,11570.5802560027
"2022/2023",2023,123,123,100,803,1684,84.1147958734291,11850.0780333569
"2023/2024",2024,123,123,100,1145,1706,84.7225185404914,9797.22310818639
"2024/2025",2025,123,123,100,961,1648,81.7005581254034,11628.5816506774
"2025/2026",2026,123,123,100,1060,1684.5,81.5487839388088,10826.6676953097
"2026/2027",2027,123,123,100,1059,1760.5,86.3121660136817,10601.1845068634
"2027/2028",2028,123,123,100,986,1627,82.1348847145509,11539.5120563791
