"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,955,1684,83.0979358584782,11672.4863211194
"2000/2001",2001,123,123,100,827,1584.5,80.8858825413109,12515.1273438616
"2001/2002",2002,123,123,100,855,1629.5,81.6799872796976,11892.492689465
"2002/2003",2003,123,123,100,1008,1665.5,81.9478099721869,11318.3660994234
"2003/2004",2004,123,123,100,1015,1683.5,84.2592344997299,11309.1919505256
"2004/2005",2005,123,123,100,958,1670,81.4353604658713,11941.0387457452
"2005/2006",2006,123,123,100,844,1574.5,78.1415707732783,12452.0257146916
"2006/2007",2007,123,123,100,1038,1725.5,81.8953167949253,11335.1387227958
"2007/2008",2008,123,123,100,819,1505,79.2641771904248,13708.1429285967
"2008/2009",2009,123,123,100,964,1546,78.9944964998529,12114.2160135516
"2009/2010",2010,123,123,100,1064,1816,85.1474663673944,10190.8427095526
"2010/2011",2011,123,123,100,724,1622,83.2210084399044,12508.7422988868
"2011/2012",2012,123,123,100,886,1657,82.9053143856906,11736.250537733
"2012/2013",2013,123,123,100,995,1729,84.9839415233218,10503.7751696033
"2013/2014",2014,123,123,100,880,1587,81.6491959919058,12421.2476730474
"2014/2015",2015,123,123,100,928,1621,78.7604848293784,12119.8657163491
"2015/2016",2016,123,123,100,898,1608.5,81.4594211555623,12462.5313175432
"2016/2017",2017,123,123,100,710,1349.5,73.2855277145163,14919.3533863828
"2017/2018",2018,123,123,100,803,1504.5,77.986708462488,13463.1460465747
"2018/2019",2019,123,123,100,1023,1644,81.7504380383298,11147.7197288205
"2019/2020",2020,123,123,100,944,1675.5,85.1831120037223,11413.3330865186
"2020/2021",2021,123,123,100,1001,1713.5,81.539973073458,11620.000266701
"2021/2022",2022,123,123,100,770,1539,79.3239637178531,13354.5285639053
"2022/2023",2023,123,123,100,707,1508,77.5305043216754,13749.3958819516
"2023/2024",2024,123,123,100,1049,1605,82.7658508678719,11357.327859225
"2024/2025",2025,123,123,100,823,1499,80.0280074152943,13402.2929191799
"2025/2026",2026,123,123,100,953,1564.5,79.7405483920525,12464.8306452909
"2026/2027",2027,123,123,100,962,1620.5,81.1150804990216,12302.9964110877
"2027/2028",2028,123,123,100,858,1495,78.0296944628767,13299.7700594245
"2028/2029",2029,123,123,100,1029,1826,85.8957315522798,10382.3186985874
"2029/2030",2030,123,123,100,797,1450,80.2528203375859,13652.349930522
"2030/2031",2031,123,123,100,932,1690,84.0444247943965,11428.5966906971
"2031/2032",2032,123,123,100,738,1638.5,84.7927439852592,12402.8906338741
"2032/2033",2033,123,123,100,1084,1863,86.767799273829,9709.98776230216
"2033/2034",2034,123,123,100,925,1635,80.9320867082861,12107.5630917656
"2034/2035",2035,123,123,100,807,1538.5,79.6115740731275,13730.9514898602
"2035/2036",2036,123,123,100,873,1684,84.8898002572705,12171.1968157296
"2036/2037",2037,123,123,100,915,1508.5,77.4503081655148,13115.7837682161
"2037/2038",2038,123,123,100,1073,1730.5,85.262475852036,10531.3308583065
"2038/2039",2039,123,123,100,872,1581,79.3086416478181,12908.9103285391
"2039/2040",2040,123,123,100,893,1589,81.3492520340815,12404.3022019845
"2040/2041",2041,123,123,100,950,1664.5,81.5635655576461,12086.8864512332
"2041/2042",2042,123,123,100,1006,1730,84.1596166321378,11255.1491763005
"2042/2043",2043,123,123,100,894,1656,80.904611470638,12367.4680599426
"2043/2044",2044,123,123,100,900,1619.5,79.7448411384321,12476.4987215474
"2044/2045",2045,123,123,100,746,1603.5,81.0717327836983,13167.1963316319
"2045/2046",2046,123,123,100,681,1475,78.0492367408342,14454.504912701
"2046/2047",2047,123,123,100,841,1555,79.442059611205,13287.2554171551
"2047/2048",2048,123,123,100,862,1585.5,80.525896303001,12175.2828390147
"2048/2049",2049,123,123,100,1052,1691,82.0855222021573,11272.4297833988
"2049/2050",2050,123,123,100,957,1522.5,79.0332697168351,12203.5043460126
"2050/2051",2051,123,123,100,988,1678,81.8771399879643,11490.896805909
"2051/2052",2052,123,123,100,1097,1846.5,86.9505472412739,9919.9210052751
"2052/2053",2053,123,123,100,1032,1707.5,84.437645935097,10642.8101041061
"2053/2054",2054,123,123,100,975,1715.5,80.6971304474191,11547.4838040592
"2054/2055",2055,123,123,100,1018,1697.5,83.2780524689633,11090.1956621679
"2055/2056",2056,123,123,100,1065,1728,84.2079341289882,10249.4688256397
"2056/2057",2057,123,123,100,1126,1857,82.5628820779903,10326.7629974065
"2057/2058",2058,123,123,100,1077,1701.5,86.0856896460928,10455.102764789
"2058/2059",2059,123,123,100,916,1658.5,81.950747398454,11936.6774847945
"2059/2060",2060,123,123,100,1025,1607,82.2848978034644,11699.6542170364
"2060/2061",2061,123,123,100,900,1650.5,85.1838884706594,11681.3197455909
"2061/2062",2062,123,123,100,1067,1800.5,83.9936138415305,10304.5899030184
